set	n_members	p_value	p.adjust	s.PC1	s.PC2
nucleolus (GO:0005730)	245	9.698194160912421e-107	1.6729384927573926e-103	0.7721173994409091	-0.5513284206891069
ribosome biogenesis (GO:0042254)	176	2.0968999239682455e-102	1.8085761844226117e-99	0.8768623879497356	-0.6527465105808193
ribonucleoprotein complex (GO:1990904)	312	5.797620070943858e-96	3.3336315407927184e-93	0.663451117701001	-0.4477651934688621
rRNA processing (GO:0006364)	190	6.299329099431856e-93	2.716585674129988e-90	0.8186326249227421	-0.5744948414396426
RNA binding (GO:0003723)	391	3.74198817769463e-83	1.2909859213046475e-80	0.5740511158022638	-0.3217805158290053
translation (GO:0006412)	267	2.4092062865289853e-72	6.926468073770832e-70	0.6435379700908225	-0.33906794856234374
ribosome (GO:0005840)	224	3.6360007898548427e-68	8.960144803570862e-66	0.6664424702516427	-0.4142377592821383
cytoplasmic translation (GO:0002181)	127	6.5523041473758214e-65	1.377036978074786e-62	0.8769507518974957	-0.2917944375189569
structural constituent of ribosome (GO:0003735)	219	7.184540755172797e-65	1.377036978074786e-62	0.6533915449858366	-0.4217988521675233
cytosolic large ribosomal subunit (GO:0022625)	82	2.6828990273161307e-44	4.6280008221203254e-42	0.8990945068180862	-0.29658665634275483
90S preribosome (GO:0030686)	70	1.273054374207601e-41	1.9963807231891926e-39	0.9074569669556434	-0.6046299786405318
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	58	4.272147544315131e-35	6.141212094953001e-33	0.9177329098608609	-0.5990925589836653
cytosolic small ribosomal subunit (GO:0022627)	60	2.3622817075779593e-31	3.1345661119784456e-29	0.8840207693432818	-0.3266418019599235
ribosomal large subunit biogenesis (GO:0042273)	51	2.5496025748653376e-30	3.141474601173362e-28	0.881786215690566	-0.6576634595156221
small-subunit processome (GO:0032040)	50	5.062573541563664e-30	5.821959572798214e-28	0.8794308231173349	-0.6737828371278461
preribosome, large subunit precursor (GO:0030687)	49	6.888231869517061e-28	7.426374984323082e-26	0.8815888798066858	-0.5985277893166457
amino acid biosynthetic process (GO:0008652)	86	5.411078367249009e-25	5.490653049120318e-23	0.21933947741127546	0.48318931012541344
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	38	2.832093235641766e-23	2.7140893508233587e-21	0.8915881406573195	-0.6660537807400594
tRNA processing (GO:0008033)	95	1.878098628233822e-22	1.7051158598438646e-20	0.5793755890943381	-0.35868368688690633
oxidoreductase activity (GO:0016491)	224	3.084595642481944e-22	2.6604637416406766e-20	-0.2554335457441991	0.37429286689641583
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	35	2.122056346599898e-21	1.7431177132784874e-19	0.9091923568467339	-0.6202487453632983
nucleic acid binding (GO:0003676)	173	2.343148168767553e-21	1.8372411777836495e-19	0.42598360176076105	-0.24661729422550455
mitochondrial translation (GO:0032543)	96	2.0523629865796595e-19	1.5392722399347446e-17	0.15491854636591723	-0.545647206250921
rRNA binding (GO:0019843)	44	5.974825432498253e-19	4.294405779608119e-17	0.7822772985650144	-0.4567317247684542
mRNA binding (GO:0003729)	197	1.1713024425597334e-18	8.08198685366216e-17	0.37810656798368086	-0.190033263025913
ribosomal large subunit assembly (GO:0000027)	33	3.3011140669371603e-18	2.1901622174871542e-16	0.8953636694094664	-0.45355407950827936
ribosomal small subunit biogenesis (GO:0042274)	35	1.0337428532055831e-16	6.604468228813447e-15	0.806676849225397	-0.5290171752750854
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	29	1.4767338442799437e-16	9.097735290653224e-15	0.84380940930711	-0.6619802977134223
proton transmembrane transport (GO:1902600)	75	1.9971542174578153e-16	1.1879624224533557e-14	-0.2640399148873722	0.5680680901019869
cytosol (GO:0005829)	1092	8.932655961126363e-16	5.1362771776476585e-14	-0.06451550907024813	0.16587090353397763
nucleoplasm (GO:0005654)	60	1.2180071462357664e-15	6.777620410505474e-14	0.551345619423726	-0.4798961532836044
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	27	2.4315103841953586e-15	1.3107360664803104e-13	0.840331727937912	-0.6591721322716757
molecular_function (GO:0003674)	888	1.426170473258575e-14	7.454982019306187e-13	-0.15245332463831418	-0.011166461367533123
translational initiation (GO:0006413)	42	3.1325099341978774e-13	1.5892881283798054e-11	0.677010489510493	-0.2867757242757235
DNA-directed RNA polymerase complex (GO:0000428)	32	4.806342576679275e-13	2.3688402699347855e-11	0.7521396641953791	-0.44901602703881505
ribosomal subunit export from nucleus (GO:0000054)	27	1.06856194665351e-12	5.1201926610480684e-11	0.8246488701727227	-0.3581483901675573
fungal-type vacuole membrane (GO:0000329)	188	1.889549867559687e-12	8.809387896055297e-11	-0.3149248355026164	0.13493107919888472
cytoplasmic stress granule (GO:0010494)	97	1.9584973348862287e-12	8.890547112312485e-11	0.419592873577372	-0.06665116056341773
DNA-directed RNA polymerase activity (GO:0003899)	31	3.1091168974319005e-12	1.375186320017956e-10	0.7420761338143602	-0.42692180566397464
ribosomal large subunit export from nucleus (GO:0000055)	31	4.4820724884124335e-12	1.932893760627862e-10	0.7323009627488594	-0.4427730542838454
