set	n_members	p_value	p.adjust	s.PC1	s.PC2
RPH1_bound	616	2.093838667952958e-66	3.6642176689176765e-64	-0.41873219234538483	0.08778403006289046
MSN4_bound	700	2.100478459767353e-62	1.8379186522964338e-60	-0.3914861809961368	0.19163859111791806
COM2_bound	498	3.1883124603443635e-58	1.8598489352008787e-56	-0.4385522673217146	0.1487084259367568
IFH1_bound	188	7.427126686217665e-49	3.2493679252202284e-47	0.6325392632438409	-0.242598818500553
MSN2_bound	567	5.54700468927843e-33	1.9414516412474506e-31	-0.3085697045213213	0.17212855318672804
FHL1_bound	434	5.678213469066612e-32	1.6561455951444286e-30	0.34345344564767355	-0.09434778969257519
YKL222C_bound	88	2.884697855858362e-27	7.211744639645906e-26	0.6787678105558911	-0.20478627332931915
SWP82_bound	592	2.382719935332835e-24	5.2121998585405765e-23	-0.2612897920274971	0.1365029336340804
AZF1_bound	1158	9.859562565536689e-24	1.9171371655210226e-22	0.13973364481316056	0.07604051234438597
ABF1_bound	1222	1.5918570112826248e-20	2.7857497697445936e-19	0.1573628549231882	0.02270843333545434
STP1_bound	904	2.8320059693563857e-20	4.505464042157886e-19	-0.12127753870787598	0.19685321267054665
SFP1_bound	424	5.2541911381814985e-20	7.6623620765146855e-19	0.18914374533250114	0.10846807208860856
TUP1_bound	753	6.180656694188781e-19	8.320114780638744e-18	0.1439365436056522	0.08215142878249682
HAP2_bound	444	9.512568574403121e-19	1.1890710718003902e-17	-0.17300685927901724	0.24890247218948655
HAP3_bound	420	8.762454326070223e-17	1.022286338041526e-15	-0.19108645840422614	0.22865763742371636
NCB2_bound	366	1.2341187749765334e-16	1.3498174101305833e-15	-0.22803412344688803	0.2206881750278885
TFA1_bound	1795	2.145491976324901e-16	2.2085946815109276e-15	-0.12517018482284079	0.12165114060093463
GLN3_bound	637	2.8396851800414693e-16	2.760805036151428e-15	-0.15945008807534303	0.18584074984118026
RAP1_bound	720	1.330837414120719e-15	1.2257713024796097e-14	0.1534305341770722	0.046154010603729236
SNF5_bound	531	1.4122200701191082e-15	1.2356925613542197e-14	-0.2150297876183569	0.12647285016060875
RTG3_bound	635	2.2153102896615243e-15	1.8460919080512702e-14	-0.12922044674116837	0.19399890479419563
BUR6_bound	573	5.034710977681666e-15	4.00488373224678e-14	-0.1842375371313522	0.16308889737400242
MOT1_bound	632	8.875291300115099e-15	6.752939032696271e-14	-0.17495411154229387	0.1554221420541517
ADR1_bound	549	1.3586811598311576e-14	9.907050123768858e-14	-0.1677900479031801	0.18153563238149195
MIG2_bound	388	1.7774071412085676e-14	1.2441849988459973e-13	-0.20431015573590855	0.20224830006580344
RLM1_bound	663	4.579097215355364e-14	3.082084664181495e-13	0.03878665148836674	0.1542942568450111
GCN4_bound	491	5.0218639592768e-14	3.2549118254571854e-13	-0.0833283572440619	0.21503170467987703
VHR1_bound	308	8.209732093240224e-14	5.13108255827514e-13	0.03746497122367501	0.22408322535932745
DAL81_bound	863	8.903762285126559e-14	5.193861332990492e-13	-0.010946547901370344	0.15843811187246704
PIP2_bound	486	8.694516196324092e-14	5.193861332990492e-13	-0.21403260310972103	0.08101378780092204
STE12_bound	2766	1.2674615435489972e-13	7.155024842615307e-13	0.1331620151515862	-0.056543979735416465
MIG1_bound	468	1.3324187836805167e-13	7.286665223252826e-13	-0.14316651220265805	0.20571619812583833
HAP5_bound	730	1.4533970276921108e-13	7.707408480185436e-13	-0.08283584193021419	0.1781047409662339
BAS1_bound	1220	1.0054761767383434e-12	5.175245027329709e-12	-0.038132363299533394	0.1414221480330761
CRZ1_bound	1049	1.378912685275419e-12	6.894563426377096e-12	-0.12697064890684406	0.1230864442539719
HAP4_bound	39	9.24404583963189e-11	4.493633394265502e-10	-0.35663928413436907	0.6183916542073342
MCM1_bound	804	1.0286314261291157e-10	4.865148637097169e-10	0.08543543426026397	0.08058749253209631
UPC2_bound	1032	1.8485553105350807e-10	8.513083666937872e-10	-0.059647876972031985	0.13614097891455507
PDC2_bound	903	2.1336394708078586e-10	9.574023266445518e-10	0.08711055864331368	0.06865614692463685
YOX1_bound	875	2.9439529116167864e-10	1.2879793988323441e-9	0.023300790046178497	0.12027663066295102
STB1_bound	1496	4.3485253846734744e-10	1.8560779080923367e-9	0.11125568246050975	-0.005934895360507571
SOK2_bound	566	4.5422437191219305e-10	1.892601549634138e-9	0.04473470327439678	0.1320030417296005
MED8_bound	621	9.823865893251446e-10	3.998084956555821e-9	-0.018253222928465963	0.1530491669073864
STP2_bound	707	1.1339264249562896e-9	4.509934644712515e-9	-0.055870053528349714	0.15106667915576985
BMH1_bound	233	3.421701862177967e-9	1.3306618352914316e-8	-0.06761345006630894	0.2399293338096629
PHO2_bound	558	4.221854210691071e-9	1.6061401888498637e-8	-0.06839168741282321	0.16154192489008962
XBP1_bound	311	6.2262136098428645e-9	2.318271024941492e-8	0.15416166160374625	0.06629602449314016
FZF1_bound	760	7.164054997750735e-9	2.611895051263289e-8	-0.1043116149627579	0.1274453630187433
USV1_bound	176	7.3563882349343795e-9	2.6272815124765644e-8	-0.21594746428717906	0.23664350620113825
CYC8_bound	623	1.0627756372668653e-8	3.6467791474843417e-08	0.05125548187240276	0.10910467940463288
SWI6_bound	1220	1.0573917486136312e-8	3.6467791474843417e-08	0.0792266907245359	0.04666944875963704
ROX1_bound	816	1.2010186786063656e-8	4.0418897837714225e-8	-0.07803104145393258	0.13140852079916632
SFL1_bound	476	1.7935893270027676e-8	5.922228909914799e-8	0.05210915848715509	0.12417072091994619
YAP1_bound	720	2.0380414569980237e-8	6.604763981012114e-8	-0.08563223305398739	0.13479277122171018
SWI4_bound	1157	2.3471482574457586e-8	7.468199000963778e-8	0.06244841582099018	0.06462053897522638
MET32_bound	862	2.8527590513963192e-8	8.914872035613498e-8	-0.113125109646687	0.10080329323044349
POG1_bound	566	2.9677358234833816e-8	9.11146963350161e-8	0.06387370543360348	0.10112966070064427
SWI3_bound	640	3.2490859912228326e-8	9.803276697655098e-8	-0.12407381221719443	0.1169557566616402
SDD4_bound	1137	3.70163486127841e-8	1.0979425435995284e-7	-0.09194504051015183	0.10040054099437154
SUT1_bound	580	4.143244042474971e-8	1.2084461790552e-7	-0.0685530563098838	0.14894024013253476
HAA1_bound	877	4.9217729323006314e-8	1.4119840379550992e-7	-0.0448867475784553	0.12533767853947825
TDA9_bound	479	5.483149372649838e-8	1.5476631293769704e-7	-0.11044340685197845	0.15142130384584518
ECM22_bound	789	6.511521986303753e-8	1.8087561073065978e-7	-0.05849859702536881	0.129460613601555
THI3_bound	999	6.986002240021372e-8	1.9102349875058439e-7	0.02118974459400074	0.09815314070633334
TYE7_bound	533	1.7675192186593073e-7	4.758705588698135e-7	0.016941586043299463	0.12801927153063208
YAP5_bound	780	1.9628675438672218e-7	5.20457303298127e-7	0.07850309322429933	0.05872115551636056
HSF1_bound	1393	2.4654229777511715e-7	6.439537628454553e-7	0.013872463090645624	0.08703072394085523
RTG1_bound	563	3.1503862209847004e-7	8.107611598122391e-7	-0.046599487946594076	0.14147873489081086
ARG80_bound	982	3.4854407029565406e-7	8.839885840831807e-7	-0.028793307029280672	0.11173958536383131
CST6_bound	1442	3.6858179467369637e-7	9.084762544774206e-7	-0.008822889773162977	0.09450276344427828
CUP9_bound	899	3.662039126427039e-7	9.084762544774206e-7	0.025578000233894067	0.0940745311407809
SRL3_bound	656	5.755815911785784e-7	1.3989830341146003e-6	0.058666323980254405	0.083130440403343
MSS11_bound	355	6.39285534157386e-7	1.5325338147608569e-6	-0.035982727233682836	0.1667826334030456
GAT2_bound	416	1.1984262818137663e-6	2.834116206992015e-6	-0.018862926994471663	0.1483353851645739
YAP6_bound	662	1.3817185865484101e-6	3.224010035279624e-6	-0.033546503991030895	0.12453300504950109
FKH2_bound	1104	1.7157852955773238e-6	3.950821404289891e-6	-0.031056931693517975	0.10197254460419297
EAF6_bound	824	2.076673442772592e-6	4.719712369937709e-6	-0.10560683450107562	0.08010924249325618
MED15_bound	707	2.348964900161007e-6	5.270113558053542e-6	-0.05262963743866983	0.11989503366452357
GCR2_bound	270	2.621664717250553e-6	5.807485133149958e-6	-0.03288868445262275	0.17849500834781512
HAL9_bound	590	2.802219206966111e-6	6.129854515238368e-6	-0.07620470267449633	0.12538585831383714
ASG1_bound	461	3.2659365907529423e-6	7.0560358442193196e-6	0.043905244114283294	0.10647017784079058
WHI5_bound	733	4.1635038883714355e-6	8.885526591036601e-6	0.08090339413667966	0.04330048231821871
YJL206C_bound	127	5.38512719438039e-6	1.1354183843573111e-5	0.255255918661468	-0.08920903925085505
MAC1_bound	404	8.46342969527229e-6	1.763214519848394e-5	0.11084809240297339	0.04156465717762906
HMS2_bound	439	1.13283296222028e-5	2.332303157512341e-5	-0.054479469699073135	0.1381138254457014
DIG1_bound	1807	1.2017082325228505e-5	2.4453365196685912e-5	0.08064393243635129	-0.015118288752956939
SUM1_bound	805	1.5256530290142179e-5	3.068842299741243e-5	0.10536526723712619	-0.04360727358024877
DAL82_bound	1096	1.6001982923545766e-5	3.182212513205124e-5	0.09340013968506841	-0.029810793054709003
LYS14_bound	196	1.763697310602613e-5	3.467944150061317e-5	0.08839383786078439	0.12596110357304277
MET4_bound	534	2.017222997533467e-5	3.9223780507595194e-5	-0.07717795214356217	0.11917063758450998
TEC1_bound	349	2.0816328063996987e-5	4.0031400123071134e-5	0.1364276744250031	5.631322233106527e-4
MOT3_bound	403	2.3668587194164387e-5	4.502176911933443e-5	-0.04386496295577138	0.13826020151355872
REB1_bound	726	2.9108631057290347e-5	5.477430575296571e-5	0.028263103802673783	0.08286829804161466
MGA1_bound	291	3.232173879229273e-5	6.0173449879268375e-5	-0.06906922647453417	0.15875939219652535
NRG1_bound	360	4.8247680425803104e-5	8.887730604753203e-5	-0.09024320233808077	0.13561922655393874
DAL80_bound	90	7.556012499642947e-5	1.3773981119140789e-4	-0.2663820180604667	0.1297752257557895
YHP1_bound	1469	8.131419900483418e-5	1.4670087449325755e-4	0.05345360159502567	0.03204794935278331
GAT1_bound	1644	8.525653326674486e-5	1.5224380940490154e-4	-0.0736431064358244	0.049315478674056314
ZAP1_bound	651	8.919200143316287e-5	1.5766262879599496e-4	0.037111856378871814	0.07550773141086799
OPI1_bound	233	9.164285022439039e-5	1.6037498789268318e-4	0.1167254735956109	0.06306223420654565
MET31_bound	510	0.00012547489493488823	2.1740699617431127e-4	-0.07732974397158819	0.1087337953681946
SMP1_bound	130	1.2990958195139324e-4	2.228840866813119e-4	0.0602426984779896	0.16707802001919644
NRM1_bound	547	1.994802006440034e-4	3.3892267099709314e-4	0.03982913881887078	0.07650896765232522
YRR1_bound	834	2.0811782159451964e-4	3.5019825749077824e-4	-0.08790958776319194	0.05632956636804772
PHD1_bound	622	2.2707308275231818e-4	3.7845513792053034e-4	0.008602251769456075	0.08958838259481273
RAD23_bound	135	2.4303714404850396e-4	4.0124056800460556e-4	0.109277021835572	0.11588965722358383
RFX1_bound	357	2.5162112203520805e-4	4.115298724874898e-4	-0.013444194857010377	0.12335382404545961
RBA50_bound	151	3.198652668041958e-4	5.18300200840132e-4	-0.1344384203808089	0.17885242328955211
CBF1_bound	1745	4.2084610528183403e-4	6.75670352516706e-4	0.051557779823412794	0.02145875491309735
IXR1_bound	471	4.5015782389482033e-4	7.117391304364755e-4	-0.008238119593271576	0.10395717467977514
RIM101_bound	73	4.51445962733993e-4	7.117391304364755e-4	-0.20699850806998224	0.23771719637717106
DIG2_bound	447	4.6712482666458815e-4	7.29882541663419e-4	0.10715996303441759	-0.011586875823638845
ERT1_bound	247	6.49873006527106e-4	0.0010064404968340138	-0.06602682197813052	0.1443123938879462
PDR1_bound	489	9.138700952633772e-4	0.001402870760272728	-0.057787181395892076	0.10154372211912265
HAC1_bound	423	9.244822997236253e-4	0.0014068208908837776	0.09945139012164354	0.0033660470502721467
EAF5_bound	1092	0.001460130222153093	0.0021839554604853955	0.06362728781900993	0.0058508328502649065
SKN7_bound	527	0.0014486043975653407	0.0021839554604853955	-0.011842072917036336	0.09257744936471302
NDD1_bound	309	0.0017084545176626429	0.0025337249202623943	-0.08737263242960433	0.11213152872628435
EPL1_bound	1403	0.001740695920973888	0.0025598469426086593	-0.04551788048050627	0.06179892232707268
YNR063W_bound	447	0.001799153946240073	0.0026237661716001066	0.029324670128298418	0.07790448269370327
SPN1_bound	75	0.0025502618098066274	0.0036883951794723954	-0.1300198106977742	0.2283571795436202
PPR1_bound	492	0.0026270767405969305	0.003768347783643138	-0.08391757208895113	0.0741983219638307
RDS2_bound	209	0.0043569702495693955	0.006198941411988978	-0.10394679868602812	0.12015765924636604
SKO1_bound	446	0.0045833332327908085	0.006468413836599932	-0.03344096238428772	0.09425424246202611
OAF3_bound	197	0.006416326729297111	0.008982857421015955	-0.12185381950703916	-0.001339936183673891
