set	n_members	p_value	p.adjust	s.PC1	s.PC2
Dot6_Tod6_activated	1389	0	0	0.7613429946973087	-0.3105578249311443
CYC8_activated	1231	3e-323	2.875e-321	0.6830040411119392	-0.32084423718825444
Dot6_Tod6_repressed	2461	7.962275818546643e-263	5.148938362660163e-261	-0.5550029698342831	0.21077647650119893
CYC8_repressed	966	1.578857649577498e-210	7.657459600450865e-209	-0.6167394025565851	0.23226701271489222
SWI4_activated	564	4.109577718566147e-124	1.594516154803665e-122	0.5889000269412568	-0.34166675413828185
MET4_activated	335	9.589987925556069e-119	3.1007627625964623e-117	0.7373719773767162	-0.37019594997229666
RAP1_activated	728	6.476164113136268e-108	1.794822625640623e-106	0.5014661431113889	-0.14920901720387542
SWI4_repressed	385	2.3973059507272414e-101	5.813466930513561e-100	-0.6372374141332353	0.16063950224120355
NRG1_activated	282	2.4616464306043186e-99	5.3062156393026425e-98	0.7329433932637223	-0.37331036874198636
MET31_activated	306	3.308059292088235e-93	6.417635026651176e-92	0.6684158511889619	-0.42130336983278144
CBF1_activated	139	1.788164807425974e-80	3.1536724785512636e-79	0.8600053647637819	-0.6794569702576849
REB1_repressed	359	7.185755091929266e-75	1.1616970731952314e-73	-0.5687127570584556	0.1450371194933105
ABF1_activated	905	1.7150682028858695e-68	2.559409471998913e-67	0.37141505208666475	-0.16640741132023754
MET32_activated	163	4.069543677683519e-61	5.639224810504305e-60	0.7563556491981862	-0.28390655016422006
NRM1_activated	229	3.216555701428556e-59	4.1600787071809324e-58	0.6326425432378115	-0.27861535537931875
GAT2_activated	433	7.066642138971939e-57	8.568303593503476e-56	0.45818150714224626	-0.24010584375629404
IFH1_activated	377	8.6756124921933e-54	9.900404844032355e-53	0.47202157541293516	-0.11514913466307578
SFP1_activated	125	2.8469241910983403e-52	3.068351628183767e-51	0.793873135989313	-0.37817582906743885
MSA2_repressed	158	1.1230898871376975e-50	1.1467338847616491e-49	-0.6991911222114988	0.2430833853664074
ABF1_repressed	283	1.1433078174594152e-47	1.1090085829356326e-46	-0.514638430720448	0.1898614694266806
HCM1_activated	242	1.6417813571569323e-46	1.5166932537544993e-45	0.53547902156012706	-0.3190109084865618
GCR2_activated	395	1.5670255602825935e-44	1.3818316304310143e-43	0.4268853205921751	-0.16538905391511793
REB1_activated	715	1.8237450250612554e-41	1.5382892820081894e-40	0.3165121324998337	-0.15970680613263186
STP1_repressed	154	1.3781005838566967e-40	1.1139646386174965e-39	-0.6324361122748249	0.20088849322720273
RAP1_repressed	451	3.3864185194520626e-40	2.6278607710948005e-39	-0.37997261771165136	0.11425267796757982
CBF1_repressed	218	1.7189710358250121e-38	1.2826168498078937e-37	-0.5212489574645552	0.16393452877397752
MSA2_activated	161	7.368896995531204e-35	5.294688952344643e-34	0.5678094476272211	-0.3157779583236361
STP1_activated	166	2.3246318807439896e-33	1.6106378030869071e-32	0.5348482880308288	-0.350396193940181
HCM1_repressed	207	8.55663760125395e-29	5.724095498769884e-28	-0.4512116721809886	0.2786106757699509
MET4_repressed	146	3.8212232287928754e-27	2.4710576879527262e-26	-0.5243218075330239	0.1261456367780032
GLN3_activated	102	4.551796555361553e-26	2.848543650774649e-25	0.6006095972489979	-0.3842286250195376
GCR2_repressed	267	6.1206657312351e-25	3.71065359956128e-24	-0.3790828575289887	0.19637054463350398
MET31_repressed	95	7.905856664074104e-25	4.647685432819322e-24	-0.6133353503147688	0.12615986129373885
TYE7_repressed	78	1.159294555185436e-23	6.61479834429337e-23	-0.6414322828419776	0.06722015136112147
NRG1_repressed	114	6.411837430121627e-22	3.553989889838845e-21	-0.5378844535851147	0.23345719983795976
GAT2_repressed	224	4.437753454850698e-20	2.3914560284473205e-19	-0.36291371350543017	0.21876015995838535
LEU3_activated	510	1.8679628013073801e-19	9.794183336584641e-19	0.24995035989079142	-0.11712870152929775
ZAP1_repressed	74	3.0766707223294717e-19	1.5707213687682042e-18	-0.616226922344883	0.1689248667681775
MSN4_activated	66	5.909190356397189e-19	2.9394434080539866e-18	0.6509825850774859	-0.3084092240506992
FZF1_activated	65	3.71764224558462e-15	1.8030564891085404e-14	-0.5663991620064524	0.08902667725421967
IFH1_repressed	165	6.8420798545338765e-15	3.237471931169688e-14	-0.35627190385780044	0.22887532409203343
MSN2_37_activated	46	1.5970916325565905e-14	7.377042302761393e-14	-0.6797044391190229	0.2834455475674223
MET32_repressed	49	2.997159984787076e-13	1.3522070629039366e-12	-0.6100160353044698	0.3807335146796726
USV1_activated	127	1.0121836830264588e-12	4.462809875162114e-12	0.37678331290753164	-0.07795643781000254
