set	n_members	p_value	p.adjust	s.PC1	s.PC2
IFH1_direct_activated	124	3.745174663658357e-63	4.681468329572946e-61	0.875206368347762	-0.2894360940034747
RAP1_direct_activated	266	1.3984389511599707e-42	8.740243444749817e-41	0.49235508348075935	-0.1112650652366209
CYC8_direct_activated	145	4.193826211871035e-39	1.7474275882795979e-37	0.6336239660183338	-0.16056954755352063
ABF1_direct_activated	459	7.526094403645068e-39	2.351904501139084e-37	0.37282770231866913	-0.14923197245022424
SWI4_direct_activated	190	1.4171989897912512e-29	3.5429974744781277e-28	0.48960918556554145	-0.18958541339799345
CBF1_direct_activated	45	1.1168431570366224e-26	2.3267565771596298e-25	0.8862502126005266	-0.6411303059017914
SWI4_direct_repressed	95	1.4353285090610563e-23	2.563086623323315e-22	-0.605659960203403	0.31352967871812953
CYC8_direct_repressed	202	7.305520855240195e-16	1.1414876336312805e-14	-0.3404541541110639	0.1908967391304354
GCN4_SM_direct_activated	73	2.900779822359784e-14	4.028860864388589e-13	0.0255798182557985	0.48054312280543093
STP1_direct_repressed	59	4.811670784054955e-13	6.0145884800686934e-12	-0.567850517322782	0.24556753079213758
MSN2_37_direct_activated	26	5.333858481248196e-13	6.061202819600222e-12	-0.8448472259447879	0.24222728491021195
MET32_direct_activated	31	4.335421073941868e-12	4.199503320558338e-11	0.7498259456950581	-0.3344585328804417
SFP1_direct_activated	28	4.367483453380672e-12	4.199503320558338e-11	0.7868814192343645	-0.37483660130718993
CBF1_direct_repressed	127	5.279974870410966e-12	4.7142632771526485e-11	-0.36986483903941086	0.1954056845098766
ROX1_direct_repressed	115	5.987713169470155e-11	4.989760974558462e-10	-0.27439677895895453	0.34171808166536427
MET4_direct_activated	30	4.736618825946002e-10	3.7004834577703137e-9	0.679264748619584	-0.15268817204301113
MIG1_direct_repressed	65	1.542907732065586e-9	1.1344909794599896e-8	-0.4098362871479472	0.3525621314771321
NRG1_direct_repressed	27	6.468266335172089e-9	4.491851621647284e-8	-0.6696596400364646	0.1441709625111931
RTG3_direct_activated	35	1.5087469166307278e-8	9.925966556781103e-8	-0.23514853028272498	0.5869704809700445
ABF1_direct_repressed	66	1.863923306518427e-8	1.1649520665740169e-7	-0.42470176279490907	0.20465196783298623
STP1_direct_activated	28	2.9033886711073218e-8	1.728207542325787e-7	0.6437286025521287	-0.2509803921568639
GAT2_direct_repressed	41	1.5500801110592731e-7	8.807273358291324e-7	-0.234241195372409	0.5052889047570832
MSA2_direct_repressed	23	6.302865274830911e-7	3.425470258060278e-6	-0.6429199981075848	0.29331503997729097
ERT1_direct_repressed	11	6.901932027030313e-7	3.594756264078288e-6	0.19288829251928655	0.7538922982812712
FZF1_direct_activated	25	8.143383994712065e-7	4.0716919973560325e-6	-0.61147833659917	0.2140561724363171
NRM1_direct_activated	20	3.283939754874062e-6	1.578817189843299e-5	0.6225315354501961	-0.0795128316659422
HSF1_37_direct_repressed	17	8.584621915306723e-6	3.974361997827187e-5	-0.6717337663167817	0.19181252157459325
PDR1_direct_activated	8	1.4109123559953356e-5	6.298715874979177e-5	-0.7481019522776605	-0.258731019522776
RTG1_direct_activated	21	1.5118803832990594e-5	6.516725790082153e-5	-0.33998363321835434	0.5829371121953242
VHR1_direct_repressed	20	1.8271665974785937e-5	7.613194156160808e-5	0.017268377555463135	0.546215745976512
REB1_direct_repressed	42	2.4511418449019314e-5	9.883636471378756e-5	-0.4113490675990688	0.1427426739926748
RAP1_direct_repressed	66	3.232208610389232e-5	1.2625814884332937e-4	-0.2791646695425285	0.2646921765990303
