ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0044282	small molecule catabolic process	53/462	143/4617	0.3706293706293706	3.70388702206884	10.951584134580454	8.956387729397424e-19	1.0747665275276907e-15	9.31464323857332e-16	YLR142W/YJL052W/YMR105C/YOR120W/YOR374W/YCL040W/YJR096W/YNL274C/YBR006W/YCL064C/YHR137W/YGR019W/YIL155C/YJR148W/YHR104W/YDR019C/YLR155C/YLR157C/YLR158C/YLR160C/YDL215C/YML070W/YOR347C/YGL196W/YGR254W/YDR533C/YJL068C/YMR189W/YML004C/YLL057C/YLR089C/YOR040W/YMR278W/YJR019C/YGL010W/YFR055W/YPL147W/YJR078W/YBR208C/YBR145W/YDR530C/YFR047C/YDR287W/YJL060W/YKR009C/YPR127W/YKL188C/YDR272W/YBR222C/YDR216W/YPR006C/YDR421W/YNL239W	53
BP	GO:0005975	carbohydrate metabolic process	62/462	214/4617	0.2897196261682243	2.8953149654084234	9.466344592536855	9.903618508740786e-16	5.942171105244471e-13	5.149881624545209e-13	YGR043C/YGR256W/YML100W/YJL052W/YMR105C/YOR120W/YOR374W/YCL040W/YJR096W/YFR017C/YPR184W/YIL155C/YBR126C/YIR031C/YOL126C/YHR104W/YLR258W/YBR149W/YBR056W/YDR001C/YDR074W/YML070W/YGL227W/YGL062W/YER065C/YER062C/YIR007W/YOR347C/YPR026W/YDL022W/YLL026W/YDR516C/YGR254W/YIL017C/YKR058W/YKL035W/YIL050W/YCR005C/YAL017W/YIL097W/YEL012W/YLR174W/YMR278W/YGR032W/YNR001C/YIL045W/YCL039W/YBR105C/YNR007C/YIL107C/YIL042C/YJL137C/YBR145W/YGL059W/YMR135C/YFR003C/YMR261C/YDR255C/YBR001C/YJL155C/YPL219W/YDL066W	62
BP	GO:0032787	monocarboxylic acid metabolic process	48/462	152/4617	0.3157894736842105	3.155844155844156	9.01149402366564	6.250311245246923e-14	2.5001244980987692e-11	2.166774565018933e-11	YMR169C/YGR256W/YJL052W/YOR374W/YCL040W/YNL274C/YBR006W/YML042W/YDL110C/YGR019W/YER024W/YIR031C/YOL126C/YMR020W/YPR002W/YBR026C/YER065C/YOR347C/YBL015W/YDR516C/YGR254W/YDR533C/YNR057C/YML004C/YCR005C/YLR089C/YLR174W/YOR040W/YOR317W/YJR019C/YGL010W/YIL042C/YFR055W/YNR058W/YPL147W/YBR145W/YOR221C/YGL059W/YJL060W/YLR118C/YKR009C/YKL188C/YDR272W/YER015W/YBR222C/YDR216W/YPR006C/YDL066W	48
BP	GO:0019752	carboxylic acid metabolic process	72/462	320/4617	0.225	2.2485389610389612	7.719031003898346	5.984599054283176e-12	1.7953797162849528e-9	1.555995754113626e-9	YMR169C/YGR256W/YLR142W/YJL052W/YOR374W/YCL040W/YNL274C/YBR006W/YCL064C/YHR137W/YML042W/YFL030W/YDL110C/YGR019W/YJR148W/YER024W/YIR031C/YOL126C/YMR020W/YPR002W/YDR019C/YLR155C/YLR157C/YLR158C/YLR160C/YDL215C/YBR026C/YGL062W/YER065C/YOR347C/YGL196W/YBL015W/YDR516C/YGR254W/YDR533C/YNR057C/YMR189W/YML004C/YCR005C/YLR089C/YLR174W/YOR040W/YOR317W/YJR019C/YNR001C/YGL010W/YHR112C/YIL042C/YFR055W/YNR058W/YPL147W/YJR078W/YFR049W/YBR145W/YOR221C/YFR047C/YGL059W/YIR017C/YJL060W/YLR118C/YKR009C/YIL125W/YKL188C/YDR272W/YER015W/YBR222C/YDR216W/YPR006C/YDR421W/YNL239W/YDL066W/YIL051C	72
BP	GO:0006082	organic acid metabolic process	74/462	338/4617	0.21893491124260356	2.1879274571582266	7.563895169774388	1.2133954313831958e-11	2.9121490353196702e-9	2.523862497277047e-9	YMR169C/YGR256W/YLR142W/YJL052W/YOR374W/YCL040W/YNL274C/YBR006W/YCL064C/YHR137W/YML042W/YFL030W/YDL110C/YGR019W/YJR148W/YER024W/YIR031C/YOL126C/YMR020W/YPR002W/YDR019C/YLR155C/YLR157C/YLR158C/YLR160C/YDL215C/YBR026C/YGL062W/YER065C/YOR347C/YGL196W/YBL015W/YDR516C/YGR254W/YDR533C/YNR057C/YMR189W/YML004C/YLL057C/YCR005C/YLR089C/YLR174W/YOR040W/YOR317W/YJR019C/YNR001C/YGL010W/YHR112C/YIL042C/YFR055W/YNR058W/YPL147W/YJR078W/YFR049W/YBR145W/YOR221C/YFR047C/YGL059W/YIR017C/YJL060W/YLR118C/YKR009C/YIL125W/YKL188C/YOR163W/YDR272W/YER015W/YBR222C/YDR216W/YPR006C/YDR421W/YNL239W/YDL066W/YIL051C	74
BP	GO:0043436	oxoacid metabolic process	73/462	336/4617	0.21726190476190477	2.1712082560296846	7.433605744026535	2.5344275615207182e-11	5.068855123041436e-9	4.393007773302578e-9	YMR169C/YGR256W/YLR142W/YJL052W/YOR374W/YCL040W/YNL274C/YBR006W/YCL064C/YHR137W/YML042W/YFL030W/YDL110C/YGR019W/YJR148W/YER024W/YIR031C/YOL126C/YMR020W/YPR002W/YDR019C/YLR155C/YLR157C/YLR158C/YLR160C/YDL215C/YBR026C/YGL062W/YER065C/YOR347C/YGL196W/YBL015W/YDR516C/YGR254W/YDR533C/YNR057C/YMR189W/YML004C/YCR005C/YLR089C/YLR174W/YOR040W/YOR317W/YJR019C/YNR001C/YGL010W/YHR112C/YIL042C/YFR055W/YNR058W/YPL147W/YJR078W/YFR049W/YBR145W/YOR221C/YFR047C/YGL059W/YIR017C/YJL060W/YLR118C/YKR009C/YIL125W/YKL188C/YOR163W/YDR272W/YER015W/YBR222C/YDR216W/YPR006C/YDR421W/YNL239W/YDL066W/YIL051C	73
BP	GO:0016054	organic acid catabolic process	32/462	90/4617	0.35555555555555557	3.5532467532467535	8.15599910760633	3.5460052464852405e-11	6.07886613683184e-9	5.268350651920929e-9	YLR142W/YNL274C/YBR006W/YCL064C/YHR137W/YGR019W/YJR148W/YDR019C/YLR155C/YLR157C/YLR158C/YLR160C/YDL215C/YGL196W/YMR189W/YLL057C/YLR089C/YJR019C/YGL010W/YFR055W/YPL147W/YJR078W/YBR145W/YFR047C/YJL060W/YKR009C/YKL188C/YBR222C/YDR216W/YPR006C/YDR421W/YNL239W	32
BP	GO:0015980	energy derivation by oxidation of organic compounds	46/462	170/4617	0.27058823529411763	2.7041252864782277	7.548502278643606	9.334789479211412e-11	1.2634815827382541e-8	1.095017371706487e-8	YJL052W/YMR105C/YOR374W/YCL040W/YFR017C/YEL039C/YIL111W/YPR184W/YIR031C/YOL126C/YLR258W/YBR026C/YML070W/YGL062W/YER065C/YOR347C/YDR516C/YGR254W/YKR058W/YKL035W/YIL050W/YGR244C/YCR005C/YAL017W/YLR174W/YNR001C/YIL045W/YDR178W/YNR007C/YIL042C/YFR049W/YLL041C/YJL137C/YBR145W/YKR046C/YMR056C/YGL059W/YFR003C/YDR031W/YMR030W/YIL125W/YOL071W/YOR142W/YPL219W/YML120C/YDL066W	46
BP	GO:0006091	generation of precursor metabolites and energy	48/462	182/4617	0.26373626373626374	2.635650064221493	7.506675642238774	9.476111870536906e-11	1.2634815827382541e-8	1.095017371706487e-8	YGR043C/YGR256W/YJL052W/YMR105C/YOR374W/YCL040W/YFR017C/YEL039C/YIL111W/YPR184W/YIR031C/YOL126C/YLR258W/YBR026C/YML070W/YGL062W/YER065C/YOR347C/YDR516C/YGR254W/YKR058W/YKL035W/YIL050W/YGR244C/YCR005C/YAL017W/YLR174W/YNR001C/YIL045W/YDR178W/YNR007C/YIL042C/YFR049W/YLL041C/YJL137C/YBR145W/YKR046C/YMR056C/YGL059W/YFR003C/YDR031W/YMR030W/YIL125W/YOL071W/YOR142W/YPL219W/YML120C/YDL066W	48
BP	GO:0046395	carboxylic acid catabolic process	31/462	89/4617	0.34831460674157305	3.480884284255071	7.879826877505713	1.3344052539649242e-10	1.601286304757909e-8	1.3877814641235212e-8	YLR142W/YNL274C/YBR006W/YCL064C/YHR137W/YGR019W/YJR148W/YDR019C/YLR155C/YLR157C/YLR158C/YLR160C/YDL215C/YGL196W/YMR189W/YLR089C/YJR019C/YGL010W/YFR055W/YPL147W/YJR078W/YBR145W/YFR047C/YJL060W/YKR009C/YKL188C/YBR222C/YDR216W/YPR006C/YDR421W/YNL239W	31
BP	GO:0016051	carbohydrate biosynthetic process	30/462	86/4617	0.3488372093023256	3.486106916339475	7.759618505498414	2.570024631329786e-10	2.8036632341779485e-8	2.4298414696208884e-8	YML100W/YJL052W/YMR105C/YFR017C/YPR184W/YBR126C/YOL126C/YLR258W/YDR074W/YGL227W/YGL062W/YER062C/YDL022W/YGR254W/YIL017C/YKR058W/YKL035W/YIL050W/YAL017W/YIL097W/YEL012W/YGR032W/YIL045W/YCL039W/YBR105C/YJL137C/YMR135C/YMR261C/YDR255C/YPL219W	30
BP	GO:0005991	trehalose metabolic process	10/462	12/4617	0.8333333333333334	8.327922077922079	8.474713440659663	5.04528906058932e-9	5.04528906058932e-7	4.3725838525107444e-7	YML100W/YMR105C/YBR126C/YDR001C/YDR074W/YPR026W/YLL026W/YKL035W/YMR261C/YBR001C	10
BP	GO:0006081	aldehyde metabolic process	17/462	35/4617	0.4857142857142857	4.853988868274582	7.631067752532573	6.264384491618684e-9	5.233972671526103e-7	4.536109648655956e-7	YGR043C/YNL274C/YIR031C/YOL126C/YMR096W/YER065C/YJR155W/YDR533C/YJL068C/YML004C/YMR095C/YCR005C/YLR174W/YOR040W/YMR110C/YDR272W/YDL066W	17
