ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0019752	carboxylic acid metabolic process	90/462	320/4617	0.28125	2.8106737012987013	11.194401516022776	8.95992074634374e-22	1.1889814830398143e-18	1.0233172641876798e-18	YNR057C/YGR286C/YNR058W/YNR001C/YIR034C/YLR304C/YER081W/YGR254W/YNL037C/YPL262W/YPR002W/YDL066W/YOR344C/YOR136W/YLL027W/YDL170W/YDL171C/YNL104C/YOR375C/YIR017C/YGL059W/YPL111W/YOR184W/YCL009C/YDR294C/YHR018C/YER015W/YJR078W/YOR202W/YKL060C/YDL131W/YCL030C/YNL239W/YJL200C/YGL202W/YNL135C/YGL125W/YJR130C/YBR222C/YLR044C/YGR204W/YKL152C/YGL026C/YEL066W/YMR083W/YBR196C/YDR234W/YNR050C/YNL277W/YDR216W/YIL116W/YDL168W/YPL028W/YOR317W/YBR115C/YDR533C/YFL018C/YER090W/YMR062C/YLR174W/YPL231W/YBL015W/YKR080W/YBR166C/YAL038W/YDR158W/YDR007W/YER024W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YHR208W/YJR009C/YNL274C/YHR112C/YNL071W/YJR025C/YPR006C/YER178W/YEL071W/YCL018W/YMR108W/YPR069C/YDR272W/YER010C/YDL110C/YLR118C/YJL071W	90
BP	GO:0006082	organic acid metabolic process	91/462	338/4617	0.2692307692307692	2.6905594405594404	10.764305774406262	1.4469736378958466e-20	9.600670087438943e-18	8.262981037457863e-18	YNR057C/YGR286C/YNR058W/YNR001C/YIR034C/YLR304C/YER081W/YGR254W/YNL037C/YPL262W/YPR002W/YDL066W/YOR344C/YOR136W/YLL027W/YDL170W/YDL171C/YNL104C/YOR375C/YIR017C/YGL059W/YPL111W/YOR184W/YCL009C/YDR294C/YHR018C/YER015W/YJR078W/YOR202W/YKL060C/YDL131W/YCL030C/YNL239W/YJL200C/YGL202W/YNL135C/YGL125W/YJR130C/YBR222C/YLR044C/YGR204W/YKL152C/YGL026C/YEL066W/YMR083W/YBR196C/YDR234W/YNR050C/YNL277W/YDR216W/YIL116W/YDL168W/YPL028W/YOR317W/YBR115C/YDR533C/YFL018C/YER090W/YMR062C/YLR174W/YPL231W/YBL015W/YKR080W/YBR166C/YAL038W/YDR158W/YDR007W/YER024W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YHR208W/YJR009C/YNL274C/YHR112C/YNL071W/YJR025C/YPR006C/YER178W/YEL071W/YCL018W/YMR108W/YPR069C/YDR272W/YER010C/YDL110C/YLL057C/YLR118C/YJL071W	91
BP	GO:0043436	oxoacid metabolic process	90/462	336/4617	0.26785714285714285	2.6768320964749535	10.642777354028782	3.609073102954747e-20	1.2227008581830148e-17	1.0523384215512404e-17	YNR057C/YGR286C/YNR058W/YNR001C/YIR034C/YLR304C/YER081W/YGR254W/YNL037C/YPL262W/YPR002W/YDL066W/YOR344C/YOR136W/YLL027W/YDL170W/YDL171C/YNL104C/YOR375C/YIR017C/YGL059W/YPL111W/YOR184W/YCL009C/YDR294C/YHR018C/YER015W/YJR078W/YOR202W/YKL060C/YDL131W/YCL030C/YNL239W/YJL200C/YGL202W/YNL135C/YGL125W/YJR130C/YBR222C/YLR044C/YGR204W/YKL152C/YGL026C/YEL066W/YMR083W/YBR196C/YDR234W/YNR050C/YNL277W/YDR216W/YIL116W/YDL168W/YPL028W/YOR317W/YBR115C/YDR533C/YFL018C/YER090W/YMR062C/YLR174W/YPL231W/YBL015W/YKR080W/YBR166C/YAL038W/YDR158W/YDR007W/YER024W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YHR208W/YJR009C/YNL274C/YHR112C/YNL071W/YJR025C/YPR006C/YER178W/YEL071W/YCL018W/YMR108W/YPR069C/YDR272W/YER010C/YDL110C/YLR118C/YJL071W	90
BP	GO:0044283	small molecule biosynthetic process	89/462	330/4617	0.2696969696969697	2.6952184179456906	10.65551056836139	3.685609218336141e-20	1.2227008581830148e-17	1.0523384215512404e-17	YNR057C/YGR286C/YNR058W/YIR034C/YMR095C/YER081W/YGR254W/YNL037C/YDL066W/YMR096W/YNL220W/YOR136W/YLL027W/YBR256C/YDL171C/YNL104C/YOR375C/YIR017C/YMR015C/YOR184W/YCL009C/YHR018C/YOR202W/YKL060C/YGR060W/YDL131W/YCL030C/YJL200C/YHR007C/YGL202W/YNL135C/YFL059W/YGL125W/YJR130C/YER044C/YLR044C/YGR204W/YKL152C/YMR110C/YGL026C/YBR105C/YMR083W/YBR196C/YDR234W/YNR050C/YNL277W/YIL116W/YDL168W/YPL028W/YPL170W/YML126C/YGR175C/YBR115C/YNL333W/YJR159W/YDR533C/YFL018C/YLR410W/YER090W/YMR062C/YHR190W/YLR174W/YPL231W/YJL167W/YBR166C/YDR158W/YML028W/YMR202W/YDR007W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YBR035C/YHR208W/YJR009C/YJR025C/YLR260W/YEL071W/YCL018W/YMR108W/YPR069C/YML008C/YDL110C/YDR315C/YOL143C/YJL071W/YER062C	89
BP	GO:0045333	cellular respiration	49/462	122/4617	0.4016393442622951	4.013785394932936	11.248529846840931	3.785539507949857e-19	8.382907495247189e-17	7.214892819056203e-17	YNR001C/YLR304C/YGR254W/YNL037C/YPL262W/YDL066W/YOR344C/YKR046C/YOR136W/Q0070/YGL059W/YKL109W/YGL191W/YJL166W/YKL141W/YGR183C/YKL060C/Q0045/YJL200C/YDR529C/YDR178W/YHR001W-A/YKL152C/YBR196C/YLL041C/YJR121W/YPR191W/YDL067C/YHR051W/YFL018C/YLR174W/YMR256C/YAL038W/YKL148C/YDR298C/YPL271W/YBL045C/YJR009C/YLR256W/YNL071W/YER178W/YOR065W/YEL024W/YLR038C/YML120C/YLR395C/YNL031C/YGR244C/YBL030C	49
BP	GO:0009060	aerobic respiration	47/462	113/4617	0.415929203539823	4.156591196414205	11.327308939654648	3.790312356554871e-19	8.382907495247189e-17	7.214892819056203e-17	YNR001C/YLR304C/YGR254W/YNL037C/YPL262W/YDL066W/YOR344C/YKR046C/YOR136W/Q0070/YGL059W/YGL191W/YJL166W/YKL141W/YGR183C/YKL060C/Q0045/YJL200C/YDR529C/YDR178W/YHR001W-A/YKL152C/YBR196C/YLL041C/YJR121W/YPR191W/YDL067C/YHR051W/YFL018C/YLR174W/YMR256C/YAL038W/YKL148C/YDR298C/YPL271W/YBL045C/YJR009C/YNL071W/YER178W/YOR065W/YEL024W/YLR038C/YML120C/YLR395C/YNL031C/YGR244C/YBL030C	47
BP	GO:0170034	L-amino acid biosynthetic process	43/462	110/4617	0.39090909090909093	3.9065525383707205	10.287245754756578	2.1634309355893246e-16	4.101246930752905e-14	3.529808368593108e-14	YIR034C/YER081W/YNL037C/YDL066W/YOR136W/YDL171C/YNL104C/YOR375C/YIR017C/YOR184W/YCL009C/YHR018C/YOR202W/YDL131W/YCL030C/YJL200C/YGL202W/YGL125W/YJR130C/YGR204W/YGL026C/YDR234W/YNR050C/YNL277W/YIL116W/YBR115C/YFL018C/YER090W/YMR062C/YLR174W/YBR166C/YDR158W/YDR007W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YHR208W/YCL018W/YMR108W/YPR069C/YJL071W	43
BP	GO:0170038	proteinogenic amino acid biosynthetic process	43/462	112/4617	0.38392857142857145	3.8367926716141008	10.133455946176571	4.742114590448093e-16	7.752606329480989e-14	6.672413332397471e-14	YIR034C/YER081W/YNL037C/YDL066W/YOR136W/YDL171C/YNL104C/YOR375C/YIR017C/YOR184W/YCL009C/YHR018C/YOR202W/YDL131W/YCL030C/YJL200C/YGL202W/YGL125W/YJR130C/YGR204W/YGL026C/YDR234W/YNR050C/YNL277W/YIL116W/YBR115C/YFL018C/YER090W/YMR062C/YLR174W/YBR166C/YDR158W/YDR007W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YHR208W/YCL018W/YMR108W/YPR069C/YJL071W	43
BP	GO:1901607	alpha-amino acid biosynthetic process	44/462	117/4617	0.37606837606837606	3.758241758241758	10.075981859531591	5.257984699723353e-16	7.752606329480989e-14	6.672413332397471e-14	YIR034C/YER081W/YNL037C/YDL066W/YOR136W/YDL171C/YNL104C/YOR375C/YIR017C/YOR184W/YCL009C/YHR018C/YOR202W/YDL131W/YCL030C/YJL200C/YGL202W/YNL135C/YGL125W/YJR130C/YGR204W/YGL026C/YDR234W/YNR050C/YNL277W/YIL116W/YBR115C/YFL018C/YER090W/YMR062C/YLR174W/YBR166C/YDR158W/YDR007W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YHR208W/YCL018W/YMR108W/YPR069C/YJL071W	44
BP	GO:1901605	alpha-amino acid metabolic process	53/462	164/4617	0.3231707317073171	3.2296088058283186	9.693767991488446	8.984227625298395e-16	1.1922070058770968e-13	1.0260933656261852e-13	YIR034C/YER081W/YNL037C/YDL066W/YOR136W/YDL171C/YNL104C/YOR375C/YIR017C/YPL111W/YOR184W/YCL009C/YHR018C/YJR078W/YOR202W/YDL131W/YCL030C/YNL239W/YJL200C/YGL202W/YNL135C/YGL125W/YJR130C/YLR044C/YGR204W/YGL026C/YEL066W/YMR083W/YDR234W/YNR050C/YNL277W/YIL116W/YDL168W/YBR115C/YFL018C/YER090W/YMR062C/YLR174W/YBR166C/YDR158W/YDR007W/YPR035W/YBR263W/YOL058W/YIL094C/YGL009C/YHR208W/YHR112C/YJR025C/YCL018W/YMR108W/YPR069C/YJL071W	53
