query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	5.131785803729852e-16	629	462	132	0.2857142857142857	0.20985691573926868	GO:0044281	GO:BP	small molecule metabolic process	4618	10246	
query_1	TRUE	2.438865971902724e-13	115	462	44	0.09523809523809523	0.3826086956521739	GO:0044282	GO:BP	small molecule catabolic process	4618	10247	
query_1	TRUE	2.505240846623973e-12	208	462	60	0.12987012987012986	0.28846153846153844	GO:0005975	GO:BP	carbohydrate metabolic process	4618	1760	
query_1	TRUE	6.293069867821149e-10	81	462	32	0.06926406926406926	0.3950617283950617	GO:0016054	GO:BP	organic acid catabolic process	4618	4844	
query_1	TRUE	2.1068347529412554e-9	80	462	31	0.0670995670995671	0.3875	GO:0046395	GO:BP	carboxylic acid catabolic process	4618	11315	
query_1	TRUE	5.777690248975001e-9	908	462	148	0.3203463203463203	0.16299559471365638	GO:0009056	GO:BP	catabolic process	4618	3092	
query_1	TRUE	6.748927330377877e-9	322	462	71	0.15367965367965367	0.2204968944099379	GO:0019752	GO:BP	carboxylic acid metabolic process	4618	5632	
query_1	TRUE	1.1406917957755624e-8	340	462	73	0.15800865800865802	0.21470588235294116	GO:0006082	GO:BP	organic acid metabolic process	4618	1846	
query_1	TRUE	1.4462104722416635e-8	151	462	43	0.09307359307359307	0.2847682119205298	GO:0032787	GO:BP	monocarboxylic acid metabolic process	4618	7321	
query_1	TRUE	1.8753130734645646e-8	338	462	72	0.15584415584415584	0.21301775147928995	GO:0043436	GO:BP	oxoacid metabolic process	4618	10020	
query_1	TRUE	3.18108976559807e-8	185	462	48	0.1038961038961039	0.2594594594594595	GO:0006091	GO:BP	generation of precursor metabolites and energy	4618	1853	
query_1	TRUE	6.854431116503161e-8	171	462	45	0.09740259740259741	0.2631578947368421	GO:0015980	GO:BP	energy derivation by oxidation of organic compounds	4618	4818	
query_1	TRUE	1.4540888963841932e-7	80	462	28	0.06060606060606061	0.35	GO:0016051	GO:BP	carbohydrate biosynthetic process	4618	4841	
query_1	TRUE	7.185061491266117e-7	12	462	10	0.021645021645021644	0.8333333333333334	GO:0005991	GO:BP	trehalose metabolic process	4618	1776	
query_1	TRUE	1.6140025129035331e-6	49	462	20	0.04329004329004329	0.40816326530612246	GO:0009063	GO:BP	amino acid catabolic process	4618	3099	
query_1	TRUE	1.6448981187493555e-6	25	462	14	0.030303030303030304	0.56	GO:0006099	GO:BP	tricarboxylic acid cycle	4618	1858	
query_1	TRUE	2.1248767638681595e-6	37	462	17	0.0367965367965368	0.4594594594594595	GO:1901606	GO:BP	alpha-amino acid catabolic process	4618	20184	
query_1	TRUE	3.7090998880376364e-6	61	462	22	0.047619047619047616	0.36065573770491804	GO:0005996	GO:BP	monosaccharide metabolic process	4618	1780	
query_1	TRUE	6.681821774440568e-6	17	462	11	0.023809523809523808	0.6470588235294118	GO:0045912	GO:BP	negative regulation of carbohydrate metabolic process	4618	10931	
query_1	TRUE	8.520208684370775e-6	54	462	20	0.04329004329004329	0.37037037037037035	GO:0019318	GO:BP	hexose metabolic process	4618	5347	
query_1	TRUE	9.162829568252448e-6	45	462	18	0.03896103896103896	0.4	GO:0006006	GO:BP	glucose metabolic process	4618	1790	
query_1	TRUE	3.2324384747265003e-5	10	462	8	0.017316017316017316	0.8	GO:0045721	GO:BP	negative regulation of gluconeogenesis	4618	10794	
query_1	TRUE	5.7333093763161265e-5	32	462	14	0.030303030303030304	0.4375	GO:0170035	GO:BP	L-amino acid catabolic process	4618	19044	
query_1	TRUE	5.7333093763161265e-5	129	462	32	0.06926406926406926	0.24806201550387597	GO:0006979	GO:BP	response to oxidative stress	4618	2471	
