query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	8.981494357855831e-169	362	462	239	0.5173160173160173	0.6602209944751382	GO:0042254	GO:BP	ribosome biogenesis	4618	9411	
query_1	TRUE	1.4434330771856107e-149	451	462	249	0.538961038961039	0.5521064301552107	GO:0022613	GO:BP	ribonucleoprotein complex biogenesis	4618	6185	
query_1	TRUE	6.726749502232792e-127	258	462	180	0.38961038961038963	0.6976744186046512	GO:0006364	GO:BP	rRNA processing	4618	2032	
query_1	TRUE	2.8908345887143107e-125	315	462	196	0.42424242424242425	0.6222222222222222	GO:0016072	GO:BP	rRNA metabolic process	4618	4856	
query_1	TRUE	1.72150877288056e-111	210	462	154	0.3333333333333333	0.7333333333333333	GO:0002181	GO:BP	cytoplasmic translation	4618	709	
query_1	TRUE	1.6907642862045923e-90	145	462	117	0.2532467532467532	0.8068965517241379	GO:0042274	GO:BP	ribosomal small subunit biogenesis	4618	9422	
query_1	TRUE	6.459579725326077e-84	125	462	105	0.22727272727272727	0.84	GO:0030490	GO:BP	maturation of SSU-rRNA	4618	6372	
query_1	TRUE	2.695180371943343e-81	518	462	205	0.44372294372294374	0.39575289575289574	GO:0006396	GO:BP	RNA processing	4618	2049	
query_1	TRUE	1.0650305470189503e-77	124	462	101	0.21861471861471862	0.8145161290322581	GO:0042273	GO:BP	ribosomal large subunit biogenesis	4618	9421	
query_1	TRUE	1.3571798429733061e-70	94	462	84	0.18181818181818182	0.8936170212765957	GO:0000462	GO:BP	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	151	
query_1	TRUE	1.67919174803417e-69	462	462	182	0.3939393939393939	0.3939393939393939	GO:0006412	GO:BP	translation	4618	2062	
query_1	TRUE	1.67919174803417e-69	462	462	182	0.3939393939393939	0.3939393939393939	GO:0160307	GO:BP	protein biosynthetic process	4618	19039	
query_1	TRUE	2.198575513615747e-65	1759	462	353	0.7640692640692641	0.2006822057987493	GO:0010467	GO:BP	gene expression	4618	3976	
query_1	TRUE	1.2896327793805427e-54	1932	462	356	0.7705627705627706	0.18426501035196688	GO:0009059	GO:BP	macromolecule biosynthetic process	4618	3095	
query_1	TRUE	1.648371381648999e-44	2387	462	383	0.829004329004329	0.16045245077503142	GO:0009058	GO:BP	biosynthetic process	4618	3094	
query_1	TRUE	2.2138891266296242e-41	88	462	64	0.13852813852813853	0.7272727272727273	GO:0042255	GO:BP	ribosome assembly	4618	9412	
query_1	TRUE	2.7706568596524823e-39	81	462	60	0.12987012987012986	0.7407407407407407	GO:0000466	GO:BP	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	155	
query_1	TRUE	8.774699062576192e-39	1250	462	258	0.5584415584415584	0.2064	GO:0044085	GO:BP	cellular component biogenesis	4618	10211	
query_1	TRUE	1.662004092445957e-38	91	462	63	0.13636363636363635	0.6923076923076923	GO:0000460	GO:BP	maturation of 5.8S rRNA	4618	149	
query_1	TRUE	4.1349783328456577e-38	65	462	53	0.11471861471861472	0.8153846153846154	GO:0000154	GO:BP	rRNA modification	4618	51	
query_1	TRUE	6.420295587238712e-36	61	462	50	0.10822510822510822	0.819672131147541	GO:0000470	GO:BP	maturation of LSU-rRNA	4618	158	
query_1	TRUE	3.980158115671768e-34	80	462	56	0.12121212121212122	0.7	GO:0001510	GO:BP	RNA methylation	4618	312	
query_1	TRUE	4.797320714792671e-34	52	462	45	0.09740259740259741	0.8653846153846154	GO:0031167	GO:BP	rRNA methylation	4618	6631	
query_1	TRUE	1.5036884285429128e-33	1103	462	231	0.5	0.20942883046237534	GO:0032774	GO:BP	RNA biosynthetic process	4618	7314	
query_1	TRUE	2.8943801214121905e-33	53	462	45	0.09740259740259741	0.8490566037735849	GO:0000479	GO:BP	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	166	
query_1	TRUE	3.422669838585517e-33	151	462	76	0.1645021645021645	0.5033112582781457	GO:0009451	GO:BP	RNA modification	4618	3341	
query_1	TRUE	4.5448243084442124e-33	101	462	62	0.1341991341991342	0.6138613861386139	GO:0043414	GO:BP	macromolecule methylation	4618	10009	
query_1	TRUE	1.0580468757506054e-32	102	462	62	0.1341991341991342	0.6078431372549019	GO:0032259	GO:BP	methylation	4618	6959	
query_1	TRUE	2.4894086458031397e-32	1234	462	245	0.5303030303030303	0.19854132901134522	GO:0016070	GO:BP	RNA metabolic process	4618	4854	
query_1	TRUE	3.2501710775271674e-31	1144	462	232	0.5021645021645021	0.20279720279720279	GO:0141187	GO:BP	nucleic acid biosynthetic process	4618	18825	
query_1	TRUE	6.665099316921131e-30	66	462	48	0.1038961038961039	0.7272727272727273	GO:0000054	GO:BP	ribosomal subunit export from nucleus	4618	20	
query_1	TRUE	2.141104538366278e-29	67	462	48	0.1038961038961039	0.7164179104477612	GO:0033750	GO:BP	ribosome localization	4618	7799	
query_1	TRUE	4.2788941153714337e-29	1250	462	241	0.5216450216450217	0.1928	GO:0034654	GO:BP	nucleobase-containing compound biosynthetic process	4618	8134	
query_1	TRUE	4.563460639814669e-29	2515	462	370	0.8008658008658008	0.147117296222664	GO:0043170	GO:BP	macromolecule metabolic process	4618	9900	
query_1	TRUE	9.873855228592089e-29	39	462	36	0.07792207792207792	0.9230769230769231	GO:0000447	GO:BP	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	139	
query_1	TRUE	1.902099971988075e-27	189	462	79	0.170995670995671	0.41798941798941797	GO:0071826	GO:BP	protein-RNA complex organization	4618	15786	
query_1	TRUE	2.9419842116735286e-27	181	462	77	0.16666666666666666	0.425414364640884	GO:0022618	GO:BP	protein-RNA complex assembly	4618	6190	
query_1	TRUE	1.5164663427054352e-26	46	462	38	0.08225108225108226	0.8260869565217391	GO:0000463	GO:BP	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	152	
query_1	TRUE	7.867546084378116e-22	41	462	33	0.07142857142857142	0.8048780487804879	GO:0000027	GO:BP	ribosomal large subunit assembly	4618	11	
query_1	TRUE	1.6374034660173513e-21	2980	462	395	0.854978354978355	0.1325503355704698	GO:0044238	GO:BP	primary metabolic process	4618	10236	
