set	setSize	pMANOVA	s.PC1	s.PC2	p.PC1	p.PC2	s.dist	SD	p.adjustMANOVA
nucleolus (GO:0005730)	245	9.698194161238183e-107	0.7721173994409106	-0.5513284206891079	1.6714354246209435e-96	5.400825472687741e-49	0.9487509188290363	0.9358175139469279	8.59260002685703e-104
ribosome biogenesis (GO:0042254)	176	2.096899923860749e-102	0.8768623879497359	-0.6527465105808195	1.1128035246833268e-90	4.2375590572845186e-50	1.0931448460640287	1.0815968247142413	9.28926666270312e-100
ribonucleoprotein complex (GO:1990904)	312	5.797620070869534e-96	0.6634511177010016	-0.44776519346886273	3.5628287803209986e-89	1.146001912505973e-40	0.8004130521555207	0.7857485889933118	1.7122304609301356e-93
rRNA processing (GO:0006364)	190	6.299329099856565e-93	0.8186326249227405	-0.5744948414396425	6.135971455490679e-85	6.811556608949454e-42	1.000101843528276	0.9850898785220749	1.3953013956182292e-90
RNA binding (GO:0003723)	391	3.7419881776838315e-83	0.5740511158022625	-0.3217805158290058	5.347695978389966e-82	2.8172152678976915e-26	0.6580861523546926	0.6334486215278791	6.630803050855749e-81
translation (GO:0006412)	267	2.4092062865765897e-72	0.6435379700908225	-0.33906794856234357	2.5644399615342923e-72	8.249440251194632e-21	0.7273982352816731	0.6948073083136908	3.557594616511431e-70
ribosome (GO:0005840)	224	3.6360007896780237e-68	0.6664424702516417	-0.4142377592821381	1.1390092811470048e-65	5.972510551900627e-26	0.7846900581568477	0.7641563185975704	4.6021381423638986e-66
cytoplasmic translation (GO:0002181)	127	6.5523041472194494e-65	0.8769507518974957	-0.2917944375189574	6.823859100910006e-66	1.856777343240781e-8	0.9242221675661042	0.82642764891553	7.072781232703549e-63
structural constituent of ribosome (GO:0003735)	219	7.18454075556794e-65	0.6533915449858363	-0.4217988521675225	8.878729128961656e-62	2.574656573326273e-26	0.7777112463818545	0.7602744208937972	7.072781232703549e-63
cytosolic large ribosomal subunit (GO:0022625)	82	2.6828990272330644e-44	0.8990945068180842	-0.29658665634275383	2.723794347269575e-45	3.943011456773654e-6	0.9467494794881214	0.8454742586080475	2.377048538128495e-42
90S preribosome (GO:0030686)	70	1.2730543741804657e-41	0.9074569669556477	-0.6046299786405328	1.3150658305823304e-39	2.5737266101366545e-18	1.0904382412347775	1.0692069329747134	1.025387432294448e-39
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	58	4.2721475443861496e-35	0.9177329098608591	-0.5990925589836661	8.070622216534443e-34	3.351608060940619e-15	1.0959678772990005	1.072557574896428	3.15426893693844e-33
cytosolic small ribosomal subunit (GO:0022627)	60	2.3622817075508867e-31	0.8840207693432792	-0.32664180195992387	1.6965513503899977e-32	1.3179981358433837e-5	0.9424370469256339	0.856067713897237	1.6099858406846815e-29
ribosomal large subunit biogenesis (GO:0042273)	51	2.5496025748688864e-30	0.8817862156905678	-0.6576634595156216	9.902973672784045e-28	4.798601364599705e-16	1.1000309796382775	1.0885553046337246	1.613534200952738e-28
small-subunit processome (GO:0032040)	50	5.062573541505098e-30	0.8794308231173379	-0.6737828371278459	4.4274694359785934e-27	1.791621541974003e-16	1.107872684136985	1.0982879117909479	2.990293438515678e-28
preribosome, large subunit precursor (GO:0030687)	49	6.888231869594954e-28	0.881588879806683	-0.5985277893166459	1.0755771823711045e-26	4.597763158954524e-13	1.0655676738635953	1.0466005336843514	3.8143583977882055e-26
amino acid biosynthetic process (GO:0008652)	86	5.411078367152272e-25	0.21933947741127693	0.48318931012541305	4.802914015280261e-4	1.2458922592047398e-14	0.5306427383565374	0.18657000592710182	2.820126725468772e-23
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	38	2.832093235649338e-23	0.8915881406573202	-0.6660537807400597	1.660774018956407e-21	1.2510835829858658e-12	1.112904780921937	1.1014191652805305	1.3940192259918406e-21
tRNA processing (GO:0008033)	95	1.878098628262255e-22	0.5793755890943365	-0.35868368688690555	2.316034192428827e-22	1.94009076011864e-9	0.6814176843003072	0.6633080752012793	8.757870445475567e-21
oxidoreductase activity (GO:0016491)	224	3.0845956424178575e-22	-0.25543354574419663	0.37429286689641716	9.67701928143295e-11	1.937176243203091e-21	0.4531461646102631	0.445283816670456	1.366475869591111e-20
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	35	2.1220563466219686e-21	0.9091923568467317	-0.6202487453632992	1.1387071495631433e-20	2.2443373601907652e-10	1.100608580683097	1.0814781747981406	8.953056776700305e-20
nucleic acid binding (GO:0003676)	173	2.343148168725342e-21	0.4259836017607626	-0.24661729422550505	1.1144210654167385e-21	3.3959383694349766e-8	0.49222161551498456	0.4756006545840376	9.436496715866604e-20
mitochondrial translation (GO:0032543)	96	2.0523629865491725e-19	0.15491854636591482	-0.5456472062509214	0.009272665818574319	3.4886778301555575e-20	0.5672130373127576	0.49537479434242226	7.906059156880725e-18
rRNA binding (GO:0019843)	44	5.974825432415493e-19	0.7822772985650117	-0.4567317247684541	2.6724077463023937e-19	1.7069744760460687e-7	0.9058485746857139	0.876111682350415	2.2057063888000526e-17
mRNA binding (GO:0003729)	197	1.1713024425650553e-18	0.37810656798367737	-0.1900332630259135	1.6999222025595009e-19	6.068840826688511e-6	0.4231751620885508	0.40173552716906086	4.151095856450556e-17
ribosomal large subunit assembly (GO:0000027)	33	3.3011140669173163e-18	0.895363669409471	-0.4535540795082781	4.981488837792804e-19	6.783577118732691e-6	1.0036869051337642	0.9538288875226331	1.124918101264901e-16
ribosomal small subunit biogenesis (GO:0042274)	35	1.0337428532102417e-16	0.8066768492253982	-0.529017175275085	1.4226039879699392e-16	6.397388774502826e-8	0.964669223522885	0.9444783023146422	3.3922080294232377e-15
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	29	1.4767338442824683e-16	0.8438094093071138	-0.6619802977134227	3.5468629701288175e-15	6.997964467032083e-10	1.072488803576043	1.064754112875126	4.6728078072652384e-15
