set	setSize	pMANOVA	s.PC1	s.PC2	p.PC1	p.PC2	s.dist	SD	p.adjustMANOVA
RPH1_bound	616	2.0938386679225852e-66	-0.4187321923453857	0.08778403006289057	6.25174935610126e-65	4.4075136993258757e-4	0.42783488034574224	0.35816105564588563	3.664217668864524e-64
MSN4_bound	700	2.10047845969743e-62	-0.3914861809961351	0.19163859111791737	3.878223126282393e-63	4.828523891264435e-16	0.4358747291557506	0.4123314806397067	1.8379186522352513e-60
COM2_bound	498	3.188312460294144e-58	-0.43855226732171404	0.14870842593675668	2.81816851554994e-59	5.4373912667386166e-8	0.4630791369923763	0.4152560185273777	1.8598489351715842e-56
IFH1_bound	188	7.427126686629742e-49	0.6325392632438404	-0.2425988185005524	4.067334937763206e-50	1.593834607830304e-8	0.6774659447403422	0.6188160720760473	3.2493679254005125e-47
MSN2_bound	567	5.547004689258213e-33	-0.30856970452132143	0.17212855318672812	3.16635987838226e-33	2.6786116359715744e-11	0.3533319987922576	0.3399049977299204	1.9414516412403747e-31
FHL1_bound	434	5.678213468994521e-32	0.34345344564767255	-0.0943477896925747	1.444958446202324e-32	0.0011893478233297565	0.3561766061199599	0.3095722223209364	1.656145595123402e-30
YKL222C_bound	88	2.8846978558555694e-27	0.67876781055589	-0.20478627332931962	4.190998231180289e-28	9.787147071616252e-4	0.7089874176534781	0.6247670842602994	7.211744639638924e-26
SWP82_bound	592	2.3827199353261776e-24	-0.2612897920274969	0.13650293363408117	4.732604197656014e-25	7.523969601450905e-8	0.29479722913976475	0.2812819338219818	5.212199858526013e-23
AZF1_bound	1158	9.859562565598808e-24	0.13973364481316206	0.07604051234438489	8.884337587994877e-13	1.037828903652119e-4	0.1590837861328661	0.0450378458836854	1.9171371655331013e-22
ABF1_bound	1222	1.5918570112805433e-20	0.1573628549231887	0.02270843333545385	2.4407498118049335e-16	0.23846131908292476	0.15899289623793664	0.09521505462143955	2.7857497697409507e-19
STP1_bound	904	2.83200596937538e-20	-0.12127753870787884	0.19685321267054576	1.4090499629461316e-8	2.6193395009778187e-20	0.23121295105109527	0.22495241160365564	4.505464042188104e-19
SFP1_bound	424	5.254191138214307e-20	0.18914374533250553	0.10846807208860816	1.183733196187498e-10	2.2569065237064813e-4	0.21803825137123806	0.05704631562754994	7.662362076562531e-19
TUP1_bound	753	6.180656694201287e-19	0.14393654360565497	0.0821514287824983	3.605106131445914e-10	3.521304610333535e-4	0.1657304614008798	0.043688673667843556	8.320114780655578e-18
HAP2_bound	444	9.512568574376181e-19	-0.17300685927902024	0.24890247218948702	1.8202887998938363e-9	4.3520236979483105e-18	0.30312343033759215	0.29833494932726434	1.1890710717970227e-17
HAP3_bound	420	8.76245432605736e-17	-0.1910864584042288	0.22865763742371656	9.168714219441765e-11	8.372173477251197e-15	0.29799051954326816	0.2968038965229562	1.0222863380400253e-15
NCB2_bound	366	1.2341187749814376e-16	-0.2280341234468897	0.22068817502788793	3.612470687418136e-13	2.008633402695135e-12	0.3173370952998263	0.31729458012112927	1.3498174101359473e-15
TFA1_bound	1795	2.1454919763259983e-16	-0.12517018482283906	0.12165114060093324	6.028254414603079e-13	2.6275094297075968e-12	0.17454677074667327	0.174529032948601	2.2085946815120572e-15
GLN3_bound	637	2.8396851800427985e-16	-0.15945008807534375	0.18584074984118046	8.886220640748439e-11	3.900258543717629e-14	0.24486958751295984	0.24415749297235934	2.7608050361527207e-15
RAP1_bound	720	1.3308374141198815e-15	0.15343053417707087	0.04615401060372845	5.206786081801832e-11	0.04876675509284885	0.1602221005750155	0.07585595728082895	1.2257713024788384e-14
SNF5_bound	531	1.4122200701142914e-15	-0.21502978761835906	0.12647285016060747	5.478241622527168e-16	2.001335787772482e-6	0.2494658120683956	0.24147883096660047	1.235692561350005e-14
RTG3_bound	635	2.215310289661298e-15	-0.12922044674116964	0.19399890479419424	1.5689253847112607e-7	3.06954462403254e-15	0.23309547167916905	0.2285505952813743	1.8460919080510815e-14
BUR6_bound	573	5.034710977725958e-15	-0.184237537131356	0.16308889737400145	7.665351867274164e-13	2.2905161960252966e-10	0.24605173954860665	0.2455968771240835	4.004883732282012e-14
MOT1_bound	632	8.875291300187201e-15	-0.17495411154229673	0.15542214205415159	1.2938017736599688e-12	2.990864233677397e-10	0.23401919448253658	0.2336112892610551	6.752939032751132e-14
ADR1_bound	549	1.3586811598304397e-14	-0.16779004790317834	0.18153563238149215	1.509909786714604e-10	4.159287944642909e-12	0.24720171115811304	0.24701055737189434	9.907050123763624e-14
MIG2_bound	388	1.7774071411934076e-14	-0.20431015573590702	0.20224830006580394	2.2992417417464842e-11	3.6447785754966545e-11	0.28748393801452293	0.2874802410461211	1.2441849988353854e-13
RLM1_bound	663	4.5790972153765855e-14	0.03878665148836935	0.1542942568450117	0.10946077432652633	1.765426133893585e-10	0.1590946951630841	0.08167621102630138	3.082084664195779e-13
GCN4_bound	491	5.0218639592519944e-14	-0.08332835724405914	0.21503170467987634	0.0024945537850797244	5.053910999658151e-15	0.23061276881067772	0.21097242302165303	3.254911825441108e-13
VHR1_bound	308	8.20973209325347e-14	0.037464971223671956	0.22408322535932745	0.2713417648920724	4.275804890215937e-11	0.22719356495338883	0.13195903299251646	5.131082558283419e-13
PIP2_bound	486	8.694516196334287e-14	-0.2140326031097248	0.08101378780092353	8.927767807744764e-15	0.0034260459725886983	0.22885189317062257	0.20862930377753638	5.193861332983946e-13
DAL81_bound	863	8.903762285115337e-14	-0.010946547901369064	0.15843811187246665	0.6155814458797029	3.1356579578650553e-13	0.15881581219975932	0.11977304155505544	5.193861332983946e-13
STE12_bound	2766	1.2674615435471191e-13	0.13316201515158615	-0.056543979735417256	1.314770034172363e-14	0.0011029107783630716	0.14466977543201806	0.13414239541634063	7.155024842604705e-13
MIG1_bound	468	1.3324187836779694e-13	-0.14316651220265683	0.20571619812583666	3.5594091649603513e-7	2.3634606778340856e-13	0.25063081292535033	0.24669733031201968	7.286665223238895e-13
HAP5_bound	730	1.4533970276886532e-13	-0.08283584193021025	0.17810474096623263	3.730978307929064e-4	1.7192032500662906e-14	0.1964257505087752	0.1845128556528452	7.7074084801671e-13
BAS1_bound	1220	1.0054761767355745e-12	-0.0381323632995301	0.1414221480330764	0.047842832740067835	1.8579003854803272e-13	0.1464728680851738	0.12696421255592286	5.175245027315457e-12
