set	setSize	pMANOVA	s.PC1	s.PC2	p.PC1	p.PC2	s.dist	SD	p.adjustMANOVA
IFH1_direct_activated	124	3.7451746636711125e-63	0.8752063683477611	-0.28943609400347414	4.0585562506837947e-64	3.496467336097737e-8	0.9218239743619521	0.8235265827863568	3.1084949708470232e-61
RAP1_direct_activated	266	1.3984389511492272e-42	0.49235508348076074	-0.1112650652366209	2.4980545596962873e-42	0.002273501739057788	0.5047706835499228	0.42682390041889284	5.803521647269293e-41
CYC8_direct_activated	145	4.1938262117219634e-39	0.6336239660183323	-0.16056954755352035	2.3953040856467823e-39	9.772499094401362e-4	0.6536527441343324	0.5615796190210274	1.16029191857641e-37
ABF1_direct_activated	459	7.526094403558304e-39	0.37282770231867163	-0.14923197245022346	4.4635917301024515e-40	1.4269518997318246e-7	0.4015852054266993	0.36915193621312925	1.561664588738348e-37
SWI4_direct_activated	190	1.41719898983324e-29	0.48960918556553984	-0.18958541339799356	9.802249126687695e-31	9.17642859977225e-6	0.5250331261581876	0.48026310667239214	2.3525503231231785e-28
CBF1_direct_activated	45	1.1168431570192787e-26	0.8862502126005296	-0.6411303059017907	6.816231210039976e-25	1.0611327551482874e-13	1.0938407144005051	1.0800211220852156	1.5449663672100023e-25
SWI4_direct_repressed	95	1.4353285090805804e-23	-0.6056599602034046	0.3135296787181307	2.6165978083770055e-24	1.5657853047208056e-7	0.6820006208433274	0.6499652268778316	1.7018895179098312e-22
CYC8_direct_repressed	202	7.305520855217135e-16	-0.3404541541110633	0.1908967391304348	1.9773859032034674e-16	4.236861086735335e-6	0.390321144779671	0.37572181980059255	7.579477887287778e-15
GCN4_SM_direct_activated	73	2.9007798223757335e-14	0.025579818255798206	0.4805431228054312	0.7073302456288639	1.5253575400780478e-12	0.4812234615826575	0.3217076378380859	2.675163613968732e-13
STP1_direct_repressed	59	4.811670784018684e-13	-0.5678505173227848	0.24556753079213767	5.177807237464593e-14	0.0011658694961166757	0.6186740839918072	0.575173417761587	3.9936867507355084e-12
MSN2_37_direct_activated	26	5.333858481185079e-13	-0.8448472259447869	0.24222728491021173	8.594676128490908e-14	0.032907425863071715	0.8788861659746242	0.7686777582806187	4.0246386721669235e-12
SFP1_direct_activated	28	4.367483453417488e-12	0.7868814192343604	-0.3748366013071895	5.666136664590388e-13	6.119681991842537e-4	0.8715990165298525	0.8214586901515428	2.7884702048742424e-11
MET32_direct_activated	31	4.335421073979695e-12	0.7498259456950569	-0.33445853288044053	5.004400603398155e-13	0.001302233720630829	0.8210368195483215	0.766704907536054	2.7884702048742424e-11
CBF1_direct_repressed	127	5.279974870385195e-12	-0.36986483903940864	0.1954056845098771	9.52298698237843e-13	1.6773881191021003e-4	0.4183101489283057	0.39970662040656996	3.13027081601408e-11
ROX1_direct_repressed	115	5.987713169459913e-11	-0.2743967789589549	0.34171808166536316	4.694611242053973e-7	3.4011363131898676e-10	0.43825202753678777	0.43565899593725993	3.313201287101152e-10
MET4_direct_activated	30	4.736618825952565e-10	0.6792647486195874	-0.15268817204301072	1.228416918521781e-10	0.14885530129739025	0.6962142461908312	0.5882795518284769	2.457121015962893e-9
MIG1_direct_repressed	65	1.5429077320622126e-9	-0.40983628714794984	0.3525621314771326	1.262502792662902e-8	9.905413270379149e-7	0.5406161658838142	0.5390970917756961	7.533020103597862e-9
NRG1_direct_repressed	27	6.468266335167345e-9	-0.6696596400364643	0.14417096251119338	1.7499956812127658e-9	0.1958357753616718	0.685003138624321	0.5754651377985827	2.9825894767716085e-8
RTG3_direct_activated	35	1.5087469166369677e-8	-0.2351485302827219	0.5869704809700446	0.01637240905291837	1.950318369175739e-9	0.6323204700342459	0.5813259277992108	6.590841793729912e-8
ABF1_direct_repressed	66	1.863923306512895e-8	-0.4247017627949086	0.20465196783298711	2.799031081376485e-9	0.004242448106834482	0.4714382411928596	0.4450202906920369	7.735281722028515e-8
STP1_direct_activated	28	2.9033886711097143e-8	0.6437286025521319	-0.25098039215686274	3.828830884290277e-9	0.02182950029048942	0.6909252282200536	0.632654797347329	1.1475298081052681e-7
GAT2_direct_repressed	41	1.55008011105585e-7	-0.23424119537240812	0.5052889047570834	0.009694506650946313	2.311382724599056e-8	0.5569432779737158	0.52292674869313	5.848029509892525e-7
