species	gene_id	verified_ORF
S_pombe	SPAC1002.01	TRUE
S_pombe	SPAC1002.02	TRUE
S_pombe	SPAC1002.03c	TRUE
S_pombe	SPAC1002.04c	TRUE
S_pombe	SPAC1002.05c	TRUE
S_pombe	SPAC1002.06c	TRUE
S_pombe	SPAC1002.07c	TRUE
S_pombe	SPAC1002.08c	TRUE
S_pombe	SPAC1002.09c	TRUE
S_pombe	SPAC1002.10c	TRUE
S_pombe	SPAC1002.11	TRUE
S_pombe	SPAC1002.12c	TRUE
S_pombe	SPAC1002.13c	TRUE
S_pombe	SPAC1002.14	TRUE
S_pombe	SPAC1002.15c	TRUE
S_pombe	SPAC1002.16c	TRUE
S_pombe	SPAC1002.17c	TRUE
S_pombe	SPAC1002.18	TRUE
S_pombe	SPAC1002.19	TRUE
S_pombe	SPAC1002.20	TRUE
S_pombe	SPAC1006.01	TRUE
S_pombe	SPAC1006.02	TRUE
S_pombe	SPAC1006.03c	TRUE
S_pombe	SPAC1006.04c	TRUE
S_pombe	SPAC1006.05c	TRUE
S_pombe	SPAC1006.06	TRUE
S_pombe	SPAC1006.07	TRUE
S_pombe	SPAC1006.08	TRUE
S_pombe	SPAC1006.09	TRUE
S_pombe	SPAC1039.01	TRUE
S_pombe	SPAC1039.02	TRUE
S_pombe	SPAC1039.03	TRUE
S_pombe	SPAC1039.04	TRUE
S_pombe	SPAC1039.05c	TRUE
S_pombe	SPAC1039.06	TRUE
S_pombe	SPAC1039.07c	TRUE
S_pombe	SPAC1039.08	TRUE
S_pombe	SPAC1039.09	TRUE
S_pombe	SPAC1039.10	TRUE
S_pombe	SPAC1039.11c	TRUE
S_pombe	SPAC105.01c	TRUE
S_pombe	SPAC105.02c	TRUE
S_pombe	SPAC105.03c	TRUE
S_pombe	SPAC1071.01c	TRUE
S_pombe	SPAC1071.02	TRUE
S_pombe	SPAC1071.03c	TRUE
S_pombe	SPAC1071.04c	TRUE
S_pombe	SPAC1071.05	TRUE
S_pombe	SPAC1071.06	TRUE
S_pombe	SPAC1071.07c	TRUE
S_pombe	SPAC1071.08	TRUE
S_pombe	SPAC1071.09c	TRUE
S_pombe	SPAC1071.10c	TRUE
S_pombe	SPAC1071.11	TRUE
S_pombe	SPAC1071.12c	TRUE
S_pombe	SPAC1071.13	TRUE
S_pombe	SPAC1093.01	TRUE
S_pombe	SPAC1093.02	TRUE
S_pombe	SPAC1093.03	TRUE
S_pombe	SPAC1093.04c	TRUE
S_pombe	SPAC1093.05	TRUE
S_pombe	SPAC1093.06c	TRUE
S_pombe	SPAC1093.07	TRUE
S_pombe	SPAC10F6.01c	TRUE
S_pombe	SPAC10F6.02c	TRUE
S_pombe	SPAC10F6.03c	TRUE
S_pombe	SPAC10F6.04	TRUE
S_pombe	SPAC10F6.05c	TRUE
S_pombe	SPAC10F6.06	TRUE
S_pombe	SPAC10F6.07c	TRUE
S_pombe	SPAC10F6.08c	TRUE
S_pombe	SPAC10F6.09c	TRUE
S_pombe	SPAC10F6.10	TRUE
S_pombe	SPAC10F6.11c	TRUE
S_pombe	SPAC10F6.12c	TRUE
S_pombe	SPAC10F6.13c	TRUE
S_pombe	SPAC10F6.14c	TRUE
S_pombe	SPAC10F6.15	TRUE
S_pombe	SPAC10F6.16	TRUE
S_pombe	SPAC10F6.17c	TRUE
S_pombe	SPAC110.01	TRUE
S_pombe	SPAC110.02	TRUE
S_pombe	SPAC110.03	TRUE
S_pombe	SPAC110.04c	TRUE
S_pombe	SPAC110.06	TRUE
S_pombe	SPAC1142.01	TRUE
S_pombe	SPAC1142.02c	TRUE
S_pombe	SPAC1142.03c	TRUE
S_pombe	SPAC1142.04	TRUE
S_pombe	SPAC1142.05	TRUE
S_pombe	SPAC1142.06	TRUE
S_pombe	SPAC1142.07c	TRUE
S_pombe	SPAC1142.08	TRUE
S_pombe	SPAC1142.09	TRUE
S_pombe	SPAC11D3.01c	TRUE
S_pombe	SPAC11D3.02c	TRUE
S_pombe	SPAC11D3.03c	TRUE
S_pombe	SPAC11D3.04c	TRUE
S_pombe	SPAC11D3.05	TRUE
S_pombe	SPAC11D3.06	TRUE
S_pombe	SPAC11D3.07c	TRUE
S_pombe	SPAC11D3.08c	TRUE
S_pombe	SPAC11D3.09	TRUE
S_pombe	SPAC11D3.10	TRUE
S_pombe	SPAC11D3.11c	TRUE
S_pombe	SPAC11D3.13	TRUE
S_pombe	SPAC11D3.14c	TRUE
S_pombe	SPAC11D3.15	TRUE
S_pombe	SPAC11D3.16c	TRUE
S_pombe	SPAC11D3.17	TRUE
S_pombe	SPAC11D3.18c	TRUE
S_pombe	SPAC11D3.19	TRUE
S_pombe	SPAC11D3.20	TRUE
S_pombe	SPAC11E3.01c	TRUE
S_pombe	SPAC11E3.02c	TRUE
S_pombe	SPAC11E3.03	TRUE
S_pombe	SPAC11E3.04c	TRUE
S_pombe	SPAC11E3.05	TRUE
S_pombe	SPAC11E3.06	TRUE
S_pombe	SPAC11E3.07	TRUE
S_pombe	SPAC11E3.08c	TRUE
S_pombe	SPAC11E3.09	TRUE
S_pombe	SPAC11E3.10	TRUE
S_pombe	SPAC11E3.11c	TRUE
S_pombe	SPAC11E3.12	TRUE
S_pombe	SPAC11E3.13c	TRUE
S_pombe	SPAC11E3.14	TRUE
S_pombe	SPAC11E3.15	TRUE
