sample	Candida_TPMsum	S_cerevisiae_TPMsum	spikein_ratio	sample_short	experiment	ref1	ref2	ref3	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	RNA_per_genome	RNA_per_cell	RNA_conc
2025-01-14-MS241219L01_exp241025_MS69_SCD_1hr-arrest_Torin_polyA-RNA	495211.0520916908	463448.40978546155	0.9358603929131447	MS69_SCD_1hr-arrest_Torin	exp241025	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	1hr G1 arrest	Torin	WT_Torin	TORC1 inhib.	0.851995144	exp241025_MS69_1hr-Torin_G1-arrest.fcs	1.420873529	66.34	1.0984339517704396	1.5607357254254803	0.0235263148240199
2025-01-14-MS241219L02_exp241025_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	314612.82682341547	657957.498465043	2.0913244545949126	MS69_SCD_1hr-arrest_DMSO	exp241025	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.884606202	exp241025_MS69_1hr-DMSO_G1-arrest.fcs	1.306024165	67.24	2.3641304456905816	3.0876114912841195	0.04591926667584949
2025-01-14-MS241219L03_exp241025_MS69_SCD_4.75hr-arrest_Torin_polyA-RNA	519818.75095544494	436907.99733660615	0.840500648607912	MS69_SCD_4.75hr-arrest_Torin	exp241025	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	4.75hr G1 arrest	Torin	WT_Torin	TORC1 inhib.	0.299649802	exp241025_MS69_4hr45m-Torin_G1-arrest.fcs	1.001783513	240.3	2.804943113588014	2.809945766095358	0.011693490495611145
2025-01-14-MS241219L04_exp241025_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	373005.7547580638	589322.7828232488	1.579929465714251	MS69_SCD_4.75hr-arrest_DMSO	exp241025	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	4.75hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.31373272	exp241025_MS69_4hr45m-DMSO_G1-arrest.fcs	1.004088844	242.7	5.035909119438518	5.056500166226079	0.02083436409652278
2025-01-14-MS241219L05_exp241002_MS69_SCD_1hr-arrest_Rapa_polyA-RNA	475010.0968566009	484803.3382984119	1.0206169121595903	MS69_SCD_1hr-arrest_Rapa	exp241002	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Rapa	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	1hr G1 arrest	Rapa	WT_Rapa	TORC1 inhib.	0.798164102	exp241002_MS69_1hr-Rapa_G1-arrest.fcs	1.23983372	66.40407	1.2787056065315128	1.5853823289308218	0.023874776484797116
2025-01-14-MS241219L06_exp241002_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	315722.4606125083	655768.3005510798	2.077040383122808	MS69_SCD_1hr-arrest_DMSO	exp241002	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.72654178	exp241002_MS69_1hr-DMSO_G1-arrest.fcs	1.24896019	66.05176	2.858803774674607	3.5705321055903148	0.05405657783517524
2025-01-14-MS241219L07_exp241002_MS69_SCD_4.75hr-arrest_Rapa_polyA-RNA	534527.8378207801	424775.4420723679	0.7946741254938892	MS69_SCD_4.75hr-arrest_Rapa	exp241002	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Rapa	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	4.75hr G1 arrest	Rapa	WT_Rapa	TORC1 inhib.	0.250728084	exp241002_MS69_4hr45m-Rapa_G1-arrest.fcs	1.00118499	255.09529	3.1694659521822417	3.1732217376409184	0.012439358396781525
2025-01-14-MS241219L08_exp241002_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	344799.5602733848	615840.4289546454	1.786082408186245	MS69_SCD_4.75hr-arrest_DMSO	exp241002	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	4.75hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.308205762	exp241002_MS69_4hr45m-DMSO_G1-arrest.fcs	1.00074858	265.60174	5.795097394013824	5.799435488021035	0.021835080929895397
2025-01-14-MS241219L09_exp241010_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	325442.69762310374	650164.601462569	1.99778518986936	MS756_SCD_1hr-arrest_PhIAA	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep3	B	F	B	A	MS756	AID-Bcy1	1hr G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.712244463	exp241010_MS756_1hr-phIAA_G1-arrest.fcs	1.204267945	66.91	2.804915016755083	3.377869243127284	0.050483772875912186
2025-01-14-MS241219L10_exp241010_MS756_SCD_1hr-arrest_DMSO_polyA-RNA	357464.01922872924	615467.5342885894	1.721760795999925	MS756_SCD_1hr-arrest_DMSO	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756	AID-Bcy1	1hr G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.71835053	exp241010_MS756_1hr-DMSO_G1-arrest.fcs	1.196641856	65.33	2.3968253994326765	2.8681415944850595	0.04390236636285106
2025-01-14-MS241219L11_exp241010_MS756_SCD_4.75hr-arrest_PhIAA_polyA-RNA	431572.8392627515	540984.5916443915	1.2535186240370138	MS756_SCD_Large-G1arrest_PhIAA	exp241010	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep3	B	F	B	A	MS756	AID-Bcy1	Large G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.217089339	exp241010_MS756_4hr45m-phIAA_G1-arrest.fcs	1.001724589	268.5	5.774206277522517	5.784164410152464	0.021542511769655357
2025-01-14-MS241219L12_exp241010_MS756_SCD_4.75hr-arrest_DMSO_polyA-RNA	426372.2492983465	542003.2233389011	1.2711972325376266	MS756_SCD_Large-G1arrest_DMSO	exp241010	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756	AID-Bcy1	Large G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.210507509	exp241010_MS756_4hr45m-DMSO_G1-arrest.fcs	1.001377232	273.3	6.038726307561915	6.0470430346719315	0.02212602647154018
2025-01-14-MS241219L13_exp241010_MS791_SCD_1hr-arrest_PhIAA_polyA-RNA	325910.7294536913	643996.6626233333	1.9759909828769195	MS791_SCD_1hr-arrest_PhIAA	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	G	B	A	MS791	Hog1-AID	1hr G1 arrest	PhIAA	Hog1-AID_PhIAA	Hog1-AID_PhIAA	0.819120204	exp241010_MS791_1hr-phIAA_G1-arrest.fcs	1.202668816	66.31	2.412333346470501	2.9012380895969954	0.04375264801081278
2025-01-14-MS241219L14_exp241010_MS791_SCD_1hr-arrest_DMSO_polyA-RNA	372048.13586284174	598932.5570407425	1.60982544812842	MS791_SCD_1hr-arrest_DMSO	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	G	B	A	MS791	Hog1-AID	1hr G1 arrest	DMSO	Hog1-AID_DMSO	Hog1-AID_DMSO	0.682510206	exp241010_MS791_1hr-DMSO_G1-arrest.fcs	1.159358022	65.88	2.3586833339286652	2.7345584445479028	0.04150817311092749
2025-01-14-MS241219L15_exp241010_MS791_SCD_4.75hr-arrest_PhIAA_polyA-RNA	462106.34859491163	504857.2663373452	1.0925131582208787	MS791_SCD_Large-G1arrest_PhIAA	exp241010	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	G	B	A	MS791	Hog1-AID	Large G1 arrest	PhIAA	Hog1-AID_PhIAA	Hog1-AID_PhIAA	0.228023271	exp241010_MS791_4hr45m-phIAA_G1-arrest.fcs	1.000370596	215.1	4.791235356942488	4.79301096960083	0.02228271022594528
