sample,dmso_time,labeling_time,dmso_conc,strain,plate,media,row,col,volume,pr_new,total,pr_new_95ci,p_spikein,spikein,aligned,orf_aligned,od,scale_factor,scaled_rna,scaled_mrna,smoothed_mrna,exp,klac,rep,iaa_time,iaa_conc,xrn1,repeat,control,time,add,treat,remove_sample,hu_conc,alphaFactor
calib|A1,60.0,0.0,0.0,nf164,calib,YPD,A,1,500.0,0.0100036298163087,681988,0.0009766135810006,0.0032594619688714,1334,409270,320859,0.5,1.1502998500749626,470783.21964018,369084.0595952025,387110.13362459827,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A2,60.0,0.0,5.0,nf164,calib,YPD,A,2,500.0,0.0116313854010191,597164,0.0010987956683028,0.0039161828095892,1440,367705,280112,0.5,1.065625,391835.640625,298494.35000000003,392918.10392988526,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A3,60.0,0.0,15.0,nf164,calib,YPD,A,3,500.0,0.0097163535513571,777037,0.0008681091907604,0.0038183129772891,1842,482412,379751,0.5,0.8330618892508144,401879.05211726384,316356.085504886,399981.40735938627,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A4,0.0,0.0,0.0,nf164,calib,YPD,A,4,500.0,0.0086361163337136,991234,0.0007442957693125,0.0025985397102304,1567,603031,483108,0.5,0.9792597319719208,590523.9754307594,473088.21059349074,469141.0334735351,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A5,0.0,0.0,5.0,nf164,calib,YPD,A,5,500.0,0.0090317869099245,1069256,0.0007346870606652,0.0026153281651326,1675,640455,509205,0.5,0.9161194029850748,586733.252238806,466492.5805970149,440958.02352681814,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A6,0.0,0.0,15.0,nf164,calib,YPD,A,6,500.0,0.0094236277516079,914465,0.0008437731372826,0.0032971202693692,1790,542898,428841,0.5,0.8572625698324022,465406.1346368715,367629.3377094972,369297.8755509221,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A7,60.0,3.0,0.0,nf164,calib,YPD,A,7,500.0,0.0451176204751259,835041,0.0016781869470575,0.0027942926274123,1402,501737,391467,0.5,1.0945078459343796,549155.0830955778,428463.70292439376,389981.38579365343,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A8,60.0,3.0,5.0,nf164,calib,YPD,A,8,500.0,0.0459388594632475,902596,0.0016517922862212,0.0030641429690488,1682,548930,426374,0.5,0.91230677764566,500792.5594530321,388983.8900118906,405554.9127410073,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A9,60.0,3.0,15.0,nf164,calib,YPD,A,9,500.0,0.0483066397923129,829854,0.0017262556682736,0.0031040865159517,1558,501919,389772,0.5,0.9849165596919128,494348.33472400514,383892.8973042362,411507.61416018184,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A10,0.0,3.0,0.0,nf164,calib,YPD,A,10,500.0,0.0480773858607579,822954,0.0017378962837166,0.0033277937495703,1646,494622,378856,0.5,0.9322600243013366,461116.3177399757,353192.3037667072,470786.9656541888,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A11,0.0,3.0,5.0,nf164,calib,YPD,A,11,500.0,0.0504076516653102,566324,0.0021089327394409,0.0039008072223949,1355,347364,262634,0.5,1.132472324723247,393380.1166051661,297425.7365313653,438638.1755267044,4tU_timecourse_calib,,,,,,,,,,,,,
calib|A12,0.0,3.0,15.0,nf164,calib,YPD,A,12,500.0,0.0522761348192468,454953,0.0025090758619866,0.0036353447209263,999,274802,203722,0.5,1.536036036036036,422105.7747747748,312924.3333333334,369993.4659072113,4tU_timecourse_calib,,,,,,,,,,,,,
