trx,cds,utr5,utr3,
YAL067C,0,0,0,0
YAL063C-A,2,0,2,0
YAL063C,3,3,NA,0
YAL054C,6,5,NA,0
YAL049C,173,148,3,0
YAL047C,47,45,0,0
YAL046C,45,37,0,0
YAL044C,374,325,0,0
YAL043C,181,178,0,0
YAL040C,75,63,7,0
YAL039C,244,209,1,0
YAL037C-A,0,0,0,0
YAL036C,279,265,0,0
YAL034C-B,0,0,0,0
YAL034C,33,32,0,0
YAL032C,44,42,0,0
YAL031C,36,33,0,0
YAL029C,55,54,NA,1
YAL026C-A,2,2,NA,0
YAL026C,81,81,0,NA
YAL025C,240,231,0,0
YAL024C,29,29,NA,0
YAL023C,409,383,0,0
YAL022C,93,91,0,0
YAL021C,354,335,0,0
YAL020C,22,20,NA,0
YAL018C,0,0,0,0
YAL015C,46,43,NA,0
YAL014C,74,57,6,0
YAL010C,59,55,0,0
YAL007C,184,144,1,0
YAL005C,6816,6686,1,NA
YAL001C,67,65,0,NA
YAR002C-A,195,157,0,0
YAR007C,327,323,0,0
YAR014C,110,108,0,0
YAR018C,109,100,0,0
YAR019C,30,30,NA,0
YAR023C,7,1,6,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,4,0,4,0
YAL062W,28,28,NA,0
YAL061W,33,28,0,0
YAL060W,349,319,0,0
YAL059W,82,82,NA,0
YAL058W,27,26,0,0
YAL056W,48,45,0,0
YAL055W,24,21,0,0
YAL053W,347,312,9,1
YAL051W,61,60,NA,0
YAL047W-A,0,0,0,0
YAL044W-A,92,69,NA,0
YAL042W,219,198,0,0
YAL041W,100,99,0,0
YAL038W,7775,7381,0,1
YAL037W,4,3,NA,NA
YAL035W,1350,1303,0,NA
YAL034W-A,22,21,0,0
YAL033W,67,55,NA,0
YAL030W,78,65,0,0
YAL028W,10,8,2,0
YAL027W,29,26,NA,0
YAL019W,194,192,NA,0
YAL017W,172,169,2,NA
YAL016W,509,500,0,0
YAL013W,88,82,0,0
YAL012W,1207,1082,4,0
YAL011W,33,32,NA,0
YAL009W,17,16,NA,0
YAL008W,72,56,0,0
YAL004W,2,0,0,2
YAL003W,1741,1560,0,0
YAL002W,39,38,NA,0
YAR002W,279,277,0,0
YAR003W,29,27,0,0
YAR008W,38,27,6,0
YAR015W,219,202,0,0
YAR019W-A,9,0,NA,8
YAR027W,166,146,3,0
YAR028W,57,48,0,1
YAR029W,0,0,0,0
YAR031W,34,31,NA,0
YAR033W,42,39,1,0
YAR035W,5,5,NA,0
YAR042W,130,129,NA,0
YAR050W,1,1,NA,0
YAR053W,2,2,0,NA
YAR071W,31,31,NA,0
YBL113C,79,73,NA,1
YBL107C,47,43,NA,0
YBL106C,14,14,NA,0
YBL105C,127,123,1,0
YBL104C,50,48,NA,0
YBL103C,126,118,3,0
YBL101C,85,84,NA,0
YBL093C,138,129,2,0
YBL091C-A,37,35,NA,0
YBL091C,332,309,0,0
YBL088C,15,14,NA,0
YBL087C,1167,1060,1,0
YBL086C,50,47,0,0
YBL084C,40,38,NA,0
YBL080C,34,33,0,0
YBL078C,113,96,0,2
YBL076C,1165,1127,0,0
YBL075C,33,32,NA,0
YBL074C,33,30,NA,NA
YBL072C,2285,2111,0,5
YBL071C,0,0,0,0
YBL070C,2,0,2,NA
YBL067C,47,39,2,NA
YBL066C,41,36,0,1
YBL064C,234,208,0,0
YBL061C,101,99,0,0
YBL059C-A,103,70,0,1
YBL057C,84,76,0,0
YBL055C,56,56,0,0
YBL052C,13,11,2,0
YBL051C,280,275,0,1
YBL047C,852,835,2,0
YBL045C,835,771,7,2
YBL042C,373,344,0,0
YBL040C,213,179,1,0
YBL039C,647,634,NA,0
YBL036C,139,124,0,0
YBL035C,133,132,0,0
YBL034C,65,64,NA,0
YBL033C,159,135,0,0
YBL030C,1358,1211,7,1
YBL029C-A,92,70,3,0
YBL028C,161,132,0,0
YBL023C,158,155,0,0
YBL022C,352,336,0,0
YBL021C,33,27,0,0
YBL018C,57,39,4,0
YBL017C,246,239,NA,1
YBL014C,20,16,0,0
YBL010C,65,61,NA,0
YBL007C,603,586,2,0
YBL006C,108,98,0,0
YBL003C,1065,886,1,3
YBL001C,285,245,0,1
YBR001C,92,87,0,0
YBR002C,55,51,0,0
YBR004C,28,26,0,0
YBR007C,78,77,NA,0
YBR008C,1,0,0,1
YBR009C,961,779,4,1
YBR011C,1260,1181,0,0
YBR012C,0,0,0,0
YBR013C,0,0,0,0
YBR014C,154,138,1,0
YBR015C,204,183,1,1
YBR017C,267,252,1,0
YBR018C,0,0,0,0
YBR019C,0,0,0,0
YBR023C,229,225,NA,0
YBR025C,1160,1055,1,0
YBR026C,241,232,NA,0
YBR028C,80,73,4,0
YBR029C,193,173,0,0
YBR034C,208,195,0,0
YBR035C,356,315,0,0
YBR036C,247,231,0,1
YBR037C,128,119,0,0
YBR042C,38,38,0,0
YBR043C,137,105,8,0
YBR044C,31,28,0,0
YBR045C,12,11,NA,0
YBR046C,110,97,0,0
YBR049C,259,255,1,0
