trx,cds,utr5,utr3,
YAL067C,1,1,NA,0
YAL063C-A,0,0,0,0
YAL063C,0,0,0,0
YAL054C,1,1,NA,0
YAL049C,89,83,0,0
YAL047C,3,3,0,0
YAL046C,17,16,0,0
YAL044C,151,134,0,0
YAL043C,59,59,0,0
YAL040C,36,33,2,0
YAL039C,158,146,0,0
YAL037C-A,0,0,0,0
YAL036C,88,83,0,0
YAL034C-B,0,0,0,0
YAL034C,8,8,0,0
YAL032C,14,14,0,0
YAL031C,9,9,0,0
YAL029C,32,31,NA,0
YAL026C-A,0,0,0,0
YAL026C,27,27,0,NA
YAL025C,64,61,0,2
YAL024C,10,10,NA,0
YAL023C,199,192,0,0
YAL022C,47,46,0,0
YAL021C,127,117,0,0
YAL020C,7,7,NA,0
YAL018C,0,0,0,0
YAL015C,18,18,NA,0
YAL014C,14,10,0,0
YAL010C,10,10,0,0
YAL007C,106,89,1,0
YAL005C,3047,3007,4,NA
YAL001C,22,22,0,NA
YAR002C-A,117,101,0,1
YAR007C,105,104,0,0
YAR014C,55,48,5,0
YAR018C,33,31,0,0
YAR019C,6,6,NA,0
YAR023C,1,0,1,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,0,0,0,0
YAL062W,10,10,NA,0
YAL061W,5,5,0,0
YAL060W,76,74,0,0
YAL059W,44,42,NA,0
YAL058W,17,15,1,0
YAL056W,6,5,0,0
YAL055W,5,3,0,0
YAL053W,121,105,5,0
YAL051W,18,18,NA,0
YAL047W-A,0,0,0,0
YAL044W-A,21,18,NA,0
YAL042W,98,87,0,0
YAL041W,34,32,2,0
YAL038W,5193,4952,1,1
YAL037W,2,1,NA,NA
YAL035W,437,422,0,NA
YAL034W-A,10,10,0,0
YAL033W,32,25,NA,0
YAL030W,31,26,0,0
YAL028W,0,0,0,0
YAL027W,12,12,NA,0
YAL019W,62,62,NA,0
YAL017W,40,40,0,NA
YAL016W,158,153,1,0
YAL013W,30,28,0,0
YAL012W,520,473,2,0
YAL011W,10,10,NA,0
YAL009W,7,6,NA,0
YAL008W,34,26,0,0
YAL004W,0,0,0,0
YAL003W,1023,911,0,1
YAL002W,10,10,NA,0
YAR002W,75,71,0,0
YAR003W,12,12,0,0
YAR008W,5,5,0,0
YAR015W,55,52,1,0
YAR019W-A,0,0,0,0
YAR027W,36,28,1,0
YAR028W,14,13,0,0
YAR029W,0,0,0,0
YAR031W,13,13,NA,0
YAR033W,6,4,0,0
YAR035W,2,2,NA,0
YAR042W,34,34,NA,0
YAR050W,0,0,0,0
YAR053W,1,1,0,NA
YAR071W,17,17,NA,0
YBL113C,42,38,NA,0
YBL107C,26,25,NA,0
YBL106C,10,9,NA,0
YBL105C,33,32,0,0
YBL104C,14,14,NA,0
YBL103C,31,30,0,0
YBL101C,25,25,NA,0
YBL093C,30,29,0,0
YBL091C-A,9,8,NA,0
YBL091C,109,105,0,0
YBL088C,7,7,NA,0
YBL087C,634,575,1,0
YBL086C,15,15,0,0
YBL084C,10,10,NA,0
YBL080C,7,6,0,0
YBL078C,33,27,0,0
YBL076C,386,376,0,0
YBL075C,9,9,NA,0
YBL074C,3,3,NA,NA
YBL072C,1169,1101,0,0
YBL071C,0,0,0,0
YBL070C,0,0,0,0
YBL067C,28,23,4,NA
YBL066C,15,15,0,0
YBL064C,85,78,0,0
YBL061C,54,53,0,0
YBL059C-A,45,25,0,0
YBL057C,19,19,0,0
YBL055C,32,32,0,0
YBL052C,7,6,1,0
YBL051C,91,89,0,0
YBL047C,310,305,1,0
YBL045C,273,249,5,0
YBL042C,87,84,0,0
YBL040C,70,50,0,0
YBL039C,213,209,NA,0
YBL036C,58,51,0,0
YBL035C,27,27,0,0
YBL034C,30,30,NA,0
YBL033C,52,48,0,0
YBL030C,683,614,5,0
YBL029C-A,22,14,0,0
YBL028C,56,47,0,1
YBL023C,54,54,0,0
YBL022C,129,120,2,0
YBL021C,6,4,0,0
YBL018C,18,14,0,0
YBL017C,89,88,NA,0
YBL014C,7,7,0,0
YBL010C,29,29,NA,0
YBL007C,200,199,0,0
YBL006C,31,31,0,0
YBL003C,372,315,0,0
YBL001C,144,116,0,0
YBR001C,30,30,0,0
YBR002C,21,21,0,0
YBR004C,15,13,0,0
YBR007C,22,22,NA,0
YBR008C,1,1,0,0
YBR009C,322,263,2,1
YBR011C,786,753,0,0
YBR012C,0,0,0,0
YBR013C,0,0,0,0
YBR014C,44,36,3,0
YBR015C,109,103,0,0
YBR017C,86,82,2,0
YBR018C,0,0,0,0
YBR019C,0,0,0,0
YBR023C,88,87,NA,0
YBR025C,496,449,0,0
YBR026C,91,85,NA,0
YBR028C,23,21,1,0
YBR029C,85,76,0,0
YBR034C,71,58,0,0
YBR035C,141,128,0,0
YBR036C,112,104,0,0
YBR037C,55,54,0,0
YBR042C,29,27,0,0
YBR043C,13,11,1,0
YBR044C,16,13,0,0
YBR045C,4,4,NA,0
YBR046C,45,41,0,0
YBR049C,72,66,1,0
YBR050C,1,1,0,0
YBR052C,79,68,0,0
YBR053C,60,57,0,0
YBR055C,23,23,0,0
YBR057C,32,31,1,0
YBR058C,50,49,0,0
YBR058C-A,39,26,0,0
YBR059C,76,72,3,NA
YBR060C,23,23,0,0
YBR061C,39,39,0,0
YBR062C,31,30,0,0
YBR063C,0,0,0,0
YBR065C,16,13,0,NA
YBR066C,13,12,NA,1
YBR067C,291,264,0,0
YBR068C,133,126,0,0
YBR069C,91,85,3,0
YBR070C,13,11,0,0
YBR072C-A,0,0,0,0
YBR076C-A,2,2,NA,0
YBR077C,40,39,0,NA
YBR079C,353,339,0,0
YBR080C,114,114,0,0
YBR081C,21,21,NA,0
YBR082C,450,397,7,0
YBR084C-A,805,702,0,0
YBR085C-A,223,177,0,3
YBR086C,125,122,0,0
YBR088C,109,98,0,0
YBR089C-A,79,58,NA,0
YBR091C,18,16,0,0
YBR092C,293,279,0,0
YBR093C,103,102,0,0
YBR095C,16,16,0,0
YBR099C,0,0,0,0
YBR101C,61,56,0,0
YBR102C,38,37,1,0
YBR103C-A,0,0,0,0
YBR105C,14,13,0,0
YBR107C,2,1,0,0
YBR109C,279,238,0,1
YBR111C,111,107,NA,0
YBR112C,320,319,NA,0
YBR115C,196,195,NA,0
YBR120C,45,39,0,1
YBR121C,359,350,2,NA
YBR122C,61,51,1,0
YBR123C,23,23,0,0
YBR125C,18,15,2,0
YBR126C,302,286,2,0
YBR127C,477,458,0,0
YBR128C,1,1,0,NA
YBR129C,11,11,0,0
YBR130C,36,36,0,0
YBR132C,25,23,2,0
YBR133C,24,24,0,0
YBR138C,36,35,0,0
YBR140C,25,25,NA,0
YBR141C,8,8,0,0
YBR143C,220,206,0,0
YBR144C,1,1,NA,0
YBR150C,21,21,0,0
YBR154C,100,89,3,0
YBR156C,18,18,0,0
YBR157C,2,2,NA,0
YBR162C,309,277,9,0
YBR164C,62,50,4,0
YBR166C,59,58,0,0
YBR167C,9,8,NA,0
YBR169C,68,67,0,0
YBR170C,49,48,0,0
YBR172C,69,63,0,1
YBR173C,102,91,0,0
YBR174C,0,0,0,0
YBR177C,195,180,0,0
YBR179C,26,25,0,0
YBR181C,1313,1211,0,0
YBR182C,14,14,NA,0
YBR182C-A,1,1,0,0
YBR185C,50,41,0,0
YBR188C,19,17,0,0
YBR193C,16,16,0,0
YBR195C,11,11,0,0
YBR196C,1484,1392,1,0
YBR197C,7,7,0,0
YBR198C,57,55,0,0
YBR201C-A,8,3,1,0
YBR204C,14,14,0,0
YBR208C,28,24,4,0
YBR211C,5,5,0,NA
YBR216C,9,8,0,0
YBR218C,198,184,1,0
YBR221C,269,232,16,0
YBR222C,113,112,0,0
YBR223C,5,3,0,0
YBR229C,84,84,0,0
YBR230C,75,69,0,0
YBR231C,20,17,0,0
YBR234C,132,124,1,0
YBR236C,36,31,0,0
YBR238C,26,26,NA,NA
YBR239C,13,12,0,0
YBR240C,3,2,NA,1
YBR241C,11,10,0,0
YBR243C,24,22,1,0
YBR245C,79,79,NA,NA
YBR247C,60,53,0,0
YBR248C,124,119,1,0
YBR249C,554,534,2,0
YBR254C,15,14,0,0
YBR255C-A,10,8,0,0
YBR256C,94,90,0,0
YBR258C,11,11,0,0
YBR260C,48,48,0,0
YBR261C,50,47,0,0
YBR262C,22,21,0,0
YBR264C,20,17,0,0
YBR269C,45,42,0,0
YBR270C,4,4,0,0
YBR272C,24,24,0,0
YBR273C,63,59,0,0
YBR275C,31,30,NA,NA
YBR276C,11,9,2,0
YBR277C,0,0,0,0
YBR280C,12,11,0,0
YBR281C,19,18,0,0
YBR283C,184,166,3,0
YBR288C,35,34,0,0
YBR291C,13,12,0,0
YBR292C,3,0,3,NA
YBR296C,1,1,0,0
YBR298C,1,0,1,0
YBL102W,50,44,0,0
YBL100W-C,0,0,0,0
YBL099W,592,555,17,3
YBL098W,53,51,NA,0
YBL097W,11,11,0,0
YBL095W,12,11,0,0
YBL092W,979,826,5,1
YBL090W,38,32,0,0
YBL089W,9,9,0,0
YBL085W,46,46,NA,0
YBL081W,63,63,0,0
YBL079W,52,50,0,NA
YBL071W-A,20,14,0,1
YBL068W,48,44,1,0
YBL063W,5,5,0,NA
YBL060W,11,10,0,0
YBL059W,15,14,NA,0
YBL058W,132,131,0,0
YBL056W,64,55,0,0
YBL054W,26,26,0,0
YBL050W,84,76,0,0
YBL048W,0,0,0,0
YBL046W,27,25,NA,0
YBL043W,2,2,0,0
YBL041W,111,109,0,0
YBL039W-B,3,1,2,0
YBL038W,79,73,0,0
YBL037W,29,29,0,0
YBL032W,65,59,1,0
YBL031W,8,7,0,0
YBL029W,17,17,NA,0
YBL027W,912,828,3,0
YBL026W,51,31,5,0
YBL025W,9,6,0,0
YBL024W,125,121,0,NA
YBL020W,16,14,0,0
YBL019W,5,5,NA,0
YBL016W,39,38,NA,0
YBL015W,52,47,0,0
YBL011W,26,24,1,0
YBL009W,39,38,1,0
YBL008W,13,13,NA,0
YBL005W,11,11,0,0
YBL004W,84,83,NA,0
YBL002W,244,197,0,0
YBR003W,33,32,0,0
YBR005W,18,16,0,0
YBR006W,17,13,0,1
YBR010W,488,411,0,0
YBR016W,99,89,0,0
YBR020W,0,0,0,0
YBR021W,32,31,0,0
YBR022W,14,13,0,0
YBR024W,20,20,0,NA
YBR030W,8,6,0,0
YBR031W,1846,1721,0,2
YBR033W,2,2,NA,0
YBR038W,114,108,0,0
YBR039W,293,271,0,0
YBR041W,45,43,0,0
YBR047W,4,3,0,0
YBR048W,795,743,0,0
YBR051W,0,0,0,0
YBR054W,239,206,11,0
YBR056W,88,86,0,0
YBR056W-A,22,19,0,0
YBR071W,80,78,0,0
YBR072W,35,27,1,0
YBR073W,73,72,NA,0
YBR074W,46,43,NA,0
YBR076W,0,0,0,0
YBR078W,977,921,8,0
YBR083W,50,46,0,NA
YBR084W,180,180,0,0
YBR085W,6,6,0,0
YBR087W,46,42,0,0
YBR094W,33,33,0,NA
YBR096W,52,48,0,0
YBR097W,13,13,NA,0
YBR098W,8,8,0,0
YBR103W,17,17,0,0
YBR104W,24,24,0,0
YBR106W,285,249,0,0
YBR108W,63,63,0,0
YBR110W,30,28,0,0
YBR111W-A,26,23,0,0
YBR114W,20,18,1,0
YBR118W,7570,7241,0,2
YBR119W,25,23,0,0
YBR131W,4,4,0,0
YBR135W,74,62,1,0
YBR136W,14,14,NA,0
YBR137W,47,46,NA,0
YBR139W,86,82,NA,2
YBR141W-A,0,0,0,0
YBR142W,45,39,0,0
YBR145W,22,19,0,0
YBR146W,90,86,2,0
YBR147W,7,7,0,0
YBR148W,1,1,NA,0
YBR149W,182,172,1,0
YBR151W,58,52,2,0
YBR152W,4,4,0,NA
YBR153W,16,16,0,0
YBR155W,37,32,1,0
YBR158W,45,41,2,0
YBR159W,92,80,0,1
YBR160W,76,71,2,0
YBR161W,18,17,0,0
YBR162W-A,96,83,0,0
YBR163W,2,2,0,0
YBR165W,11,10,0,0
YBR168W,4,4,0,NA
YBR171W,63,60,0,0
YBR175W,3,3,NA,0
YBR176W,25,20,1,0
