trx,cds,utr5,utr3,
YAL067C,1,1,NA,0
YAL063C-A,1,0,1,0
YAL063C,5,5,NA,0
YAL054C,6,6,NA,0
YAL049C,214,190,0,0
YAL047C,43,38,0,0
YAL046C,58,45,0,0
YAL044C,451,415,0,0
YAL043C,199,190,0,0
YAL040C,43,34,4,0
YAL039C,224,199,0,1
YAL037C-A,0,0,0,0
YAL036C,322,282,0,0
YAL034C-B,0,0,0,0
YAL034C,35,31,1,0
YAL032C,37,34,0,0
YAL031C,37,32,0,0
YAL029C,63,62,NA,0
YAL026C-A,5,4,NA,0
YAL026C,109,109,0,NA
YAL025C,262,236,0,0
YAL024C,27,26,NA,0
YAL023C,480,450,2,0
YAL022C,114,108,0,0
YAL021C,332,308,0,0
YAL020C,23,22,NA,0
YAL018C,0,0,0,0
YAL015C,60,58,NA,0
YAL014C,69,58,1,0
YAL010C,51,46,0,0
YAL007C,190,147,2,0
YAL005C,9222,8983,11,NA
YAL001C,70,70,0,NA
YAR002C-A,295,260,0,0
YAR007C,374,357,0,0
YAR014C,101,97,1,0
YAR018C,111,96,0,1
YAR019C,32,32,NA,0
YAR023C,8,0,8,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,2,0,2,0
YAL062W,44,44,NA,0
YAL061W,45,40,2,0
YAL060W,388,350,1,0
YAL059W,121,120,NA,0
YAL058W,36,36,0,0
YAL056W,39,38,0,0
YAL055W,21,18,0,0
YAL053W,449,413,8,0
YAL051W,60,59,NA,0
YAL047W-A,0,0,0,0
YAL044W-A,105,78,NA,0
YAL042W,252,224,0,0
YAL041W,98,96,0,0
YAL038W,9763,9449,2,5
YAL037W,1,1,NA,NA
YAL035W,1412,1363,0,NA
YAL034W-A,42,38,0,0
YAL033W,78,70,NA,0
YAL030W,95,79,0,0
YAL028W,10,7,1,0
YAL027W,34,32,NA,0
YAL019W,193,190,NA,0
YAL017W,216,208,5,NA
YAL016W,573,552,1,0
YAL013W,82,74,0,0
YAL012W,1486,1369,2,0
YAL011W,25,25,NA,0
YAL009W,21,19,NA,0
YAL008W,87,66,0,0
YAL004W,1,0,0,1
YAL003W,2254,1985,0,1
YAL002W,30,29,NA,0
YAR002W,225,215,0,0
YAR003W,29,27,0,0
YAR008W,53,40,7,0
YAR015W,256,231,2,0
YAR019W-A,0,0,0,0
YAR027W,171,142,2,1
YAR028W,63,56,0,0
YAR029W,1,0,1,0
YAR031W,32,32,NA,0
YAR033W,38,30,1,0
YAR035W,8,8,NA,0
YAR042W,128,126,NA,0
YAR050W,1,1,NA,0
YAR053W,2,0,0,NA
YAR071W,24,24,NA,0
YBL113C,83,77,NA,1
YBL107C,66,63,NA,0
YBL106C,9,8,NA,0
YBL105C,116,112,0,0
YBL104C,41,41,NA,0
YBL103C,115,108,2,0
YBL101C,63,62,NA,0
YBL093C,104,84,3,0
YBL091C-A,38,36,NA,0
YBL091C,351,332,0,0
YBL088C,12,11,NA,0
YBL087C,1776,1566,1,1
YBL086C,45,41,0,0
YBL084C,48,45,NA,1
YBL080C,39,37,0,0
YBL078C,145,114,0,0
YBL076C,1292,1240,0,0
YBL075C,36,34,NA,0
YBL074C,29,27,NA,NA
YBL072C,2903,2676,0,0
YBL071C,0,0,0,0
YBL070C,5,1,3,NA
YBL067C,40,34,0,NA
YBL066C,42,40,1,0
YBL064C,304,271,1,0
YBL061C,152,147,0,0
YBL059C-A,116,81,0,0
YBL057C,97,82,0,0
YBL055C,84,80,0,0
YBL052C,10,7,3,0
YBL051C,228,213,0,1
YBL047C,860,838,3,1
YBL045C,1265,1187,11,3
YBL042C,411,385,1,0
YBL040C,224,182,0,0
YBL039C,717,699,NA,0
YBL036C,167,151,0,0
YBL035C,147,142,1,0
YBL034C,64,62,NA,0
YBL033C,178,160,0,0
YBL030C,1997,1736,12,2
YBL029C-A,113,90,2,1
YBL028C,204,167,0,0
YBL023C,168,162,0,0
YBL022C,457,435,2,1
YBL021C,46,40,0,0
YBL018C,57,43,2,0
YBL017C,261,256,NA,0
YBL014C,21,20,0,0
YBL010C,62,58,NA,0
YBL007C,566,558,1,0
YBL006C,113,94,0,0
YBL003C,1399,1117,1,2
YBL001C,273,230,0,0
YBR001C,124,117,0,0
YBR002C,54,48,0,0
YBR004C,41,35,0,1
YBR007C,75,74,NA,1
YBR008C,6,3,1,2
YBR009C,1436,1077,13,0
YBR011C,1587,1443,0,0
YBR012C,0,0,0,0
YBR013C,0,0,0,0
YBR014C,168,144,1,2
YBR015C,208,196,0,0
YBR017C,316,299,1,0
YBR018C,2,1,0,0
YBR019C,0,0,0,0
YBR023C,215,210,NA,0
YBR025C,1302,1166,2,0
YBR026C,267,254,NA,0
YBR028C,74,63,7,0
YBR029C,226,198,0,0
YBR034C,286,254,0,0
YBR035C,421,371,0,0
YBR036C,308,277,0,0
YBR037C,146,130,0,1
YBR042C,54,53,1,0
YBR043C,126,108,6,0
YBR044C,49,46,0,0
YBR045C,11,11,NA,0
YBR046C,113,104,0,0
YBR049C,303,288,0,1
YBR050C,1,1,0,0
YBR052C,279,247,3,0
YBR053C,207,198,0,0
YBR055C,68,68,0,0
YBR057C,125,114,3,1
YBR058C,195,192,0,0
YBR058C-A,141,87,1,0
YBR059C,200,193,4,NA
YBR060C,76,67,2,0
YBR061C,170,156,0,0
YBR062C,80,67,0,0
YBR063C,0,0,0,0
YBR065C,97,82,1,NA
YBR066C,38,36,NA,0
YBR067C,691,600,2,2
YBR068C,950,917,1,0
YBR069C,356,327,6,0
YBR070C,40,35,0,0
YBR072C-A,0,0,0,0
YBR076C-A,5,4,NA,0
YBR077C,134,121,2,NA
YBR079C,1179,1146,0,0
YBR080C,345,338,0,0
YBR081C,104,103,NA,0
YBR082C,1183,1015,12,1
YBR084C-A,2223,1964,0,0
YBR085C-A,700,535,1,2
YBR086C,368,349,15,0
YBR088C,540,468,0,0
YBR089C-A,224,173,NA,0
YBR091C,72,50,0,0
YBR092C,736,669,0,0
YBR093C,167,162,0,0
YBR095C,93,90,0,0
YBR099C,1,0,1,NA
YBR101C,336,310,0,0
YBR102C,109,102,0,0
YBR103C-A,0,0,0,0
YBR105C,45,40,0,0
YBR107C,4,2,0,0
YBR109C,707,580,2,1
YBR111C,330,312,NA,3
YBR112C,477,471,NA,0
YBR115C,776,766,NA,0
YBR120C,133,108,0,0
YBR121C,1103,1064,9,NA
YBR122C,206,168,1,1
YBR123C,100,97,0,0
YBR125C,47,40,3,0
YBR126C,1091,1010,4,1
YBR127C,1163,1079,0,0
YBR128C,6,5,0,NA
YBR129C,63,59,0,0
YBR130C,125,119,0,0
YBR132C,73,62,5,0
YBR133C,47,43,0,0
YBR138C,106,103,0,0
YBR140C,115,113,NA,0
YBR141C,46,46,0,0
YBR143C,800,752,0,0
YBR144C,0,0,0,0
YBR150C,49,48,0,0
YBR154C,404,352,0,1
YBR156C,61,55,0,0
YBR157C,5,4,NA,0
YBR162C,828,750,8,0
YBR164C,248,200,5,0
YBR166C,233,206,1,0
YBR167C,56,47,NA,0
YBR169C,281,263,0,0
YBR170C,183,166,1,0
YBR172C,162,155,0,0
YBR173C,351,293,0,0
YBR174C,0,0,0,0
YBR177C,555,511,0,0
YBR179C,131,124,0,0
YBR181C,3507,3229,1,1
YBR182C,33,32,NA,0
YBR182C-A,1,0,0,0
YBR185C,133,126,0,0
YBR188C,107,81,0,0
YBR193C,93,88,0,0
YBR195C,39,36,0,0
YBR196C,4220,3944,2,3
YBR197C,54,53,0,0
YBR198C,157,146,0,0
YBR201C-A,15,8,0,0
YBR204C,52,50,0,0
YBR208C,90,77,10,0
YBR211C,39,36,0,NA
YBR216C,40,36,0,0
YBR218C,567,531,0,0
YBR221C,734,664,10,0
YBR222C,214,199,0,0
YBR223C,27,23,0,0
YBR229C,127,121,0,0
YBR230C,297,251,0,0
YBR231C,49,46,1,0
YBR234C,476,440,0,0
YBR236C,151,132,1,0
YBR238C,86,83,NA,NA
YBR239C,59,56,1,0
YBR240C,6,6,NA,0
YBR241C,56,53,0,0
YBR243C,56,50,1,0
YBR245C,285,285,NA,NA
YBR247C,283,261,0,0
YBR248C,267,258,0,0
YBR249C,1383,1324,2,0
YBR254C,57,55,0,0
YBR255C-A,51,29,0,0
YBR256C,267,242,0,1
YBR258C,29,23,0,0
YBR260C,130,124,0,0
YBR261C,162,152,0,0
YBR262C,160,126,0,0
YBR264C,52,48,0,0
YBR269C,215,186,0,0
YBR270C,8,5,3,0
YBR272C,82,78,0,0
YBR273C,156,144,0,0
YBR275C,95,93,NA,NA
YBR276C,22,20,1,0
YBR277C,0,0,0,0
YBR280C,41,39,0,0
YBR281C,106,105,0,0
YBR283C,448,414,5,0
YBR288C,161,149,0,0
YBR291C,53,45,0,0
YBR292C,1,0,1,NA
YBR296C,3,3,0,0
YBR298C,1,0,1,0
YBL102W,118,97,0,1
YBL100W-C,0,0,0,0
YBL099W,2197,2054,43,4
YBL098W,42,38,NA,0
YBL097W,37,34,0,0
YBL095W,24,22,0,0
YBL092W,2376,2045,8,2
YBL090W,146,135,0,0
YBL089W,42,39,0,0
YBL085W,113,108,NA,0
YBL081W,92,87,2,0
YBL079W,175,166,0,NA
YBL071W-A,120,86,0,0
YBL068W,219,196,0,0
YBL063W,21,21,0,NA
YBL060W,40,38,0,0
YBL059W,61,57,NA,0
YBL058W,506,476,0,0
YBL056W,287,259,0,1
YBL054W,96,93,0,0
YBL050W,303,276,2,0
YBL048W,0,0,0,0
YBL046W,69,65,NA,0
YBL043W,21,17,3,0
YBL041W,498,449,0,0
YBL039W-B,15,5,1,0
YBL038W,252,223,0,0
YBL037W,121,118,0,0
YBL032W,170,152,1,0
YBL031W,25,24,0,0
YBL029W,21,21,NA,0
YBL027W,2254,1951,3,5
YBL026W,166,117,3,2
YBL025W,46,38,0,0
YBL024W,515,497,0,NA
YBL020W,29,26,0,0
YBL019W,18,17,NA,0
YBL016W,167,161,NA,0
YBL015W,137,128,0,0
YBL011W,96,92,2,0
YBL009W,103,96,1,0
YBL008W,37,35,NA,0
YBL005W,21,19,1,0
YBL004W,272,261,NA,0
YBL002W,1031,795,0,2
YBR003W,117,112,0,0
YBR005W,79,66,2,1
YBR006W,64,59,0,0
YBR010W,2191,1739,2,4
YBR016W,340,288,1,2
YBR020W,2,2,0,0
YBR021W,148,132,0,0
YBR022W,75,61,1,1
YBR024W,60,55,1,NA
YBR030W,27,23,1,0
YBR031W,5094,4802,0,0
YBR033W,28,27,NA,0
YBR038W,280,263,0,0
YBR039W,896,800,1,1
YBR041W,91,84,0,0
YBR047W,4,3,0,0
YBR048W,2014,1831,0,1
YBR051W,0,0,0,0
YBR054W,500,429,14,0
YBR056W,250,234,0,0
YBR056W-A,116,74,1,1
YBR071W,351,300,2,0
YBR072W,227,196,0,0
YBR073W,292,287,NA,0
YBR074W,138,136,NA,0
YBR076W,0,0,0,0
YBR078W,2402,2215,21,3
YBR083W,157,147,4,NA
YBR084W,518,497,0,1
YBR085W,3,3,0,0
YBR087W,139,133,0,1
YBR094W,93,84,0,NA
YBR096W,152,126,2,0
YBR097W,42,42,NA,0
YBR098W,19,18,0,0
YBR103W,85,78,1,0
YBR104W,69,64,0,0
YBR106W,415,355,0,0
YBR108W,124,121,0,0
YBR110W,82,73,0,0
YBR111W-A,120,98,2,0
YBR114W,63,62,1,0
YBR118W,17178,16250,0,7
YBR119W,54,43,1,0
YBR131W,39,38,0,0
YBR135W,135,119,1,0
YBR136W,51,50,NA,0
YBR137W,99,93,NA,0
YBR139W,410,396,NA,0
YBR141W-A,7,3,0,0
YBR142W,203,191,0,0
YBR145W,58,48,1,0
YBR146W,213,191,2,0
YBR147W,9,8,0,0
YBR148W,4,4,NA,0
YBR149W,826,776,2,0
YBR151W,91,84,1,0
YBR152W,36,34,0,NA
YBR153W,71,66,0,0
YBR155W,122,113,0,0
YBR158W,195,180,10,0
YBR159W,261,219,1,0
YBR160W,234,215,0,1
YBR161W,59,54,0,1
YBR162W-A,225,162,0,0
YBR163W,10,8,0,0
YBR165W,69,56,1,0
YBR168W,23,19,1,NA
YBR171W,169,150,0,0
YBR175W,29,29,NA,0
YBR176W,38,32,0,0
YBR178W,2,0,0,0
YBR183W,138,111,0,0
YBR184W,13,13,NA,0
YBR186W,0,0,0,0
YBR187W,132,102,3,0
YBR189W,2478,2068,0,2
YBR192W,66,62,2,0
YBR194W,38,28,0,0
YBR199W,189,171,2,0
YBR200W,118,109,2,0
YBR201W,28,22,1,0
YBR202W,197,194,0,1
YBR203W,73,69,2,1
YBR205W,174,169,0,NA
YBR207W,123,116,0,0
YBR210W,46,32,0,0
YBR212W,235,223,4,0
YBR213W,42,33,1,1
YBR214W,303,282,0,0
YBR215W,99,96,0,0
YBR217W,22,17,0,0
YBR225W,58,56,NA,0
YBR228W,16,15,NA,0
YBR230W-A,118,78,0,1
YBR233W,79,71,0,0
YBR233W-A,19,15,0,0
YBR235W,59,54,1,0
YBR237W,43,43,0,0
YBR242W,140,114,3,0
YBR244W,28,26,0,1
YBR246W,69,59,0,0
YBR250W,0,0,0,0
YBR251W,228,212,0,0
YBR252W,257,206,0,1
YBR253W,66,42,4,0
YBR255W,47,46,0,0
YBR257W,63,59,0,0
YBR259W,16,16,0,0
YBR263W,193,170,0,0
YBR265W,130,114,0,0
YBR267W,152,143,0,0
YBR268W,120,101,0,1
YBR271W,49,42,0,0
YBR274W,45,43,1,0
YBR278W,48,43,0,0
YBR279W,222,201,0,0
YBR282W,218,179,0,0
YBR284W,12,12,0,NA
YBR285W,5,5,NA,0
YBR286W,1038,981,0,1
YBR287W,186,176,0,0
YBR289W,179,178,0,0
YBR290W,124,105,0,1
YBR293W,13,13,NA,0
YBR294W,1,1,NA,0
YBR295W,17,17,NA,0
YBR297W,47,45,0,0
YBR299W,22,21,0,0
YCL064C,41,34,0,0
YCL061C,256,254,0,NA
YCL059C,528,445,0,0
YCL057C-A,640,463,1,0
YCL056C,39,35,NA,0
YCL052C,172,158,0,0
YCL050C,1250,1149,5,1
YCL049C,214,166,0,0
YCL047C,86,75,NA,0
YCL045C,600,572,0,0
YCL044C,152,140,1,0
YCL043C,2494,2411,NA,1
YCL041C,156,139,0,NA
YCL038C,102,97,0,0
YCL037C,1002,947,1,2
YCL035C,927,747,0,0
YCL033C,207,188,NA,0
YCL031C,397,354,0,0
YCL030C,1289,1230,1,0
YCL029C,129,115,0,4
YCL026C-B,61,56,0,0
YCL026C-A,1,1,NA,0
YCL025C,1129,1088,0,2
YCL017C,608,562,4,0
YCL016C,76,62,0,0
YCL012C,160,109,0,0
YCL011C,432,402,0,0
YCL010C,97,93,0,1
YCL009C,962,818,0,0
YCL008C,121,117,NA,1
YCL002C,24,17,0,0
YCR002C,691,603,1,0
YCR004C,824,755,4,1
YCR005C,1151,1077,1,1
YCR007C,30,21,5,0
YCR009C,647,576,0,1
YCR010C,1,1,NA,0
YCR011C,437,409,1,1
YCR014C,6,6,NA,0
YCR015C,107,93,0,0
YCR017C,380,351,0,0
YCR020C,15,14,NA,0
YCR020C-A,160,142,0,0
YCR021C,64,62,0,0
YCR022C,0,0,0,0
YCR023C,110,79,17,0
YCR024C,120,113,0,1
YCR024C-B,5,1,0,2
YCR024C-A,362,126,27,NA
YCR025C,2,1,NA,1
YCR026C,271,240,2,0
YCR027C,106,84,9,0
YCR028C,116,99,3,0
YCR028C-A,722,584,2,0
YCR030C,771,738,4,0
YCR031C,2905,2437,0,3
YCR035C,315,292,0,0
YCR037C,241,228,NA,1
YCR038C,26,26,NA,0
YCR042C,257,252,0,NA
YCR043C,183,147,0,0
YCR044C,77,73,0,0
YCR045C,1,1,0,0
YCR046C,333,305,NA,0
YCR047C,175,154,1,0
YCR054C,189,181,0,1
YCR057C,397,366,0,1
YCR059C,96,81,0,1
YCR064C,0,0,0,0
YCR067C,278,269,1,0
YCR071C,277,234,3,2
YCR072C,309,275,0,0
YCR073C,45,45,0,0
YCR075C,56,51,0,0
YCR076C,121,110,0,0
YCR077C,1355,1314,1,0
YCR084C,848,784,15,1
YCR087C-A,226,191,0,0
YCR090C,158,124,0,0
YCR092C,126,118,1,1
YCR095C,112,104,0,0
YCR098C,17,16,NA,0
YCR102C,4,4,0,0
YCL063W,139,136,0,0
YCL058W-A,107,84,0,0
YCL057W,556,543,0,1
YCL055W,136,128,0,0
YCL054W,501,477,0,0
YCL051W,112,102,4,0
YCL048W,5,5,NA,0
YCL040W,2847,2733,NA,0
YCL039W,181,172,0,0
YCL036W,87,84,NA,0
YCL034W,395,358,0,0
YCL032W,158,147,0,0
YCL028W,1021,964,0,0
YCL027W,10,8,0,0
YCL024W,163,159,0,NA
YCL021W-A,2,1,0,0
YCL018W,207,144,0,0
YCL014W,190,184,0,0
YCL005W-A,381,270,0,1
YCL005W,32,28,0,0
YCL004W,81,71,9,0
YCL001W,355,301,0,2
YCR003W,393,350,0,1
YCR008W,97,80,8,1
YCR012W,13007,12289,4,14
YCR016W,313,286,0,0
YCR019W,89,62,16,0
YCR020W-B,283,152,0,2
YCR032W,69,68,NA,0
YCR033W,83,83,NA,0
YCR034W,776,703,0,0
YCR036W,299,292,NA,0
YCR045W-A,10,0,9,1
YCR048W,56,51,0,0
YCR051W,293,261,0,1
YCR052W,331,298,0,1
YCR053W,2742,2565,2,1
YCR061W,199,190,0,0
YCR063W,108,86,0,1
YCR065W,207,189,1,0
YCR066W,89,78,1,0
YCR068W,91,86,2,0
YCR069W,221,197,3,0
YCR073W-A,362,333,0,0
YCR075W-A,96,59,0,0
YCR079W,18,15,0,0
YCR081W,99,95,0,NA
YCR082W,274,197,0,1
YCR083W,146,124,0,0
YCR085W,0,0,0,0
YCR086W,143,128,1,NA
YCR088W,1763,1697,1,0
YCR089W,18,18,NA,0
YCR091W,82,73,1,0
YCR093W,587,583,0,0
YCR094W,163,146,2,0
YCR095W-A,8,0,6,2
YCR097W,0,0,0,0
YCR105W,17,17,NA,0
YCR106W,42,39,0,NA
YCR107W,11,6,NA,0
YDL243C,8,5,2,0
YDL239C,2,2,NA,0
YDL238C,36,34,0,0
YDL235C,114,93,1,0
YDL234C,160,148,0,0
YDL231C,8,7,NA,0
YDL227C,81,79,NA,0
YDL226C,457,421,0,0
YDL224C,201,187,6,0
YDL222C,40,39,NA,NA
YDL220C,22,21,NA,0
YDL217C,159,130,3,0
YDL216C,29,25,NA,0
YDL215C,236,227,NA,0
YDL214C,5,5,0,0
YDL213C,217,201,0,0
YDL211C,16,15,0,0
YDL209C,46,44,0,0
YDL205C,65,56,2,1
YDL203C,96,86,2,0
YDL200C,35,30,NA,1
YDL199C,20,15,0,0
YDL198C,327,275,1,0
YDL197C,9,9,0,0
YDL190C,243,221,2,0
YDL188C,174,162,2,0
YDL187C,5,0,5,NA
YDL184C,821,383,0,5
YDL183C,29,28,0,0
YDL177C,13,11,1,0
YDL175C,89,83,0,0
YDL174C,273,244,0,NA
YDL171C,447,428,5,NA
YDL169C,13,13,NA,0
YDL167C,110,106,1,0
YDL166C,127,100,0,0
YDL164C,117,115,0,1
YDL160C-A,41,29,0,0
YDL160C,1021,948,16,0
YDL157C,165,121,2,0
YDL153C,225,216,1,0
YDL148C,298,289,0,NA
YDL145C,509,478,8,0
YDL144C,55,54,0,0
YDL142C,34,32,0,0
YDL140C,368,363,NA,0
YDL139C,29,25,NA,0
YDL135C,215,203,0,0
YDL134C,259,238,4,0
YDL133C-A,850,383,0,6
YDL126C,1829,1752,1,0
YDL125C,274,265,NA,0
YDL121C,145,115,0,0
YDL119C,48,42,0,0
YDL115C,70,58,0,0
YDL113C,80,76,0,0
YDL111C,144,134,2,0
YDL110C,254,218,1,0
YDL109C,6,6,NA,0
YDL106C,154,147,0,0
YDL104C,22,22,0,0
YDL103C,351,320,1,0
YDL101C,100,97,0,0
YDL100C,733,662,0,0
YDL098C,20,14,0,0
YDL097C,659,626,1,0
YDL094C,1,0,1,0
YDL091C,67,62,1,0
YDL090C,43,41,0,0
YDL088C,154,152,0,0
YDL087C,45,41,0,0
YDL086C-A,0,0,0,0
YDL085C-A,35,24,0,0
YDL083C,1390,1109,0,1
YDL081C,1388,1025,19,3
YDL080C,37,34,NA,0
YDL079C,5,5,NA,0
YDL078C,414,364,3,0
YDL077C,54,53,NA,0
YDL076C,66,56,6,0
YDL074C,204,195,1,0
YDL072C,472,371,0,1
YDL069C,15,12,0,1
YDL067C,354,204,0,1
YDL065C,168,155,0,0
YDL063C,137,128,0,0
YDL061C,799,445,0,3
YDL059C,23,22,0,NA
YDL055C,2861,2608,32,2
YDL054C,60,56,0,0
YDL053C,147,113,2,1
YDL052C,128,110,0,1
YDL049C,16,16,0,0
YDL048C,41,39,0,0
YDL045C,39,35,1,0
YDL044C,70,61,0,0
YDL043C,107,93,0,0
YDL042C,89,83,0,0
YDL040C,466,437,0,0
YDL039C,13,13,NA,0
YDL036C,64,60,NA,0
YDL035C,37,37,NA,0
YDL033C,27,27,0,0
YDL028C,73,60,4,0
YDL027C,43,29,1,0
YDL025C,71,66,2,0
YDL024C,3,3,NA,0
YDL020C,232,214,3,0
YDL019C,160,159,NA,0
YDL018C,95,83,0,0
YDL015C,435,395,0,NA
YDL012C,214,176,0,0
YDL009C,1,0,1,NA
YDL005C,161,157,0,0
YDL002C,83,73,1,0
YDR001C,532,521,NA,0
YDR005C,108,103,1,0
YDR006C,106,101,2,0
YDR008C,1,1,NA,0
YDR010C,0,0,0,0
YDR016C,38,27,0,0
YDR017C,124,117,NA,0
YDR018C,12,11,NA,0
YDR019C,409,387,NA,0
YDR020C,53,49,NA,0
YDR022C,34,30,0,0
YDR026C,38,36,1,0
YDR027C,70,63,2,0
YDR028C,318,310,NA,2
YDR030C,25,25,0,0
YDR032C,682,580,2,0
YDR034C,66,65,0,0
YDR036C,104,97,0,0
YDR038C,279,263,NA,0
YDR042C,1,1,NA,0
YDR045C,82,54,11,0
YDR046C,419,385,5,0
YDR048C,4,0,4,0
YDR050C,4570,4418,1,4
YDR051C,94,86,0,0
YDR052C,98,92,1,0
YDR054C,250,208,5,1
YDR056C,137,115,0,0
YDR058C,19,16,0,0
YDR059C,110,92,0,0
YDR066C,31,24,2,0
YDR067C,55,47,0,0
YDR069C,60,58,NA,0
YDR070C,13,8,0,0
YDR071C,454,384,6,0
YDR072C,182,175,1,0
YDR078C,9,6,0,0
YDR079C-A,32,22,1,0
YDR081C,89,82,0,0
YDR084C,105,84,0,0
YDR085C,57,56,NA,0
YDR086C,293,221,2,1
YDR087C,280,262,0,0
YDR088C,66,61,1,0
YDR090C,46,41,1,0
YDR091C,581,548,0,0
YDR097C,164,154,0,1
YDR098C,406,397,NA,1
YDR101C,424,400,0,0
YDR104C,28,27,NA,0
YDR105C,111,104,0,0
YDR107C,28,24,0,0
YDR109C,53,48,NA,0
YDR111C,87,78,2,0
YDR113C,117,114,0,0
YDR116C,215,195,0,0
YDR117C,122,109,1,0
YDR120C,234,231,NA,1
YDR123C,68,63,3,0
YDR125C,15,14,NA,1
YDR129C,1176,1118,0,0
YDR130C,80,71,0,0
YDR131C,29,27,0,0
YDR132C,25,20,1,0
YDR133C,808,2,686,2
YDR135C,316,310,NA,0
YDR139C,66,49,0,0
YDR141C,163,161,NA,NA
YDR142C,26,20,0,0
YDR143C,134,126,2,0
YDR144C,92,86,0,0
YDR146C,251,249,NA,0
YDR148C,622,592,0,0
YDR151C,120,113,0,0
YDR153C,292,266,3,0
YDR162C,126,103,0,0
YDR164C,79,70,0,0
YDR166C,161,160,NA,0
YDR169C,137,128,4,0
YDR170C,461,451,NA,0
YDR173C,42,41,0,NA
YDR175C,217,185,1,0
YDR179C,43,39,0,0
YDR181C,58,55,0,0
YDR185C,16,14,0,0
YDR186C,103,95,3,1
YDR190C,516,473,1,0
YDR192C,109,100,0,0
YDR194C,318,299,0,0
YDR196C,82,82,NA,0
YDR198C,41,34,0,0
YDR200C,42,40,0,0
YDR202C,63,60,0,0
YDR207C,56,55,1,NA
YDR215C,2,0,0,2
YDR217C,65,64,0,NA
YDR218C,2,2,NA,0
YDR219C,102,98,NA,0
YDR224C,1397,995,5,3
YDR228C,117,113,0,0
YDR231C,143,123,0,0
YDR233C,862,772,0,2
YDR236C,38,37,0,0
YDR238C,891,861,0,0
YDR239C,63,59,0,0
YDR240C,51,48,0,0
YDR243C,72,69,0,0
YDR248C,68,56,2,0
YDR249C,12,11,0,0
YDR253C,6,5,1,0
YDR255C,35,34,0,0
YDR256C,3,3,NA,0
YDR257C,125,116,0,0
YDR258C,1077,1023,0,0
YDR259C,16,13,1,1
YDR260C,98,75,0,0
YDR261C,84,81,0,0
YDR263C,17,12,2,0
YDR264C,164,157,0,0
