trx,cds,utr5,utr3,
YAL067C,16,14,NA,2
YAL063C-A,30,4,23,1
YAL063C,140,135,NA,5
YAL054C,67,53,NA,13
YAL049C,335,236,19,41
YAL047C,71,66,2,0
YAL046C,150,95,1,27
YAL044C,568,444,0,33
YAL043C,462,429,0,17
YAL040C,820,653,104,35
YAL039C,422,349,11,37
YAL037C-A,0,0,0,0
YAL036C,306,290,3,0
YAL034C-B,1,1,NA,0
YAL034C,148,104,30,9
YAL032C,82,73,0,6
YAL031C,169,153,1,8
YAL029C,616,599,NA,13
YAL026C-A,49,46,NA,0
YAL026C,547,545,0,NA
YAL025C,194,146,2,36
YAL024C,175,167,NA,8
YAL023C,1994,1781,87,67
YAL022C,327,300,0,12
YAL021C,875,782,12,62
YAL020C,75,60,NA,12
YAL018C,7,1,0,5
YAL015C,96,92,NA,0
YAL014C,131,99,10,13
YAL010C,88,82,0,5
YAL007C,463,313,30,76
YAL005C,16677,16186,145,NA
YAL001C,195,194,0,NA
YAR002C-A,635,488,0,60
YAR007C,390,356,14,5
YAR014C,324,275,19,21
YAR018C,209,182,0,9
YAR019C,197,195,NA,2
YAR023C,29,12,14,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,42,12,24,6
YAL062W,119,115,NA,3
YAL061W,80,55,3,15
YAL060W,474,436,2,20
YAL059W,127,86,NA,38
YAL058W,176,165,0,8
YAL056W,224,208,1,5
YAL055W,17,13,0,4
YAL053W,1198,1063,59,37
YAL051W,173,163,NA,8
YAL047W-A,1,0,NA,1
YAL044W-A,225,145,NA,46
YAL042W,732,662,0,28
YAL041W,295,283,1,5
YAL038W,34824,30865,302,1779
YAL037W,16,15,NA,NA
YAL035W,1760,1721,10,NA
YAL034W-A,33,26,0,5
YAL033W,141,117,NA,12
YAL030W,226,131,3,38
YAL028W,59,52,3,0
YAL027W,60,51,NA,6
YAL019W,421,406,NA,7
YAL017W,640,591,40,NA
YAL016W,757,690,24,13
YAL013W,149,125,3,14
YAL012W,1886,1659,45,89
YAL011W,77,69,NA,5
YAL009W,67,60,NA,7
YAL008W,120,90,0,18
YAL004W,285,0,276,9
YAL003W,5750,4148,0,882
YAL002W,266,257,NA,3
YAR002W,279,240,8,17
YAR003W,134,92,1,32
YAR008W,45,34,1,5
YAR015W,323,246,16,35
YAR019W-A,24,1,NA,22
YAR027W,286,197,29,40
YAR028W,90,52,5,20
YAR029W,6,0,5,0
YAR031W,46,35,NA,7
YAR033W,46,39,0,3
YAR035W,45,44,NA,1
YAR042W,505,472,NA,26
YAR050W,217,214,NA,3
