trx,cds,utr5,utr3,
YAL067C,2,1,NA,1
YAL063C-A,35,8,24,0
YAL063C,480,459,NA,19
YAL054C,94,74,NA,17
YAL049C,427,314,28,37
YAL047C,115,112,0,3
YAL046C,119,65,1,32
YAL044C,613,492,0,46
YAL043C,572,544,0,12
YAL040C,1186,918,200,36
YAL039C,270,222,11,25
YAL037C-A,0,0,0,0
YAL036C,418,399,1,1
YAL034C-B,0,0,0,0
YAL034C,294,185,81,20
YAL032C,111,92,0,5
YAL031C,218,193,1,15
YAL029C,720,700,NA,15
YAL026C-A,48,45,NA,0
YAL026C,576,575,0,NA
YAL025C,326,235,2,65
YAL024C,183,178,NA,2
YAL023C,1667,1527,56,45
YAL022C,381,343,0,10
YAL021C,737,670,10,40
YAL020C,123,107,NA,14
YAL018C,2,1,0,1
YAL015C,152,146,NA,0
YAL014C,220,164,10,28
YAL010C,158,144,0,5
YAL007C,344,229,15,63
YAL005C,17024,16490,181,NA
YAL001C,291,284,0,NA
YAR002C-A,502,409,0,37
YAR007C,506,470,8,9
YAR014C,458,402,21,26
YAR018C,244,216,0,15
YAR019C,204,196,NA,2
YAR023C,103,46,52,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,79,23,49,5
YAL062W,160,159,NA,0
YAL061W,119,95,4,16
YAL060W,585,553,1,16
YAL059W,187,134,NA,45
YAL058W,197,173,5,10
YAL056W,371,346,3,7
YAL055W,40,33,0,4
YAL053W,1995,1830,75,39
YAL051W,321,302,NA,16
YAL047W-A,2,1,NA,1
YAL044W-A,174,121,NA,32
YAL042W,591,529,0,30
YAL041W,363,342,8,4
YAL038W,22420,19983,177,1146
YAL037W,17,17,NA,NA
YAL035W,2058,2024,5,NA
YAL034W-A,51,41,0,2
YAL033W,140,117,NA,16
YAL030W,149,80,0,31
YAL028W,113,104,2,0
YAL027W,64,57,NA,4
YAL019W,598,584,NA,4
YAL017W,918,846,60,NA
YAL016W,958,873,43,17
YAL013W,190,152,2,21
YAL012W,2040,1766,45,114
YAL011W,110,106,NA,3
YAL009W,87,73,NA,10
YAL008W,90,67,2,15
YAL004W,182,0,165,17
YAL003W,4192,3017,0,652
YAL002W,462,451,NA,8
YAR002W,374,340,7,13
YAR003W,170,108,10,44
YAR008W,93,78,3,5
YAR015W,376,287,22,40
YAR019W-A,90,0,NA,90
YAR027W,330,227,20,53
YAR028W,121,82,2,23
YAR029W,38,7,18,10
YAR031W,65,56,NA,7
YAR033W,62,50,5,4
YAR035W,54,46,NA,6
YAR042W,568,532,NA,26
YAR050W,653,642,NA,6
YAR053W,13,8,3,NA
YAR071W,201,197,NA,0
YBL113C,6043,5927,NA,80
YBL107C,157,112,NA,24
YBL106C,105,104,NA,0
