trx,cds,utr5,utr3,
YAL067C,4,3,NA,1
YAL063C-A,25,5,19,0
YAL063C,238,229,NA,8
YAL054C,69,57,NA,12
YAL049C,232,156,13,36
YAL047C,46,42,0,2
YAL046C,92,67,0,12
YAL044C,358,281,0,19
YAL043C,421,397,0,12
YAL040C,611,483,102,18
YAL039C,146,124,8,4
YAL037C-A,0,0,0,0
YAL036C,310,286,1,0
YAL034C-B,1,0,NA,1
YAL034C,162,105,45,10
YAL032C,61,48,0,4
YAL031C,95,82,1,6
YAL029C,275,268,NA,4
YAL026C-A,14,14,NA,0
YAL026C,325,324,0,NA
YAL025C,188,143,1,24
YAL024C,58,55,NA,3
YAL023C,1258,1142,40,41
YAL022C,294,281,0,1
YAL021C,591,533,8,34
YAL020C,74,62,NA,10
YAL018C,3,3,0,0
YAL015C,88,82,NA,0
YAL014C,143,117,2,12
YAL010C,76,71,0,1
YAL007C,280,204,11,30
YAL005C,13368,12930,151,NA
YAL001C,80,77,0,NA
YAR002C-A,394,309,0,28
YAR007C,336,318,6,4
YAR014C,229,199,13,12
YAR018C,195,185,0,2
YAR019C,117,115,NA,0
YAR023C,56,24,31,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,45,14,22,7
YAL062W,114,113,NA,0
YAL061W,60,43,3,11
YAL060W,467,428,4,15
YAL059W,157,118,NA,31
YAL058W,135,122,5,3
YAL056W,171,165,2,1
YAL055W,33,23,0,4
YAL053W,1319,1185,65,28
YAL051W,192,180,NA,8
YAL047W-A,0,0,0,0
YAL044W-A,118,75,NA,27
YAL042W,540,486,0,26
YAL041W,190,178,3,2
YAL038W,20243,18113,200,935
YAL037W,5,5,NA,NA
YAL035W,1151,1135,1,NA
YAL034W-A,27,20,0,1
YAL033W,71,59,NA,4
YAL030W,128,75,5,16
YAL028W,42,39,3,0
YAL027W,51,42,NA,4
YAL019W,333,331,NA,0
YAL017W,488,446,36,NA
YAL016W,674,615,28,13
YAL013W,126,110,1,7
YAL012W,1437,1241,33,77
YAL011W,61,57,NA,3
YAL009W,53,46,NA,4
YAL008W,44,33,1,7
YAL004W,236,0,225,11
YAL003W,3057,2310,0,371
YAL002W,167,162,NA,1
YAR002W,233,215,1,10
YAR003W,101,79,5,10
YAR008W,45,31,6,5
YAR015W,316,239,24,25
YAR019W-A,50,1,NA,45
YAR027W,238,154,26,30
YAR028W,87,66,3,13
YAR029W,16,2,9,4
YAR031W,51,44,NA,5
YAR033W,55,48,1,3
YAR035W,42,36,NA,4
YAR042W,309,289,NA,13
YAR050W,366,362,NA,3
YAR053W,4,2,1,NA
YAR071W,135,129,NA,0
YBL113C,2728,2658,NA,42
YBL107C,57,43,NA,8
YBL106C,93,91,NA,0
YBL105C,221,197,16,4
YBL104C,174,165,NA,3
YBL103C,137,86,29,20
YBL101C,172,167,NA,4
YBL093C,101,73,1,13
YBL091C-A,50,41,NA,4
YBL091C,406,358,0,22
YBL088C,220,218,NA,1
