GeneID,wt.2
YAL001C,157
YAL002W,203
YAL003W,25922
YAL005C,3691
YAL007C,3919
YAL008W,475
YAL009W,235
YAL010C,146
YAL011W,95
YAL012W,14671
YAL013W,143
YAL014C,672
YAL015C,92
YAL016C-A,0
YAL016W,1901
YAL017W,269
YAL018C,0
YAL019W,647
YAL020C,314
YAL021C,417
YAL022C,372
YAL023C,659
YAL024C,200
YAL025C,1249
YAL026C,696
YAL027W,188
YAL028W,22
YAL029C,554
YAL030W,1083
YAL031C,326
YAL032C,91
YAL033W,1080
YAL034C,144
YAL034W-A,223
YAL035W,1676
YAL036C,1770
YAL037W,59
YAL038W,53126
YAL039C,358
YAL040C,3807
YAL041W,284
YAL042W,3060
YAL043C,167
YAL044C,1162
YAL044W-A,2665
YAL045C,29
YAL046C,477
YAL047C,88
YAL048C,154
YAL049C,749
YAL051W,163
YAL053W,1401
YAL054C,0
YAL055W,65
YAL056W,233
YAL058W,164
YAL059C-A,0
YAL059W,1270
YAL060W,411
YAL061W,48
YAL062W,307
YAL063C,0
YAL063C-A,88
YAL064W-B,42
YAL066W,0
YAL067C,42
YAR002C-A,4966
YAR002W,356
YAR003W,203
YAR007C,340
YAR008W,281
YAR014C,526
YAR015W,736
YAR018C,187
YAR019C,36
YAR019W-A,0
YAR020C,0
YAR023C,55
YAR027W,457
YAR028W,539
YAR029W,0
YAR030C,0
YAR033W,326
YAR035W,0
YAR042W,217
YAR075W,0
YBL001C,2160
YBL002W,8822
YBL003C,13234
YBL004W,913
YBL005W,165
YBL005W-A,226
YBL006C,1371
YBL006W-A,0
YBL007C,1657
YBL008W,257
YBL009W,120
YBL010C,101
YBL011W,646
YBL013W,38
YBL014C,248
YBL015W,310
YBL016W,425
YBL017C,662
YBL018C,1110
YBL019W,61
YBL020W,920
YBL021C,286
YBL022C,452
YBL023C,211
YBL024W,1348
YBL025W,219
YBL026W,1225
YBL027W,46316
YBL028C,2087
YBL029C-A,996
YBL029W,102
YBL030C,19771
YBL031W,58
YBL032W,461
YBL033C,352
YBL034C,197
YBL035C,162
YBL036C,493
YBL037W,228
YBL038W,479
YBL039C,1912
YBL039W-B,255
YBL040C,3254
YBL041W,2427
YBL042C,2052
YBL043W,101
YBL045C,2882
YBL046W,141
YBL047C,1509
YBL049W,31
YBL050W,1192
YBL051C,766
YBL052C,183
YBL054W,294
YBL055C,343
YBL056W,1060
YBL057C,976
YBL058W,872
YBL059C-A,1147
YBL060W,93
YBL061C,352
YBL063W,98
YBL064C,1266
YBL066C,290
YBL067C,588
YBL068W,1524
YBL069W,715
YBL071W-A,1113
YBL072C,30357
YBL074C,70
YBL075C,0
YBL076C,2547
YBL078C,253
YBL079W,957
YBL080C,107
YBL081W,1308
YBL082C,1002
YBL084C,196
YBL085W,514
YBL086C,100
YBL087C,12800
YBL088C,113
YBL089W,362
YBL090W,1590
YBL091C,502
YBL091C-A,261
YBL092W,68218
YBL093C,880
YBL094C,0
YBL095W,259
YBL097W,51
YBL098W,303
YBL099W,4796
YBL100W-A,12
YBL101C,225
YBL102W,267
YBL103C,211
YBL104C,98
YBL105C,539
YBL106C,23
YBL107C,991
YBR001C,251
YBR002C,414
YBR003W,802
YBR004C,795
YBR005W,946
YBR006W,156
YBR007C,96
YBR008C,218
YBR009C,10285
YBR010W,7114
YBR011C,11072
YBR014C,695
YBR015C,2462
YBR016W,1239
YBR017C,744
YBR018C,0
YBR021W,180
YBR022W,468
YBR023C,1521
YBR024W,119
YBR025C,5162
YBR026C,618
YBR028C,519
YBR029C,658
YBR030W,332
YBR031W,18409
YBR033W,0
YBR034C,1637
YBR035C,1284
YBR036C,1335
YBR037C,356
YBR038W,880
YBR039W,2672
YBR041W,1005
YBR042C,611
YBR043C,310
YBR044C,132
YBR046C,225
YBR047W,103
YBR048W,75040
YBR049C,308
YBR050C,0
YBR051W,53
YBR052C,1145
YBR053C,456
YBR054W,3199
YBR055C,194
YBR056C-B,0
YBR056W,402
YBR056W-A,664
YBR057C,332
YBR058C,437
YBR058C-A,5271
YBR059C,556
YBR060C,181
YBR061C,422
YBR062C,220
YBR065C,360
YBR066C,179
YBR067C,4645
YBR068C,2677
YBR069C,2299
YBR070C,794
YBR071W,608
YBR072W,96
YBR073W,589
YBR074W,1253
YBR076C-A,69
YBR077C,866
YBR078W,13912
YBR079C,552
YBR080C,996
YBR081C,169
YBR082C,5874
YBR083W,266
YBR084C-A,33572
YBR084W,1392
YBR085C-A,3971
YBR085W,190
YBR086C,2420
YBR087W,422
YBR088C,1476
YBR089C-A,2215
YBR091C,1085
YBR092C,1176
YBR093C,716
YBR094W,215
YBR095C,186
YBR096W,1527
YBR097W,214
YBR098W,58
YBR101C,318
YBR102C,153
YBR103C-A,0
YBR103W,104
YBR104W,733
YBR105C,405
YBR106W,6225
YBR107C,101
YBR108W,78
YBR109C,9254
YBR110W,1097
YBR111C,2267
YBR111W-A,686
YBR112C,209
YBR114W,137
YBR115C,809
YBR116C,0
YBR117C,23
YBR118W,98518
YBR119W,90
YBR120C,609
YBR121C,5711
YBR122C,902
YBR123C,90
YBR124W,0
YBR125C,573
YBR126C,1141
YBR126W-A,4356
YBR127C,6283
YBR128C,16
YBR129C,186
YBR130C,354
YBR131W,109
YBR132C,96
YBR133C,521
YBR135W,938
YBR136W,134
YBR137W,1159
YBR138C,82
YBR139W,1346
YBR140C,456
YBR141C,162
YBR141W-A,84
YBR142W,376
YBR143C,2106
YBR145W,232
YBR146W,1228
YBR147W,0
YBR149W,1212
YBR150C,67
YBR151W,1077
YBR152W,27
YBR153W,261
YBR154C,2656
YBR155W,575
YBR156C,36
YBR157C,521
YBR158W,1180
YBR159W,2501
YBR160W,440
YBR161W,266
YBR162C,5372
YBR162W-A,6145
YBR163W,332
YBR164C,2560
YBR165W,284
YBR166C,692
YBR167C,604
YBR168W,215
YBR169C,102
YBR170C,389
YBR171W,1023
YBR172C,269
YBR173C,1685
YBR175W,314
YBR176W,144
YBR177C,856
YBR178W,0
