GeneID,dcp2.1
YAL001C,445
YAL002W,391
YAL003W,21355
YAL005C,9224
YAL007C,3310
YAL008W,760
YAL009W,369
YAL010C,273
YAL011W,162
YAL012W,20684
YAL013W,313
YAL014C,1779
YAL015C,276
YAL016C-A,0
YAL016W,2462
YAL017W,469
YAL018C,85
YAL019W,1014
YAL020C,963
YAL021C,562
YAL022C,685
YAL023C,485
YAL024C,244
YAL025C,1610
YAL026C,674
YAL027W,456
YAL028W,231
YAL029C,805
YAL030W,788
YAL031C,779
YAL032C,168
YAL033W,1195
YAL034C,548
YAL034W-A,297
YAL035W,2126
YAL036C,2016
YAL037W,105
YAL038W,37150
YAL039C,720
YAL040C,7501
YAL041W,368
YAL042W,3448
YAL043C,200
YAL044C,2046
YAL044W-A,5730
YAL045C,75
YAL046C,366
YAL047C,208
YAL048C,505
YAL049C,953
YAL051W,279
YAL053W,2960
YAL054C,65
YAL055W,190
YAL056W,318
YAL058W,202
YAL059C-A,0
YAL059W,1656
YAL060W,1519
YAL061W,127
YAL062W,235
YAL063C,0
YAL063C-A,727
YAL064W-B,227
YAL066W,0
YAL067C,38
YAR002C-A,3574
YAR002W,517
YAR003W,292
YAR007C,402
YAR008W,550
YAR014C,1128
YAR015W,1717
YAR018C,291
YAR019C,73
YAR019W-A,0
YAR020C,87
YAR023C,377
YAR027W,805
YAR028W,629
YAR029W,0
YAR030C,32
YAR033W,758
YAR035W,0
YAR042W,410
YAR075W,53
YBL001C,1917
YBL002W,10010
YBL003C,8398
YBL004W,1059
YBL005W,190
YBL005W-A,306
YBL006C,3222
YBL006W-A,26
YBL007C,1728
YBL008W,304
YBL009W,106
YBL010C,534
YBL011W,679
YBL013W,50
YBL014C,281
YBL015W,439
YBL016W,936
YBL017C,879
YBL018C,1550
YBL019W,99
YBL020W,826
YBL021C,578
YBL022C,582
YBL023C,274
YBL024W,1308
YBL025W,551
YBL026W,818
YBL027W,33225
YBL028C,3055
YBL029C-A,1854
YBL029W,106
YBL030C,19184
YBL031W,84
YBL032W,521
YBL033C,626
YBL034C,314
YBL035C,248
