GeneID,xrn1.2
YAL001C,344
YAL002W,323
YAL003W,35413
YAL005C,11265
YAL007C,4280
YAL008W,794
YAL009W,373
YAL010C,242
YAL011W,142
YAL012W,16371
YAL013W,306
YAL014C,1524
YAL015C,220
YAL016C-A,0
YAL016W,3597
YAL017W,389
YAL018C,29
YAL019W,1239
YAL020C,771
YAL021C,628
YAL022C,627
YAL023C,406
YAL024C,328
YAL025C,1835
YAL026C,815
YAL027W,409
YAL028W,144
YAL029C,791
YAL030W,813
YAL031C,646
YAL032C,188
YAL033W,2005
YAL034C,394
YAL034W-A,324
YAL035W,3918
YAL036C,2822
YAL037W,125
YAL038W,67711
YAL039C,684
YAL040C,4831
YAL041W,499
YAL042W,3909
YAL043C,324
YAL044C,3296
YAL044W-A,4371
YAL045C,0
YAL046C,523
YAL047C,187
YAL048C,374
YAL049C,1295
YAL051W,233
YAL053W,1902
YAL054C,0
YAL055W,135
YAL056W,413
YAL058W,231
YAL059C-A,0
YAL059W,1810
YAL060W,1288
YAL061W,49
YAL062W,192
YAL063C,0
YAL063C-A,292
YAL064W-B,77
YAL066W,0
YAL067C,98
YAR002C-A,4899
YAR002W,481
YAR003W,797
YAR007C,432
YAR008W,536
YAR014C,1380
YAR015W,3304
YAR018C,312
YAR019C,61
YAR019W-A,0
YAR020C,0
YAR023C,234
YAR027W,568
YAR028W,669
YAR029W,0
YAR030C,0
YAR033W,459
YAR035W,0
YAR042W,332
YAR075W,0
YBL001C,1769
YBL002W,10261
YBL003C,8968
YBL004W,1126
YBL005W,188
YBL005W-A,158
YBL006C,2895
YBL006W-A,0
YBL007C,1962
YBL008W,438
YBL009W,138
YBL010C,343
YBL011W,652
YBL013W,40
YBL014C,347
YBL015W,436
YBL016W,615
YBL017C,657
YBL018C,1520
YBL019W,115
YBL020W,1550
YBL021C,485
YBL022C,1016
YBL023C,319
YBL024W,2132
YBL025W,699
YBL026W,1068
YBL027W,55396
YBL028C,3407
YBL029C-A,1678
YBL029W,195
YBL030C,22998
YBL031W,94
YBL032W,727
YBL033C,491
YBL034C,393
YBL035C,298
YBL036C,609
YBL037W,365
YBL038W,649
YBL039C,3340
YBL039W-B,570
YBL040C,5829
YBL041W,3987
YBL042C,2930
YBL043W,172
YBL045C,4190
YBL046W,233
YBL047C,1510
YBL049W,65
YBL050W,2339
YBL051C,1872
YBL052C,362
YBL054W,337
YBL055C,325
YBL056W,1437
YBL057C,1176
YBL058W,1548
YBL059C-A,2567
YBL060W,232
YBL061C,538
YBL063W,282
YBL064C,3000
YBL066C,470
YBL067C,1158
YBL068W,2427
YBL069W,710
YBL071W-A,2585
YBL072C,32910
YBL074C,204
YBL075C,21
YBL076C,3803
YBL078C,558
YBL079W,1527
YBL080C,206
YBL081W,1602
YBL082C,1710
YBL084C,250
YBL085W,857
YBL086C,49
YBL087C,8752
YBL088C,310
YBL089W,671
YBL090W,2589
YBL091C,1053
YBL091C-A,837
YBL092W,58763
YBL093C,1007
YBL094C,0
YBL095W,285
YBL097W,89
YBL098W,250
YBL099W,4237
YBL100W-A,24
YBL101C,515
YBL102W,411
YBL103C,494
YBL104C,135
YBL105C,1135
YBL106C,0
YBL107C,1563
YBR001C,274
YBR002C,799
YBR003W,2136
YBR004C,1187
YBR005W,1208
YBR006W,240
YBR007C,203
YBR008C,653
YBR009C,11010
YBR010W,3867
YBR011C,13589
YBR014C,1094
YBR015C,4081
YBR016W,1804
YBR017C,1172
YBR018C,0
YBR021W,273
YBR022W,976
YBR023C,2609
YBR024W,153
YBR025C,6689
YBR026C,1165
YBR028C,963
YBR029C,647
YBR030W,769
YBR031W,17519
YBR033W,0
YBR034C,2524
YBR035C,1917
YBR036C,2000
YBR037C,729
YBR038W,1097
YBR039W,4129
YBR041W,946
YBR042C,816
YBR043C,1239
YBR044C,242
YBR046C,368
YBR047W,147
YBR048W,59615
YBR049C,516
YBR050C,0
YBR051W,34
YBR052C,1471
YBR053C,1280
YBR054W,2835
YBR055C,540
YBR056C-B,33
YBR056W,520
YBR056W-A,960
YBR057C,746
YBR058C,812
YBR058C-A,5702
YBR059C,871
YBR060C,242
YBR061C,571
YBR062C,307
YBR065C,1079
YBR066C,187
YBR067C,6751
YBR068C,2876
YBR069C,2930
YBR070C,1309
YBR071W,1541
YBR072W,345
YBR073W,1055
YBR074W,1410
YBR076C-A,28
YBR077C,1693
YBR078W,14534
YBR079C,859
YBR080C,1377
YBR081C,407
YBR082C,7526
YBR083W,529
YBR084C-A,45194
YBR084W,2360
YBR085C-A,7729
YBR085W,204
YBR086C,1934
YBR087W,879
YBR088C,2463
YBR089C-A,2495
YBR091C,1589
YBR092C,1660
YBR093C,375
YBR094W,307
YBR095C,358
YBR096W,1506
YBR097W,340
YBR098W,204
YBR101C,316
YBR102C,340
YBR103C-A,0
YBR103W,133
YBR104W,1012
YBR105C,832
YBR106W,6564
YBR107C,446
YBR108W,127
YBR109C,15712
YBR110W,1885
YBR111C,2922
YBR111W-A,1035
YBR112C,333
YBR114W,224
YBR115C,1162
YBR116C,0
YBR117C,72
YBR118W,143935
YBR119W,203
YBR120C,833
YBR121C,7100
YBR122C,2068
YBR123C,101
YBR124W,0
YBR125C,928
YBR126C,1451
YBR126W-A,2457
YBR127C,7472
YBR128C,51
YBR129C,364
YBR130C,797
YBR131W,102
YBR132C,180
YBR133C,830
YBR135W,1399
YBR136W,238
YBR137W,1502
YBR138C,253
YBR139W,2491
YBR140C,588
YBR141C,214
YBR141W-A,321
YBR142W,604
YBR143C,2848
YBR145W,485
YBR146W,2215
YBR147W,73
YBR149W,2475
YBR150C,141
YBR151W,1117
YBR152W,43
YBR153W,509
YBR154C,2569
YBR155W,495
YBR156C,92
YBR157C,470
YBR158W,1234
YBR159W,3279
YBR160W,744
YBR161W,332
YBR162C,3909
YBR162W-A,6132
YBR163W,736
YBR164C,3349
YBR165W,556
YBR166C,1138
YBR167C,1216
YBR168W,434
YBR169C,49
YBR170C,944
YBR171W,1041
YBR172C,364
YBR173C,3000
YBR175W,746
YBR176W,217
YBR177C,1225
YBR178W,0
YBR179C,316
YBR181C,83841
YBR182C,127
YBR182C-A,23
YBR183W,960
YBR184W,27
YBR185C,667
YBR187W,3690
YBR188C,776
YBR189W,35355
YBR191W,51073
YBR191W-A,101
YBR192W,311
YBR193C,1215
YBR194W,429
YBR195C,271
YBR196C,21174
YBR196C-A,0
YBR196C-B,0
YBR197C,1358
YBR198C,622
YBR199W,1320
YBR200W,404
YBR201C-A,32
YBR201W,315
YBR202W,517
YBR203W,183
YBR204C,188
YBR205W,1778
YBR207W,749
YBR208C,1153
YBR210W,1398
YBR211C,416
YBR212W,259
YBR213W,163
YBR214W,640
YBR215W,319
YBR216C,169
YBR217W,636
YBR218C,740
YBR220C,241
YBR221C,12676
YBR222C,814
YBR223C,154
YBR225W,150
YBR227C,228
YBR228W,252
YBR229C,1481
YBR230C,2960
YBR230W-A,252
YBR231C,217
YBR233W,80
YBR233W-A,842
YBR234C,1973
YBR235W,1065
YBR236C,297
YBR237W,432
YBR238C,1820
YBR239C,198
YBR240C,54
YBR241C,321
YBR242W,821
YBR243C,212
YBR244W,590
YBR246W,1044
YBR247C,655
YBR248C,960
YBR249C,6724
YBR250W,0
YBR251W,660
YBR252W,6077
YBR253W,1337
YBR254C,1071
YBR255C-A,1578
YBR255W,293
YBR256C,2638
YBR257W,357
YBR258C,469
YBR259W,196
YBR260C,531
YBR261C,921
YBR262C,1701
YBR263W,1736
YBR264C,887
YBR265W,777
YBR267W,437
YBR268W,1737
YBR269C,1396
YBR270C,106
YBR271W,413
YBR272C,951
YBR273C,686
YBR274W,314
YBR275C,287
YBR276C,531
YBR277C,0
YBR278W,484
YBR279W,556
YBR280C,69
YBR281C,753
YBR282W,652
YBR283C,1363
YBR284W,125
YBR285W,0
YBR286W,749
YBR287W,5638
YBR288C,707
YBR289W,104
YBR290W,984
YBR291C,1017
YBR292C,569
YBR293W,213
YBR295W,373
YBR296C,25
YBR296C-A,0
YBR297W,502
YBR298C,429
YBR299W,0
YBR300C,0
YCL001W,4233
YCL002C,1619
YCL004W,253
YCL005W,966
YCL005W-A,6221
YCL007C,41
YCL008C,1427
YCL009C,12025
YCL010C,635
YCL011C,912
YCL012C,1286
YCL014W,319
YCL016C,208
YCL017C,2622
YCL018W,614
YCL019W,266
YCL020W,0
YCL021W-A,0
YCL024W,318
YCL025C,1091
YCL026C-A,22
YCL026C-B,140
YCL027W,0
YCL028W,1354
YCL029C,553
YCL030C,972
YCL031C,3253
YCL032W,531
YCL033C,1435
YCL034W,626
YCL035C,7091
YCL036W,342
YCL037C,4324
YCL038C,294
YCL039W,362
YCL040W,1523
YCL042W,149
YCL043C,15623
YCL044C,860
YCL045C,849
YCL047C,548
YCL048W-A,112
YCL049C,1038
YCL050C,4474
YCL051W,590
YCL052C,689
YCL054W,880
YCL054W-A,2818
YCL055W,243
YCL056C,985
YCL057C-A,2685
YCL057W,1825
YCL058W-A,1136
YCL059C,811
YCL061C,141
YCL063W,364
YCL064C,2289
YCR002C,1024
YCR003W,1824
YCR004C,1918
YCR005C,306
YCR006C,173
YCR007C,136
YCR008W,2049
YCR009C,2458
YCR011C,356
YCR012W,226746
YCR014C,0
YCR015C,958
YCR016W,635
YCR017C,1925
YCR018C-A,66
YCR019W,455
YCR020C,0
YCR020C-A,1519
YCR020W-B,4168
YCR021C,61
YCR022C,0
YCR023C,1565
YCR024C,256
YCR024C-A,4847
YCR024C-B,72
YCR025C,0
YCR026C,273
YCR027C,751
YCR028C,1613
YCR028C-A,8469
YCR030C,1226
YCR031C,43385
YCR032W,298
YCR033W,490
YCR034W,2786
YCR035C,1217
YCR036W,1107
YCR037C,840
YCR042C,591
YCR043C,9331
YCR044C,4800
YCR045W-A,244
YCR046C,3694
YCR047C,594
YCR047W-A,0
YCR048W,783
YCR050C,0
YCR051W,2573
YCR052W,470
YCR053W,5202
YCR054C,524
YCR057C,1447
YCR059C,1579
YCR060W,1462
YCR061W,309
YCR063W,458
YCR064C,0
YCR065W,201
YCR066W,126
YCR067C,1048
YCR068W,1149
YCR069W,1429
YCR071C,649
YCR072C,287
YCR073C,257
YCR073W-A,1479
YCR075C,1489
YCR075W-A,711
YCR076C,625
YCR077C,1342
YCR079W,408
YCR081C-A,0
YCR081W,446
YCR082W,3637
YCR083W,749
YCR084C,1404
YCR085W,0
YCR086W,207
YCR087C-A,2169
YCR087W,0
YCR088W,701
YCR089W,234
YCR090C,2396
YCR091W,114
YCR092C,250
YCR093W,1989
YCR094W,1122
YCR095C,638
YCR095W-A,140
YCR096C,35
YCR097W,769
YCR097W-A,0
YCR098C,580
YCR101C,563
YCR102C,0
YCR102W-A,0
YCR106W,380
YCR107W,0
YDL001W,109
YDL002C,972
YDL003W,446
YDL004W,12939
YDL005C,697
YDL006W,667
YDL007W,1773
YDL008W,1967
YDL009C,208
YDL010W,834
YDL012C,1240
YDL013W,396
YDL014W,2439
YDL015C,4662
YDL017W,226
YDL018C,1290
YDL019C,494
YDL020C,1572
YDL021W,0
YDL022W,1238
YDL024C,0
YDL025C,324
YDL025W-A,0
YDL026W,33
YDL027C,458
YDL028C,147
YDL029W,1300
YDL030W,209
YDL031W,162
YDL033C,347
YDL035C,58
YDL036C,392
YDL037C,106
YDL040C,2190
YDL042C,209
YDL043C,720
YDL044C,204
YDL045C,447
YDL045W-A,3254
YDL046W,9870
YDL047W,1064
YDL048C,1559
YDL049C,35
YDL051W,3132
YDL052C,4543
YDL053C,949
YDL054C,361
YDL055C,22177
YDL056W,177
YDL057W,69
YDL058W,559
YDL059C,125
YDL060W,502
YDL061C,35523
YDL063C,830
YDL064W,1486
YDL065C,411
YDL066W,8128
YDL067C,3389
YDL069C,715
YDL070W,1375
YDL072C,5293
YDL073W,526
YDL074C,1830
YDL075W,40550
YDL076C,705
YDL077C,319
YDL078C,2007
YDL079C,86
YDL080C,327
YDL081C,56479
YDL082W,31967
YDL083C,107262
YDL084W,4065
YDL085C-A,720
YDL085W,0
YDL086C-A,63
YDL086W,2733
YDL087C,368
YDL088C,353
YDL089W,299
YDL090C,412
YDL091C,424
YDL092W,2173
YDL093W,91
YDL094C,0
YDL095W,554
YDL097C,1533
YDL098C,619
YDL099W,912
YDL100C,6665
YDL101C,377
YDL102W,439
YDL103C,1022
YDL104C,102
YDL105W,60
YDL106C,315
YDL107W,180
YDL108W,789
YDL109C,81
YDL110C,531
YDL111C,3874
YDL112W,290
YDL113C,584
YDL114W-A,42
YDL115C,769
YDL116W,605
YDL117W,676
YDL119C,223
YDL120W,891
YDL121C,4913
YDL122W,1062
YDL123W,2276
YDL124W,4942
YDL125C,15409
YDL126C,1993
YDL127W,244
YDL128W,2117
YDL129W,204
YDL130W,29710
YDL130W-A,1634
YDL131W,1133
YDL132W,493
YDL133C-A,13326
YDL133W,487
YDL134C,3285
YDL135C,2238
YDL136W,46671
YDL137W,9371
YDL138W,201
YDL139C,120
YDL140C,2200
YDL141W,702
YDL142C,567
YDL143W,3285
YDL144C,985
YDL145C,1889
YDL146W,98
YDL147W,4733
YDL148C,764
YDL149W,84
YDL150W,552
YDL153C,1126
YDL155W,562
YDL156W,42
YDL157C,3142
YDL159W,236
YDL159W-A,0
YDL160C,1394
YDL160C-A,526
YDL161W,1782
YDL164C,391
YDL165W,722
YDL166C,437
YDL167C,1292
YDL168W,915
YDL169C,87
YDL170W,433
YDL171C,1105
YDL173W,340
YDL174C,1549
YDL175C,283
YDL176W,284
YDL177C,397
YDL178W,615
YDL179W,429
YDL180W,145
YDL181W,6507
YDL182W,908
YDL183C,79
YDL184C,20094
YDL185W,1389
YDL187C,174
YDL188C,1878
YDL189W,193
YDL190C,686
YDL191W,95021
YDL192W,23255
YDL193W,886
YDL194W,113
YDL195W,2145
YDL196W,26
YDL197C,414
YDL198C,3555
YDL199C,70
YDL200C,426
YDL201W,984
YDL202W,873
YDL203C,177
YDL204W,884
YDL205C,1772
YDL206W,154
YDL207W,750
YDL208W,9808
YDL209C,201
YDL210W,0
YDL211C,173
YDL212W,13907
YDL213C,1849
YDL215C,152
YDL216C,162
YDL217C,298
YDL218W,0
YDL219W,2164
YDL220C,365
YDL221W,0
YDL222C,74
YDL223C,0
YDL224C,1718
YDL225W,499
YDL226C,842
YDL227C,316
YDL229W,29640
YDL230W,359
YDL231C,2117
YDL232W,1957
YDL233W,164
YDL234C,214
YDL235C,5662
YDL236W,1135
YDL237W,859
YDL238C,245
YDL240W,188
YDL241W,204
YDL243C,212
YDR001C,1094
YDR002W,8313
YDR003W,1322
YDR003W-A,83
YDR004W,493
YDR005C,636
YDR006C,742
YDR007W,619
YDR008C,0
YDR009W,35
YDR011W,871
YDR012W,22669
YDR013W,728
YDR014W,319
YDR014W-A,0
YDR016C,707
YDR017C,229
YDR018C,89
YDR019C,1675
YDR020C,649
YDR021W,150
YDR022C,655
YDR023W,4952
YDR025W,38032
YDR026C,495
YDR027C,247
YDR028C,1526
