Geneid,WT_1
YAL012W,17519
YAL069W,0
YAL068W-A,0
YAL068C,80
YAL067W-A,0
YAL067C,289
YAL066W,2
YAL065C,49
YAL064W-B,120
YAL064C-A,26
YAL064W,15
YAL063C-A,49
YAL063C,374
YAL062W,205
YAL061W,299
YAL060W,2026
YAL059C-A,9
YAL059W,1478
YAL058W,1133
YAL056C-A,4
YAL056W,2161
YAL055W,221
YAL054C,499
YAL053W,7640
YAL051W,1568
YAL049C,1927
YAL048C,865
YAL047W-A,8
YAL047C,555
YAL046C,603
YAL045C,3
YAL044W-A,840
YAL044C,1987
YAL043C,2800
YAL042C-A,10
YAL042W,6664
YAL041W,2906
YAL040C,8890
YAL039C,1297
YAL038W,56360
YAL037C-B,18
YAL037C-A,0
YAL037W,132
YAL036C,2647
YAL035W,8690
YAL034C-B,4
YAL034W-A,460
YAL034C,1100
YAL033W,1079
YAL032C,613
YAL031W-A,8
YAL031C,942
YAL030W,1272
YAL029C,5290
YAL028W,306
YAL027W,342
YAL026C-A,608
YAL026C,4988
YAL025C,2330
YAL024C,2071
YAL023C,14308
YAL022C,3212
YAL021C,7935
YAL020C,1149
YAL019W-A,24
YAL019W,4280
YAL018C,11
YAL017W,3443
YAL016C-B,2
YAL016C-A,17
YAL016W,3525
YAL015C,710
YAL014C,1223
YAL013W,949
YAL011W,536
YAL010C,760
YAL009W,746
YAL008W,649
YAL007C,3311
YAL005C,13874
YAL004W,4
YAL003W,11901
YAL002W,2032
YAL001C,1585
YAR002W,2084
YAR002C-A,5236
YAR003W,989
YAR007C,2185
YAR008W,592
YAR009C,5060
YAR010C,493
YAR014C,2951
YAR015W,1254
YAR018C,811
YAR019C,1362
YAR019W-A,32
YAR020C,49
YAR023C,101
YAR027W,1192
YAR028W,864
YAR029W,121
YAR030C,53
YAR031W,498
YAR033W,455
YAR035W,306
YAR035C-A,1
YAR042W,3405
YAR047C,10
YAR050W,358
YAR053W,4
YAR060C,0
YAR064W,0
YAR066W,121
YAR068W,491
YAR069C,14
YAR070C,19
YAR071W,614
YAR073W,223
YAR075W,20
Q0010,24
Q0017,7
Q0032,0
Q0045,13225
Q0070,10792
Q0065,9176
Q0060,4353
Q0055,10214
Q0050,10990
Q0075,262
Q0080,15
Q0085,36
Q0092,0
Q0105,4925
Q0120,4826
Q0115,3242
Q0110,2727
Q0130,3365
Q0140,75
Q0142,3
Q0143,1
Q0144,2
Q0160,367
Q0182,187
Q0250,2966
Q0255,312
Q0275,5799
Q0297,1254
YER054C,142
YER114C,3980
YER169W,2077
YEL077C,923
YEL077W-A,29
YEL076C-A,16
YEL076C,74
YEL075W-A,181
YEL075C,11
YEL074W,80
YEL073C,79
YEL072W,246
YEL071W,7125
YEL070W,44
YEL069C,3
YEL068C,417
YEL067C,136
YEL066W,570
YEL065W,2475
YEL064C,862
YEL063C,4062
YEL062W,835
YEL061C,1453
YEL060C,3768
YEL059C-A,523
YEL059W,15
YEL058W,4572
YEL057C,109
YEL056W,1495
YEL055C,5794
YEL054C,8142
YEL053W-A,9
YEL053C,2166
YEL052W,1978
YEL051W,3577
YEL050W-A,0
YEL050C,2235
YEL049W,17
YEL048C,217
YEL047C,2933
YEL046C,12189
YEL045C,1140
YEL044W,855
YEL043W,3371
YEL042W,8208
YEL041W,177
YEL040W,13648
