Geneid,dcp2_2
YAL012W,16685
YAL069W,2
YAL068W-A,1
YAL068C,130
YAL067W-A,0
YAL067C,265
YAL066W,7
YAL065C,186
YAL064W-B,330
YAL064C-A,87
YAL064W,44
YAL063C-A,151
YAL063C,1668
YAL062W,334
YAL061W,1429
YAL060W,4198
YAL059C-A,21
YAL059W,1587
YAL058W,1339
YAL056C-A,20
YAL056W,2458
YAL055W,315
YAL054C,1155
YAL053W,12779
YAL051W,2302
YAL049C,2345
YAL048C,2005
YAL047W-A,25
YAL047C,791
YAL046C,655
YAL045C,5
YAL044W-A,1395
YAL044C,2741
YAL043C,3658
YAL042C-A,21
YAL042W,6382
YAL041W,3273
YAL040C,13488
YAL039C,1595
YAL038W,42617
YAL037C-B,7
YAL037C-A,2
YAL037W,290
YAL036C,2651
YAL035W,7094
YAL034C-B,5
YAL034W-A,501
YAL034C,2568
YAL033W,1127
YAL032C,750
YAL031W-A,23
YAL031C,1434
YAL030W,1264
YAL029C,5569
YAL028W,1166
YAL027W,518
YAL026C-A,475
YAL026C,4302
YAL025C,2818
YAL024C,1480
YAL023C,10339
YAL022C,4616
YAL021C,7095
YAL020C,2059
YAL019W-A,40
YAL019W,4748
YAL018C,23
YAL017W,5518
YAL016C-B,0
YAL016C-A,17
YAL016W,3947
YAL015C,1038
YAL014C,2734
YAL013W,1047
YAL011W,527
YAL010C,1330
YAL009W,962
YAL008W,747
YAL007C,2787
YAL005C,16207
YAL004W,6
YAL003W,8596
YAL002W,3547
YAL001C,2224
YAR002W,2853
YAR002C-A,4698
YAR003W,1331
YAR007C,2530
YAR008W,908
YAR009C,3706
YAR010C,346
YAR014C,3920
YAR015W,2399
YAR018C,1305
YAR019C,2048
YAR019W-A,124
YAR020C,215
YAR023C,412
YAR027W,2102
YAR028W,985
YAR029W,195
YAR030C,157
YAR031W,535
YAR033W,869
YAR035W,759
YAR035C-A,2
YAR042W,4257
YAR047C,8
YAR050W,1439
YAR053W,30
YAR060C,2
YAR064W,5
YAR066W,140
YAR068W,605
YAR069C,12
YAR070C,6
YAR071W,121
YAR073W,186
YAR075W,32
Q0010,40
Q0017,20
Q0032,0
Q0045,12355
Q0070,9938
Q0065,8787
Q0060,4406
Q0055,10248
Q0050,12977
Q0075,354
Q0080,13
Q0085,161
Q0092,0
Q0105,5103
Q0120,5127
Q0115,3321
Q0110,3071
Q0130,3825
Q0140,88
Q0142,3
Q0143,0
Q0144,3
Q0160,663
Q0182,151
Q0250,3543
Q0255,384
Q0275,7294
Q0297,1372
YER054C,1134
YER114C,3375
YER169W,2215
YEL077C,2172
YEL077W-A,74
YEL076C-A,50
YEL076C,150
YEL075W-A,381
YEL075C,22
YEL074W,247
YEL073C,608
YEL072W,1104
YEL071W,6844
YEL070W,295
YEL069C,24
YEL068C,588
YEL067C,369
YEL066W,690
YEL065W,6850
YEL064C,1445
YEL063C,10108
YEL062W,1461
YEL061C,1436
YEL060C,7294
YEL059C-A,696
YEL059W,32
YEL058W,5711
YEL057C,183
YEL056W,1904
YEL055C,4606
YEL054C,6591
YEL053W-A,7
YEL053C,2760
YEL052W,2856
YEL051W,2531
YEL050W-A,2
YEL050C,2237
YEL049W,269
YEL048C,534
YEL047C,3030
YEL046C,15091
YEL045C,1466
YEL044W,1079
YEL043W,3516
YEL042W,5813
YEL041W,673
YEL040W,12692
YEL039C,1584
YEL038W,1475
YEL037C,3225
YEL036C,3404
YEL035C,5
YEL034C-A,18
YEL034W,18401
YEL033W,7114
YEL032W,4832
YEL032C-A,0
YEL031W,11652
YEL030C-A,27
YEL030W,1107
YEL029C,1466
YEL028W,671
YEL027W,6770
YEL026W,4227
YEL025C,3478
YEL024W,4912
YEL023C,1114
YEL022W,3981
YEL021W,1807
YEL020C-B,5
YEL020W-A,2197
YEL020C,1154
YEL019C,481
YEL018C-A,4
YEL018W,638
YEL017C-A,1699
YEL017W,2846
YEL016C,1736
YEL015W,3417
