Geneid,xrn1_2
YAL012W,18937
YAL069W,2
YAL068W-A,2
YAL068C,349
YAL067W-A,1
YAL067C,1272
YAL066W,17
YAL065C,268
YAL064W-B,512
YAL064C-A,103
YAL064W,228
YAL063C-A,270
YAL063C,2208
YAL062W,369
YAL061W,1653
YAL060W,9159
YAL059C-A,8
YAL059W,3892
YAL058W,3337
YAL056C-A,57
YAL056W,9479
YAL055W,870
YAL054C,1839
YAL053W,19037
YAL051W,7494
YAL049C,4559
YAL048C,5588
YAL047W-A,57
YAL047C,2499
YAL046C,1212
YAL045C,15
YAL044W-A,1868
YAL044C,5226
YAL043C,8338
YAL042C-A,10
YAL042W,10319
YAL041W,12942
YAL040C,25585
YAL039C,3989
YAL038W,58427
YAL037C-B,10
YAL037C-A,5
YAL037W,1148
YAL036C,6085
YAL035W,16276
YAL034C-B,9
YAL034W-A,2152
YAL034C,6120
YAL033W,2398
YAL032C,3635
YAL031W-A,25
YAL031C,5617
YAL030W,1951
YAL029C,14378
YAL028W,2272
YAL027W,1946
YAL026C-A,1112
YAL026C,10893
YAL025C,6432
YAL024C,9743
YAL023C,19852
YAL022C,8110
YAL021C,16192
YAL020C,3583
YAL019W-A,81
YAL019W,16084
YAL018C,40
YAL017W,13186
YAL016C-B,4
YAL016C-A,33
YAL016W,10956
YAL015C,2149
YAL014C,6449
YAL013W,3765
YAL011W,2202
YAL010C,3967
YAL009W,2539
YAL008W,1450
YAL007C,5709
YAL005C,21785
YAL004W,10
YAL003W,14027
YAL002W,8464
YAL001C,6264
YAR002W,6952
YAR002C-A,7478
YAR003W,5050
YAR007C,6127
YAR008W,2629
YAR009C,4393
YAR010C,220
YAR014C,12074
YAR015W,5466
YAR018C,3620
YAR019C,5751
YAR019W-A,267
YAR020C,561
YAR023C,1384
YAR027W,3626
YAR028W,2196
YAR029W,763
YAR030C,197
YAR031W,1271
YAR033W,1745
YAR035W,773
YAR035C-A,1
YAR042W,11057
YAR047C,2
YAR050W,1106
YAR053W,57
YAR060C,2
YAR064W,6
YAR066W,217
YAR068W,622
YAR069C,4
YAR070C,4
YAR071W,755
YAR073W,78
YAR075W,13
Q0010,20
Q0017,2
Q0032,1
Q0045,18036
Q0070,14791
Q0065,12733
Q0060,6315
Q0055,13021
Q0050,15328
Q0075,301
Q0080,9
Q0085,144
Q0092,1
Q0105,6879
Q0120,6961
Q0115,4498
Q0110,3880
Q0130,3206
Q0140,62
Q0142,0
Q0143,0
Q0144,2
Q0160,376
Q0182,101
Q0250,3867
Q0255,343
Q0275,6878
Q0297,864
YER054C,1356
YER114C,11337
YER169W,6737
YEL077C,4763
YEL077W-A,10
YEL076C-A,97
YEL076C,276
YEL075W-A,234
YEL075C,61
YEL074W,381
YEL073C,797
YEL072W,2793
YEL071W,12258
YEL070W,257
YEL069C,36
YEL068C,1467
YEL067C,843
YEL066W,1444
YEL065W,8512
YEL064C,4642
YEL063C,19888
YEL062W,5468
YEL061C,7692
YEL060C,8487
YEL059C-A,1140
YEL059W,51
YEL058W,9870
YEL057C,645
YEL056W,5403
YEL055C,13503
YEL054C,10780
YEL053W-A,7
YEL053C,7670
YEL052W,5773
YEL051W,4412
YEL050W-A,4
YEL050C,4998
YEL049W,232
