sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	condition	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	sample_ref1	sample_ref2	exp_group_1	exp_group_2
2025-01-14-MS241219L01_exp241025_MS69_SCD_1hr-arrest_Torin_polyA-RNA	MS241219L01_exp241025_MS69_SCD_1hr-arrest_Torin_polyA-RNA	MS69_SCD_1hr-arrest_Torin	MS69	WT	SCD	1hr-arrest	Torin	exp241025	WT_Torin	2025-01-14-MS241210L01_exp241025_MS69_SCD_1hr-arrest_Torin_gDNA	0.851995144			0.851995144	exp241025_MS69_1hr-Torin_G1-arrest.fcs	1.420873529	66.34	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	A	A
2025-01-14-MS241219L02_exp241025_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS241219L02_exp241025_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	MS69	WT	SCD	1hr-arrest	DMSO	exp241025	WT_DMSO	2025-01-14-MS241210L02_exp241025_MS69_SCD_1hr-arrest_DMSO_gDNA	0.884606202			0.884606202	exp241025_MS69_1hr-DMSO_G1-arrest.fcs	1.306024165	67.24	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	A
2025-01-14-MS241219L03_exp241025_MS69_SCD_4.75hr-arrest_Torin_polyA-RNA	MS241219L03_exp241025_MS69_SCD_4.75hr-arrest_Torin_polyA-RNA	MS69_SCD_4.75hr-arrest_Torin	MS69	WT	SCD	4.75hr-arrest	Torin	exp241025	WT_Torin	2025-01-14-MS241210L03_exp241025_MS69_SCD_4.75hr-arrest_Torin_gDNA	0.299649802			0.299649802	exp241025_MS69_4hr45m-Torin_G1-arrest.fcs	1.001783513	240.3	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	A	A
2025-01-14-MS241219L04_exp241025_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS241219L04_exp241025_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	MS69	WT	SCD	4.75hr-arrest	DMSO	exp241025	WT_DMSO	2025-01-14-MS241210L04_exp241025_MS69_SCD_4.75hr-arrest_DMSO_gDNA	0.31373272			0.31373272	exp241025_MS69_4hr45m-DMSO_G1-arrest.fcs	1.004088844	242.7	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	A
2025-01-14-MS241219L05_exp241002_MS69_SCD_1hr-arrest_Rapa_polyA-RNA	MS241219L05_exp241002_MS69_SCD_1hr-arrest_Rapa_polyA-RNA	MS69_SCD_1hr-arrest_Rapa	MS69	WT	SCD	1hr-arrest	Rapa	exp241002	WT_Rapa	2025-01-14-MS241210L05_exp241002_MS69_SCD_1hr-arrest_Rapa_gDNA	0.798164102			0.798164102	exp241002_MS69_1hr-Rapa_G1-arrest.fcs	1.23983372	66.40407	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Rapa	A	A
2025-01-14-MS241219L06_exp241002_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS241219L06_exp241002_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	MS69	WT	SCD	1hr-arrest	DMSO	exp241002	WT_DMSO	2025-01-14-MS241210L06_exp241002_MS69_SCD_1hr-arrest_DMSO_gDNA	0.72654178			0.72654178	exp241002_MS69_1hr-DMSO_G1-arrest.fcs	1.24896019	66.05176	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	A
2025-01-14-MS241219L07_exp241002_MS69_SCD_4.75hr-arrest_Rapa_polyA-RNA	MS241219L07_exp241002_MS69_SCD_4.75hr-arrest_Rapa_polyA-RNA	MS69_SCD_4.75hr-arrest_Rapa	MS69	WT	SCD	4.75hr-arrest	Rapa	exp241002	WT_Rapa	2025-01-14-MS241210L07_exp241002_MS69_SCD_4.75hr-arrest_Rapa_gDNA	0.250728084			0.250728084	exp241002_MS69_4hr45m-Rapa_G1-arrest.fcs	1.00118499	255.09529	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Rapa	A	A
2025-01-14-MS241219L08_exp241002_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS241219L08_exp241002_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	MS69	WT	SCD	4.75hr-arrest	DMSO	exp241002	WT_DMSO	2025-01-14-MS241210L08_exp241002_MS69_SCD_4.75hr-arrest_DMSO_gDNA	0.308205762			0.308205762	exp241002_MS69_4hr45m-DMSO_G1-arrest.fcs	1.00074858	265.60174	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	A
2025-01-14-MS241219L09_exp241010_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS241219L09_exp241010_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	MS756	AID-Bcy1	SCD	1hr-arrest	PhIAA	exp241010	AID-Bcy1_PhIAA	2025-01-14-MS241210L09_exp241010_MS756_SCD_1hr-arrest_PhIAA_gDNA	0.712244463			0.712244463	exp241010_MS756_1hr-phIAA_G1-arrest.fcs	1.204267945	66.91	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	A	B
2025-01-14-MS241219L10_exp241010_MS756_SCD_1hr-arrest_DMSO_polyA-RNA	MS241219L10_exp241010_MS756_SCD_1hr-arrest_DMSO_polyA-RNA	MS756_SCD_1hr-arrest_DMSO	MS756	AID-Bcy1	SCD	1hr-arrest	DMSO	exp241010	AID-Bcy1_DMSO	2025-01-14-MS241210L10_exp241010_MS756_SCD_1hr-arrest_DMSO_gDNA	0.71835053			0.71835053	exp241010_MS756_1hr-DMSO_G1-arrest.fcs	1.196641856	65.33	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	A	B
