sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	sample_ref1	sample_ref2	exp_group_1	exp_group_2
2025-02-23-MS250211L01_exp250206_MS791c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250211L01_exp250206_MS791c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS791_SCD_1hr-arrest_PhIAA	MS791c2	Hog1-AID	SCD	1hr-arrest	PhIAA	exp250206	2025-07-29-MS250704L37_exp250206_MS791_SCD_1hr-arrest_PhIAA_gDNA	0.765529422			0.765529422	DNA_content_analysis_AC250708_MS791c2_PhIAA_1hr_exp250206.fcs	1.454243119	65.9	FALSE	TRUE	MS791_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	A	A
2025-02-23-MS250211L02_exp250206_MS791c2_SCD_5hr30m-arrest_PhIAA_polyA-RNA	MS250211L02_exp250206_MS791c2_SCD_5hr30m-arrest_PhIAA_polyA-RNA	MS791_SCD_Large-G1arrest_PhIAA	MS791c2	Hog1-AID	SCD	5.5hr-arrest	PhIAA	exp250206	2025-07-29-MS250704L38_exp250206_MS791_SCD_5hr30m-arrest_PhIAA_gDNA	0.264594291			0.264594291	DNA_content_analysis_AC250708_MS791c2_PhIAA_5hr30min_exp250206.fcs	1.00012983	240.7	FALSE	FALSE	MS791_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	A	A
2025-02-23-MS250211L03_exp250206_MS791c2_SCD_1hr-arrest_DMSO_polyA-RNA	MS250211L03_exp250206_MS791c2_SCD_1hr-arrest_DMSO_polyA-RNA	MS791_SCD_1hr-arrest_DMSO	MS791c2	Hog1-AID	SCD	1hr-arrest	DMSO	exp250206	2025-07-29-MS250704L39_exp250206_MS791_SCD_1hr-arrest_DMSO_gDNA	0.748267333			0.748267333	DNA_content_analysis_AC250708_MS791c2_DMSO_1hr_exp250206.fcs	1.400248631	67.4	TRUE	TRUE	MS791_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_DMSO	A	A
2025-02-23-MS250211L04_exp250206_MS791c2_SCD_5hr30m-arrest_DMSO_polyA-RNA	MS250211L04_exp250206_MS791c2_SCD_5hr30m-arrest_DMSO_polyA-RNA	MS791_SCD_Large-G1arrest_PhIAA	MS791c2	Hog1-AID	SCD	5.5hr-arrest	DMSO	exp250206	2025-07-29-MS250704L40_exp250206_MS791_SCD_5hr30m-arrest_DMSO_gDNA	0.252046407			0.252046407	DNA_content_analysis_AC250708_MS791c2_DMSO_5hr30min_exp250206.fcs	1.00017794	244.6	FALSE	FALSE	MS791_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_DMSO	A	A
2025-02-23-MS250211L05_exp250206_MS793_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250211L05_exp250206_MS793_SCD_1hr-arrest_PhIAA_polyA-RNA	MS793_SCD_1hr-arrest_PhIAA	MS793	Pkc1-AID	SCD	1hr-arrest	PhIAA	exp250206	2025-07-29-MS250704L41_exp250206_MS793_SCD_1hr-arrest_PhIAA_gDNA	0.716249759			0.716249759	DNA_content_analysis_AC250708_MS793_PhIAA_1hr_exp250206.fcs	1.4528163	79.7	FALSE	TRUE	MS793_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	A	B
2025-02-23-MS250211L06_exp250206_MS793_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS250211L06_exp250206_MS793_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS793_SCD_4.65hr-arrest_PhIAA	MS793	Pkc1-AID	SCD	4.65hr-arrest	PhIAA	exp250206	2025-07-29-MS250704L42_exp250206_MS793_SCD_4hr35m-arrest_PhIAA_gDNA	0.267925823			0.267925823	DNA_content_analysis_AC250708_MS793_PhIAA_4hr35min_exp250206.fcs	1.000143419	250.6	FALSE	FALSE	MS793_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	A	B
2025-02-23-MS250211L07_exp250206_MS793_SCD_1hr-arrest_DMSO_polyA-RNA	MS250211L07_exp250206_MS793_SCD_1hr-arrest_DMSO_polyA-RNA	MS793_SCD_1hr-arrest_DMSO	MS793	Pkc1-AID	SCD	1hr-arrest	DMSO	exp250206	2025-07-29-MS250704L43_exp250206_MS793_SCD_1hr-arrest_DMSO_gDNA	0.849390967			0.849390967	DNA_content_analysis_AC250708_MS793_DMSO_1hr_exp250206.fcs	1.446751688	73.4	TRUE	TRUE	MS793_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	A	B
2025-02-23-MS250211L08_exp250206_MS793_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS250211L08_exp250206_MS793_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS793_SCD_4.65hr-arrest_DMSO	MS793	Pkc1-AID	SCD	4.65hr-arrest	DMSO	exp250206	2025-07-29-MS250704L44_exp250206_MS793_SCD_4hr35m-arrest_DMSO_gDNA	0.278591453			0.278591453	DNA_content_analysis_AC250708_MS793_DMSO_4hr35min_exp250206.fcs	1.000237655	265.1	FALSE	FALSE	MS793_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	A	B
2025-02-23-MS250211L09_exp250207_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250211L09_exp250207_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	MS756	AID-Bcy1	SCD	1hr-arrest	PhIAA	exp250207	2025-07-29-MS250704L45_exp250207_MS756_SCD_1hr-arrest_PhIAA_gDNA	0.633417201			0.633417201	DNA_content_analysis_AC250708_MS756c2_PhIAA_1hr_exp250207.fcs	1.327118838	66.5	FALSE	TRUE	MS756_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	A	C
2025-02-23-MS250211L10_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS250211L10_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_PhIAA	MS756c2	AID-Bcy1	SCD	4.75hr-arrest	PhIAA	exp250207	2025-07-29-MS250704L46_exp250207_MS756_SCD_4hr45m-arrest_PhIAA_gDNA	0.254181103			0.254181103	DNA_content_analysis_AC250708_MS756c2_PhIAA_4hr45min_exp250207.fcs	1.000105407	263.2	FALSE	FALSE	MS756_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	A	C
2025-02-23-MS250211L11_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA-4hr35m_polyA-RNA	MS250211L11_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA-4hr35m_polyA-RNA	MS756_SCD_Large-G1arrest_longPhIAA	MS756c2	AID-Bcy1	SCD	4.75hr-arrest	PhIAAlong	exp250207								271.8	FALSE	FALSE	MS756_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	A	C
2025-02-23-MS250211L12_exp250207_MS756c2_SCD_1hr-arrest-DMSO_polyA-RNA	MS250211L12_exp250207_MS756c2_SCD_1hr-arrest-DMSO_polyA-RNA	MS756_SCD_1hr-arrest_DMSO	MS756c2	AID-Bcy1	SCD	1hr-arrest	DMSO	exp250207	2025-07-29-MS250704L47_exp250207_MS756_SCD_1hr-arrest-DMSO_gDNA	0.678337245			0.678337245	DNA_content_analysis_AC250708_MS756c2_DMSO_1hr_exp250207.fcs	1.361991478	63.1	TRUE	TRUE	MS756_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	A	C
2025-02-23-MS250211L13_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS250211L13_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS756_SCD_Large-G1arrest_DMSO	MS756c2	AID-Bcy1	SCD	4.75hr-arrest	DMSO	exp250207	2025-07-29-MS250704L48_exp250207_MS756_SCD_4hr45m-arrest_DMSO_gDNA	0.227268458			0.227268458	DNA_content_analysis_AC250708_MS756c2_DMSO_4hr45min_exp250207.fcs	1.000346768	263.2	FALSE	FALSE	MS756_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	A	C
2025-02-23-MS250211L14_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO-4hr35m_polyA-RNA	MS250211L14_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO-4hr35m_polyA-RNA	MS756_SCD_Large-G1arrest_longDMSO	MS756c2	AID-Bcy1	SCD	4.75hr-arrest	DMSOlong	exp250207								259.8	FALSE	FALSE	MS756_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	A	C
