sample	sample_short	sample_id	experiment	strain	condition	experiment_strain_condition	timepoint	time	fraction
2025-07-29-MS250627L01_exp250624_MS1039_SCGEuri_1.5hr-arrest_no-EU_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	Tbackground	NA	input
2025-07-29-MS250627L02_exp250624_MS1039_SCGEuri_1.5hr-arrest_04min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T1	4	input
2025-07-29-MS250627L03_exp250624_MS1039_SCGEuri_1.5hr-arrest_07min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T2	7	input
2025-07-29-MS250627L04_exp250624_MS1039_SCGEuri_1.5hr-arrest_10min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T3	10	input
2025-07-29-MS250627L05_exp250624_MS1039_SCGEuri_1.5hr-arrest_13min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T4	13	input
2025-07-29-MS250627L06_exp250624_MS1039_SCGEuri_1.5hr-arrest_18min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T5	18	input
2025-07-29-MS250627L07_exp250624_MS1039_SCGEuri_1.5hr-arrest_28min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T6	28	input
2025-07-29-MS250627L08_exp250624_MS1039_SCGEuri_1.5hr-arrest_44min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T7	44	input
2025-07-29-MS250627L09_exp250624_MS1039_SCGEuri_7.5hr-arrest_no-EU_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	Tbackground	NA	input
2025-07-29-MS250627L10_exp250624_MS1039_SCGEuri_7.5hr-arrest_04min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T1	4	input
2025-07-29-MS250627L11_exp250624_MS1039_SCGEuri_7.5hr-arrest_07min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T2	7	input
2025-07-29-MS250627L12_exp250624_MS1039_SCGEuri_7.5hr-arrest_10min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T3	10	input
