sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-08-28-MS250806L01_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_no-EU_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_no-EU_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_no-EU	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	Tbackground	NA	input
2025-08-28-MS250806L02_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_04min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_04min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_04min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T1	4	input
2025-08-28-MS250806L03_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_07min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_07min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_07min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T2	7	input
2025-08-28-MS250806L04_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_10min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_10min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_10min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T3	10	input
2025-08-28-MS250806L05_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_13min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_13min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_13min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T4	13	input
2025-08-28-MS250806L06_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_18min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_18min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_18min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T5	18	input
2025-08-28-MS250806L07_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_28min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_28min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_28min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T6	28	input
2025-08-28-MS250806L08_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_44min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_44min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_44min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T7	44	input
2025-08-28-MS250806L09_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_no-EU_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_no-EU_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_no-EU	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	Tbackground	NA	input
2025-08-28-MS250806L10_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_04min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_04min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_04min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T1	4	input
