sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio_C_file_name	DNA_ratio_C	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	ref3	sample_ref1	sample_ref2	sample_ref3	exp_group_1	exp_group_2
2026-01-03-AC251128L01_exp251111_MS756c2_SCD_1hr-arrest_polyA-RNA	exp251111_MS756c2_SCD_1hr-arrest	MS756_SCD_1hr-arrest	MS756c2	AID-Bcy1	SCD	1hr	control	exp251111	2026-03-17-MS260116L16_exp251111_MS756c2_SCD_1hr-arrest_gDNA	0.512613174					0.512613174	DNA_content_analysis_AC260123_MS756c2_no-treatment_1hr_exp251111_G1-arrest.fcs	1.33957	66.49								
2026-01-03-AC251128L02_exp251111_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	exp251111_MS756c2_SCD_1hr-arrest_PhIAA	MS756_SCD_1hr-arrest_PhIAA	MS756c2	AID-Bcy1	SCD	1hr	PhIAA	exp251111	2026-03-17-MS260116L17_exp251111_MS756c2_SCD_1hr-arrest_5uM-PhIAA_gDNA	0.501318743					0.501318743	DNA_content_analysis_AC260123_MS756c2_PhIAA_1hr_exp251111_G1-arrest.fcs	1.29282	69.52								
2026-01-03-AC251128L03_exp251111_MS756c2_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	exp251111_MS756c2_SCD_1hr-arrest_Torin+PhIAA	MS756_SCD_1hr-arrest_Torin+PhIAA	MS756c2	AID-Bcy1	SCD	1hr	Torin+PhIAA	exp251111	2026-03-17-MS260116L18_exp251111_MS756c2_SCD_1hr-arrest_10uM-Torin+5uM-PhIAA_gDNA	0.479100416					0.479100416	DNA_content_analysis_AC260123_MS756c2_PhIAA+Torin_1hr_exp251111_G1-arrest.fcs	1.42225	66.88								
2026-01-03-AC251128L04_exp251111_MS756c2_SCD_4hr50min-arrest_polyA-RNA	exp251111_MS756c2_SCD_4hr50min-arrest	MS756_SCD_Large-G1arrest	MS756c2	AID-Bcy1	SCD	4hr50min	control	exp251111	2026-03-17-MS260116L19_exp251111_MS756c2_SCD_4hr50min-arres_gDNA	0.156125548					0.156125548	DNA_content_analysis_AC260123_MS756c2_no-treatment_4hr50min_exp251111_G1-arrest.fcs	1.00081	262.46								
2026-01-03-AC251128L05_exp251111_MS756c2_SCD_4hr50min-arrest_PhIAA_polyA-RNA	exp251111_MS756c2_SCD_4hr50min-arrest	MS756_SCD_Large-G1arrest_PhIAA	MS756c2	AID-Bcy1	SCD	4hr50min	PhIAA	exp251111	2026-03-17-MS260116L20_exp251111_MS756c2_SCD_4hr50min-arrest_5uM-PhIAA_gDNA	0.154636216					0.154636216	DNA_content_analysis_AC260123_MS756c2_PhIAA_4hr50min_exp251111_G1-arrest.fcs	1.00095	267.91								
2026-01-03-AC251128L06_exp251111_MS756c2_SCD_4hr50min-arrest_Torin+PhIAA_polyA-RNA	exp251111_MS756c2_SCD_4hr50min-arrest_Torin+PhIAA	MS756_SCD_Large-G1arrest_Torin+PhIAA	MS756c2	AID-Bcy1	SCD	4hr50min	Torin+PhIAA	exp251111	2026-03-17-MS260116L21_exp251111_MS756c2_SCD_4hr50min-arrest_10uM-Torin+5uM-PhIAA_gDNA	0.149360969					0.149360969	DNA_content_analysis_AC260123_MS756c2_PhIAA+Torin_4hr50min_exp251111_G1-arrest.fcs	1.00163	294.49								
2026-03-17-MS260226L01_exp260220_MS951_SCD_1hr-arrest_1NMPP1_polyA-RNA	exp260220_MS951_SCD_1hr-arrest_1NMPP1_polyA-RNA	MS951_SCD_1hr-arrest_1NMPP1	MS951	WT	SCD	1hr	1NMPP1	exp260220	2026-03-17-MS260226L11_exp260220_MS951_SCD_1hr-arrest_1uM-1NMPP1_gDNA	1.254105265					1.254105265	DNA_content_analysis_AC260304_MS951_N1_exp2602220_G1-arrest.fcs	1.3316	53.2	TRUE	TRUE		MS951_SCD_1hr-arrest_1NMPP1	MS951_SCD_1hr-arrest_1NMPP1		A	A
2026-03-17-MS260226L02_exp260220_MS951_SCD_4hr45min-arrest_1NMPP1_polyA-RNA	exp260220_MS951_SCD_4hr45min-arrest_1NMPP1_polyA-RNA	MS951_SCD_4hr45min-arrest_1NMPP1	MS951	WT	SCD	4hr45min	1NMPP1	exp260220	2026-03-17-MS260226L12_exp260220_MS951_SCD_4hr45min-arrest_1uM-1NMPP1_gDNA	0.516990942					0.516990942	DNA_content_analysis_AC260304_MS951_N2_exp2602220_G1-arrest.fcs	1.0046	210.9	FALSE	FALSE		MS951_SCD_1hr-arrest_1NMPP1	MS951_SCD_1hr-arrest_1NMPP1		A	A
2026-03-17-MS260226L03_exp260220_MS1154_SCD_1hr-arrest_DMSO	exp260220_MS1154_SCD_1hr-arrest_DMSO	MS1154_SCD_1hr-arrest_DMSO	MS1154	TPK1-3_AS	SCD	1hr	DMSO	exp260220	2026-03-17-MS260226L13_exp260220_MS1154_SCD_1hr-arrest_DMSO_gDNA	1.302981099					1.302981099	DNA_content_analysis_AC260304_MS1154_D1_exp2602220_G1-arrest.fcs	1.3079	55.3	FALSE	TRUE	TRUE	MS951_SCD_1hr-arrest_1NMPP1	MS1154_SCD_1hr-arrest_DMSO	MS1154_SCD_1hr-arrest_DMSO	A	A
2026-03-17-MS260226L04_exp260220_MS1154_SCD_4hr45min-arrest_DMSO	exp260220_MS1154_SCD_4hr45min-arrest_DMSO	MS1154_SCD_4hr45min-arrest_DMSO	MS1154	TPK1-3_AS	SCD	4hr45min	DMSO	exp260220	2026-03-17-MS260226L14_exp260220_MS1154_SCD_4hr45min-arrest_DMSO_gDNA	0.412533415					0.412533415	DNA_content_analysis_AC260304_MS1154_D2_exp2602220_G1-arrest.fcs	1.0072	227.1	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_1NMPP1	MS1154_SCD_1hr-arrest_DMSO	MS1154_SCD_1hr-arrest_DMSO	A	A
