name,hl_wt_rep1,k_wt_rep1,R2_wt_rep1,hl_wt_rep2,k_wt_rep2,R2_wt_rep2,hl_wt_rep3,k_wt_rep3,R2_wt_rep3,hl_UPF3_rep1,k_UPF3_rep1,R2_UPF3_rep1,hl_UPF3_rep2,k_UPF3_rep2,R2_UPF3_rep2,hl_UPF3_rep3,k_UPF3_rep3,R2_UPF3_rep3
YAL001C,14.68306492,0.050342797,0.841736599,8.91424537,0.08089279,0.943841196,8.821037841,0.081714412,0.956308164,12.42141866,0.058813612,0.862173643,20.31087002,0.037137941,0.978704845,19.5893733,0.03839487,0.875459385
YAL002W,3.356696636,0.209632363,0.80097041,14.03867157,0.052509672,0.869350483,8.040306337,0.089344594,0.912360242,NA,NA,NA,15.18451044,0.04865934,0.953875784,8.2616664,0.086910231,0.944782479
YAL003W,21.54434995,0.035308581,0.9832745,19.82610762,0.038096878,0.991131486,21.4274732,0.035484069,0.983318757,23.22044454,0.032861762,0.971782741,20.07993711,0.037530424,0.988189244,20.62397175,0.036619846,0.985487557
YAL005C,23.3218227,0.032856512,0.985801139,20.09579426,0.037627695,0.985641987,19.72403814,0.038277798,0.988339424,27.61939892,0.028107423,0.919701292,20.71123768,0.036478236,0.985853607,21.29052667,0.035567635,0.982069851
YAL007C,15.57190625,0.047648217,0.944537302,15.83780764,0.046900892,0.95780038,16.29927212,0.045661809,0.939502434,22.96232429,0.033197315,0.845064207,15.95818121,0.046446258,0.962766341,16.18869911,0.045827765,0.980960766
YAL008W,15.81734985,0.046957497,0.935966399,16.31314322,0.045625649,0.953097393,19.21905251,0.03920117,0.912688801,20.29094124,0.037171459,0.952918923,16.01882097,0.046281833,0.945026975,15.49846759,0.047734629,0.940335462
YAL009W,17.69562233,0.042306089,0.814734422,5.932401201,0.119976457,0.940727178,9.654728734,0.074929086,0.979539675,NA,NA,NA,14.34239979,0.05133957,0.949413755,13.77594814,0.053326785,0.952356167
YAL010C,8.647573096,0.083290654,0.620102769,4.821360566,0.14690143,0.924710907,9.264384012,0.077954028,0.893777678,15.10822082,0.048889843,0.743860124,11.70434863,0.062232372,0.652712536,8.082693531,0.088767988,0.953358903
YAL011W,4.831084231,0.146612069,0.847852468,3.886764369,0.181470815,0.98120983,4.903309012,0.144498688,0.979996809,9.347667509,0.077162921,0.848780142,9.146984239,0.0787898,0.833138685,6.080002624,0.117015455,0.992195858
YAL012W,12.72281745,0.057616179,0.99434317,11.92074357,0.061281847,0.998489334,12.96458938,0.056600189,0.989442946,15.76419252,0.046980757,0.942156843,12.11882289,0.06020695,0.996047257,13.75539271,0.053401975,0.994199881
YAL013W,9.574758134,0.075528722,0.971721478,5.912891391,0.120361978,0.977596888,7.441359186,0.09628347,0.976609756,9.449930886,0.076360478,0.974335989,7.109227531,0.100510682,0.952456991,7.207878926,0.099176243,0.984305272
YAL014C,18.01567671,0.041610211,0.771731148,6.683050889,0.106852721,0.962542535,8.704384964,0.082767497,0.993816208,8.910164795,0.080803892,0.975792917,10.3969352,0.069679448,0.963687765,10.57599913,0.068550674,0.998989268
YAL015C,13.2277981,0.055536341,0.951024531,6.481385229,0.110079839,0.9772614,10.13076366,0.071555576,0.997249258,13.45374711,0.054531787,0.943261292,13.74388778,0.053444157,0.95026078,11.33126133,0.064182263,0.999848503
YAL016W,12.26810334,0.059635489,0.878187523,10.2388062,0.07083359,0.960395121,13.95211592,0.052815977,0.947128645,10.40429407,0.069632294,0.971134753,9.398299792,0.076763436,0.990984604,9.617811449,0.075080151,0.984592622
YAL017W,17.70070961,0.042294831,0.984481197,8.591827836,0.083810714,0.999658946,9.023704321,0.079949583,0.993717814,18.40964839,0.040662333,0.888949722,10.2830013,0.070418123,0.967762582,8.81650101,0.081630339,0.965749479
YAL019W,8.2230707,0.087428529,0.948877171,9.209946262,0.078396262,0.955182708,7.764495431,0.092406918,0.997893135,12.2795669,0.059458235,0.625963525,7.681008266,0.093252726,0.907005059,9.579776347,0.075366291,0.989579847
YAL020C,18.53804506,0.040526065,0.79514684,11.56643284,0.063063024,0.944550087,12.79887127,0.057292442,0.957170448,NA,NA,NA,11.63112951,0.062605176,0.818193029,21.86110407,0.034717904,0.910049467
YAL021C,7.802634204,0.091970565,0.937685736,8.423121684,0.085426552,0.998461531,9.878503606,0.073302768,0.993421215,NA,NA,NA,10.81558194,0.067098864,0.971950319,8.922953061,0.0806924,0.965471888
YAL022C,11.45295094,0.063656817,0.956962459,9.166647312,0.078751759,0.976753737,12.37677545,0.059139401,0.971070286,20.92485904,0.03613657,0.914299302,11.78164685,0.061843826,0.966723212,10.42291591,0.069513267,0.98492497
