sample	sample_short	experiment	ref1	ref2	ref3 	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume
2026-01-03-AC251203L01_exp251017_MS69_SCD_1hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_1hr-arrest	exp251017	TRUE	TRUE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	A	A	A	A	MS69	WT	1hr G1 arrest	OD 0.1	WT_OD 0.1	WT_untreated 	0.806773648	DNA_content_analysis_AC260123_MS69_A1_exp251017_G1-arrest.fcs	1.39602	72.61
2026-01-03-AC251203L02_exp251017_MS69_SCD_1hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_1hr-arrest	exp251017	TRUE	FALSE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep2	A	A	A	A	MS69	WT	1hr G1 arrest	OD 0.3	WT_OD 0.3	WT_untreated 	2.070269776	DNA_content_analysis_AC260123_MS69_B1_exp251017_G1-arrest.fcs	1.45245	70.88
2026-01-03-AC251203L03_exp251017_MS69_SCD_2hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_2hr-arrest	exp251017	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	A	A	A	A	MS69	WT	2hr G1 arrest	OD 0.1	WT_OD 0.1	WT_untreated 	0.605780582	DNA_content_analysis_AC260123_MS69_A2_exp251017_G1-arrest.fcs	1.07391	84.64
2026-01-03-AC251203L04_exp251017_MS69_SCD_2hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_2hr-arrest	exp251017	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep2	A	A	A	A	MS69	WT	2hr G1 arrest	OD 0.3	WT_OD 0.3	WT_untreated 	1.631449331	DNA_content_analysis_AC260123_MS69_B2_exp251017_G1-arrest.fcs	1.07049	84.48
2026-01-03-AC251203L05_exp251017_MS69_SCD_3hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_3hr-arrest	exp251017	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	A	A	A	A	MS69	WT	3hr G1 arrest	OD 0.1	WT_OD 0.1	WT_untreated 	0.60661872	DNA_content_analysis_AC260123_MS69_A3_exp251017_G1-arrest.fcs	1.00702	133.51
2026-01-03-AC251203L06_exp251017_MS69_SCD_3hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_3hr-arrest	exp251017	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep2	A	A	A	A	MS69	WT	3hr G1 arrest	OD 0.3	WT_OD 0.3	WT_untreated 	1.102620522	DNA_content_analysis_AC260123_MS69_B3_exp251017_G1-arrest.fcs	1.0028	130.03
2026-01-03-AC251203L07_exp251017_MS69_SCD_4hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_4hr-arrest	exp251017	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	A	A	A	A	MS69	WT	4hr G1 arrest	OD 0.1	WT_OD 0.1	WT_untreated 	0.344394472	DNA_content_analysis_AC260123_MS69_A4_exp251017_G1-arrest.fcs	1.00083	198.5
2026-01-03-AC251203L08_exp251017_MS69_SCD_4hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_4hr-arrest	exp251017	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep2	A	A	A	A	MS69	WT	4hr G1 arrest	OD 0.3	WT_OD 0.3	WT_untreated 	0.742882588	DNA_content_analysis_AC260123_MS69_B4_exp251017_G1-arrest.fcs	1.00074	195.48
2026-01-03-AC251203L09_exp251017_MS69_SCD_5hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_5hr-arrest	exp251017	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	A	A	A	A	MS69	WT	5hr G1 arrest	OD 0.1	WT_OD 0.1	WT_untreated 	0.298155108	DNA_content_analysis_AC260123_MS69_A5_exp251017_G1-arrest.fcs	1.00021	288.42
2026-01-03-AC251203L10_exp251017_MS69_SCD_5hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_5hr-arrest	exp251017	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep2	A	A	A	A	MS69	WT	5hr G1 arrest	OD 0.3	WT_OD 0.3	WT_untreated 	0.66208257	DNA_content_analysis_AC260123_MS69_B5_exp251017_G1-arrest.fcs	1.00032	276.46
