gene_id	log2FC_hl_Not1_AID	log2FC_hl_Pop2_AID	log2FC_hl_Xrn1_AID	log2FC_hl_dcp2_AID	log2FC_hl_CCR4_AID
YAL003W	-1.88814232461509	-1.04763874378797	-2.00793670736646	-0.538437682016144	NA
YAL005C	-1.42839922241848	0.0663541091912647	-0.661136981316183	-1.18527058069471	0.241200209640338
YAL008W	1.13919591452939	1.5563905757923	0.781327443583306	0.0418833781947274	NA
YAL009W	NA	0.703521066052153	-0.584801925956612	-0.804225939359502	NA
YAL013W	-2.76139873956421	-0.665368101898687	NA	-0.239859205564811	NA
YAL016W	-1.17493606775465	-1.54400287302783	-2.1152566587511	-1.64124914686772	NA
YAL021C	1.001243765744	-1.29222282816082	1.66073507785448	0.208691564327487	NA
YAL023C	0.53214738413294	0.585144533596616	0.320474918898366	1.66586295929053	NA
YAL026C	-1.24699850879947	-2.08546266308747	-0.519332099794771	-0.89347355937028	0.271545613307466
YAL026C-A	-1.90931693937618	-2.32036568926428	-1.94992769545753	-1.27147949313255	-1.33303468215269
YAL028W	-1.17556947234338	NA	0.766288557041552	-1.57053019372272	NA
YAL029C	-1.18090930003045	0.443946773320626	-0.7621638740677	0.704353863197012	NA
YAL030W	-0.703465753956154	-0.100399651036909	-0.729945241589787	0.108551241518472	NA
YAL031C	1.41906938345454	0.621410355693975	-0.0826128733175197	-0.958896157317954	NA
YAL034W-A	-2.79157100531259	-0.839122597896277	NA	-2.82294708672156	0.475183214092451
YAL035W	-0.888189568104886	0.275796385126932	-0.603704854173088	0.083522607012656	1.39514187127585
YAL038W	-0.61973054211939	0.004164979073089	-1.20037272141542	-0.0843575053632618	NA
YAL039C	-1.4360681677277	0.101753796585182	0.718513931331121	0.0676061800523544	NA
YAL042W	-0.225062417874833	-0.00964211009791893	-1.08876247666254	0.506837052133249	NA
YAL043C	-1.87140304948932	-0.427822370513322	-0.469658231231172	-2.04533290550881	NA
YAL044C	-2.36504250723905	-1.58104983573236	-0.983801463390414	-0.261916062465963	NA
YAL049C	-1.65516183845815	-1.29191042450788	-1.03252158795793	0.241385595615939	-0.709189265788854
YAL055W	-1.93331076607715	NA	-0.846795494685674	-1.11834161402124	-0.722977767105713
YAL056W	-3.45695526394765	-1.6613134505269	-1.31255694298618	-2.48277540842084	NA
YAL061W	-2.12808092391031	0.118758660749111	0.297390447482706	-1.67684125618958	NA
YAR002W	-2.9617907537241	-1.18648634754818	-0.47122850718017	NA	NA
YAR003W	-0.0473789798913341	0.380685163472029	-0.538379672280783	NA	0.774609279269672
YAR007C	-1.39864835214435	-0.858769317954313	-0.265086223688331	-1.38142009682017	0.352657907008504
YAR018C	NA	0.560696588242219	NA	1.03730471918107	-0.468818061441649
YAR042W	-0.274507186863191	0.20159617047241	-0.469125005561845	-0.988325924276056	-0.429221019986037
YBL001C	-1.05769621990982	0.43675254606467	-0.71126884276692	-0.409367019103096	1.29489696519923
YBL004W	-1.11503298749073	-0.228426330748226	0.428994068324982	NA	-0.666210666976063
YBL006C	-1.14382909825569	-0.980375731981434	-0.887642409806505	0.157866091514912	0.486312389868206
YBL007C	-3.32205204648293	-0.579066085058461	-2.26243260481147	-1.44410447726728	-1.29963318741086
YBL008W	-1.11638292287111	-0.687599850629039	-0.359523735774781	-0.644825649690529	NA
YBL011W	-1.70435466820965	NA	0.0640286246227356	NA	NA
YBL015W	-2.62433361129519	-0.777037660700052	-0.607310466070747	NA	NA
YBL022C	-2.8362746356512	-1.00103750022645	-0.991104889019678	0.420368835400737	-1.45190673049564
YBL025W	-1.88943387955353	0.0375291351877262	-1.08226440664449	-1.94600153249488	NA
YBL026W	-1.82672762532866	0.131441026059313	-0.934960572588661	0.0694247081521569	NA
YBL027W	-1.13908792692572	-0.136703903801331	-1.04142207403257	NA	NA
YBL028C	-1.23104527156836	-0.710454732747865	-2.73334043956811	-0.118790499650849	NA
YBL030C	-2.07029746946447	-1.81695017989821	-2.46004395932368	-2.23053686355178	NA
YBL032W	0.110980209936335	-1.48671117989578	-1.72705417620963	-1.80518941195645	NA
YBL034C	NA	-2.79174563084272	NA	-1.66207345078326	NA
YBL036C	-0.31043116059751	0.134267094791582	-1.64349215718566	NA	NA
YBL037W	-2.27266468985663	-2.02705370751474	NA	0.299285532045227	-1.6044919538439
YBL038W	-2.73429009923062	-0.95081026065764	-1.14216055021911	-0.302890699827488	NA
YBL039W-B	-1.76758528712272	-0.804264239470739	-0.642035045624644	-0.348059135697805	-0.38324175536171
YBL040C	-1.0319309684849	-0.200687811643046	-1.71223500488455	-0.215023055011043	0.147815908961691
YBL041W	-1.95454342934863	0.521957008588289	-0.545016965415581	-0.203914429463215	0.666309198319661
YBL045C	-2.35718474292755	0.0347028392230229	0.449276757954153	-0.682832358344196	1.39270422448595
YBL047C	-0.933734152357754	-0.477816526731783	-1.62537982890948	0.0139714428869906	-1.13514744812215
YBL050W	-2.1711744758138	0.0389379502999099	-1.45056074444175	-0.865331438362517	NA
YBL057C	-2.71966846192095	-0.837317005909791	-0.573564853087142	-1.16053531546276	NA
YBL058W	-1.93947231700122	-1.64702893803712	-1.62300038823696	NA	-0.234673923877084
YBL059C-A	-2.42912217449146	-0.288214378671628	-0.862630969302856	-0.0443188605108205	-1.18763483603379
YBL059W	-2.35622382836425	-0.583394268571057	-0.108069335410846	NA	-0.0034299716460538
YBL064C	-0.817055259965672	0.13466863813121	0.0592367694288332	0.0412958726666675	0.0727786699228001
YBL067C	NA	-0.330420181408067	1.30157950196031	1.19884883096711	1.2306105783713
YBL072C	-0.66524577175311	-0.217958518093199	-1.29927774716597	0.258712702464228	NA
YBL076C	-1.96569713449223	-1.05404532398487	-1.42439816220178	-0.429892480975791	-0.431263326809882
YBL080C	-1.59917791161177	-1.49423787114062	-1.12608378994892	-0.175495303303572	NA
YBL089W	-0.47636026236534	-0.567613497450985	1.1119236291774	0.728111554527939	0.706549192790659
YBL090W	-1.94412941146282	-1.21807446319154	NA	-1.59883757386762	0.38725136258653
YBL091C	-2.00614587138913	-1.1172256251145	-2.38943536286152	0.110336227345437	-0.666993952092712
YBL092W	-1.01645224413998	-0.300887785792742	-1.4872104511439	NA	NA
YBL093C	-1.01554604022711	-0.528548627790761	-1.84691940665034	-0.156812683374008	0.392997033560338
YBL101C	NA	0.850536668680537	NA	-0.764010661327701	-0.391404327178795
YBR001C	-1.73248192760532	0.802893788580104	-1.40105337156887	-0.501916540437498	NA
YBR002C	-2.89732264293466	-0.940417538679379	-2.18561275876825	-1.28298984591256	-0.928392929537963
YBR004C	-0.982702475127684	-0.923828520423017	-1.03171568646067	0.188778142419036	NA
YBR006W	-2.36527428527059	-0.674285524394442	-0.111321780348375	-0.644544961526705	NA
YBR011C	-1.9990560081323	-0.116980002042226	-1.54968905599805	-0.910537629779242	NA
YBR014C	-3.29085405753664	-1.52534672725702	-0.51413750750991	-0.91021539477913	NA
YBR020W	NA	NA	-0.170742237289837	NA	NA
YBR025C	-0.714433105697913	-0.14608917159731	-0.658289430132868	-0.282907506207605	1.42496797853542
YBR026C	-3.59346435179965	-0.814486545934855	-2.31557475577168	-2.23327498075854	-0.193927794270125
YBR030W	-1.85934874427257	-1.51820919943889	NA	-0.38764306610628	-1.15120179749614
YBR031W	-1.64779275150944	-0.806194608911425	-1.88559732522373	-0.280852610399949	NA
YBR035C	-0.105564060602378	-0.297847592832307	-1.41700777650898	NA	0.480645771033437
YBR037C	-1.49012267315673	-2.30540993223708	-2.12119016610297	-0.634531196437568	0.23003223348986
YBR038W	-2.8121501728525	-0.701217066615537	-1.72314626880601	NA	-0.234991943434855
YBR039W	-1.85015794586856	-0.762021456368456	-0.807465693710775	0.119624038470545	NA
YBR042C	-2.60802110146635	-1.3429580850626	-1.32318826899846	-2.23296430916919	-0.708322730170119
YBR043C	-2.50298299379315	-0.409352636057304	-0.395477685753401	-2.04462207986949	-1.01961309378507
YBR044C	NA	-1.65478484580013	-1.38831401061322	-2.06973420413196	NA
YBR048W	-0.701968333050345	0.10627223756469	-0.597005039127359	NA	NA
YBR050C	NA	3.16764670599398	4.32707992334265	NA	3.24886396573522
YBR054W	-0.307280133867297	NA	2.25178443733716	-0.981994997889573	1.29431293786214
YBR055C	-1.09093911001668	0.300886261615171	0.109102985941652	1.58213119822867	NA
YBR056W	-0.245575701719509	-0.793472002719293	-0.0232807526516196	0.739563066807019	-0.465317953693899
YBR059C	-0.888324024212447	0.0378559442565404	-0.733128320890138	0.522990557784092	NA
YBR062C	-2.36080112035627	NA	-2.10507897049891	NA	-0.721711337191349
YBR063C	-1.94564947987356	-0.098742593039793	-0.342108982280687	-2.5372181897821	NA
YBR066C	-1.97326484875952	NA	0.0692775368828999	-1.43395835357367	NA
YBR067C	-2.20678498619066	-0.415304055197542	-1.91530133908068	-0.130265269835211	NA
YBR072W	-2.84145380554137	0.400988293955564	-0.453090706699068	-1.58709146457276	NA
YBR073W	-1.08848395528084	-0.435128931145696	0.415233603465372	0.308392864511968	NA
YBR077C	-1.51689351592411	-1.48819978934525	-2.40146826920934	-0.406150915082953	-1.0034757664598
YBR078W	-1.44190609758066	-0.401226784333559	-1.40926756776385	-0.817138869802962	NA
YBR079C	-1.86497996842811	-1.06541461838021	-0.844229401271909	0.181771566543425	NA
YBR082C	-0.69211806218439	0.108497662100531	-1.40298785095757	-0.245259822542033	0.64911748892
YBR083W	-1.28658425997818	-1.58442260937415	-1.35954927648435	-0.501096042382583	NA
YBR085W	NA	NA	-0.00424806610171052	-3.38030484987552	NA
YBR086C	-1.07365288614931	-1.13867214812544	-0.84150164668052	-0.25488947957155	-0.456984351672841
YBR087W	-2.14064492589697	-0.858412298970808	-0.476438109160999	-0.314300540091105	0.463425564267688
YBR089C-A	-2.38233444369949	-0.429496155330824	-1.28646028637919	-0.723921104983202	0.0241078118239943
YBR093C	-1.57021416307558	-0.415448010228273	NA	NA	NA
YBR101C	-1.52181408938858	-0.249951226674562	-1.18337328127564	-0.535887034796145	NA
YBR103W	-1.99748380181991	0.570512538120492	0.393507315351429	-0.0477839517025042	NA
YBR106W	-1.86067118296796	-0.475129129648241	-1.67024699808639	-0.657302546344537	-0.813535506059883
YBR109C	-1.17535489649003	-0.465580976466392	-0.947981834625184	0.30114903203107	0.236332617433377
YBR120C	-0.925685271940356	0.327718471022415	-1.10399921090306	-0.799948740295062	0.801358743351004
YBR121C	-2.04503954646516	-1.48821403886557	-1.25353438721865	NA	NA
YBR122C	-1.45669187191612	0.51584661941875	-0.0688865135284196	0.11595517322799	0.0771112669884313
YBR123C	-2.61913147723743	-0.854556504588798	-1.77498860146733	-2.11678929290635	0.384562857980708
YBR132C	0.838460056521066	1.63568537877134	1.26006375253734	1.16131431338638	NA
YBR133C	-2.03841131288273	-0.460424700969175	0.129842783104756	-3.01467877798984	-1.05094493053358
YBR137W	-0.371538441364935	0.102971932407335	-1.17099540489439	0.637727731771806	-0.887191022323685
YBR140C	-1.97464281524594	-0.582479237701313	0.138328913270124	-0.865633053939096	NA
YBR143C	-0.85971431838879	-0.324055948862185	-0.880161020182105	0.414208238508726	NA
YBR146W	-1.55203246327768	-1.7762816486865	-1.63545997271364	-0.228807089303027	0.172809381160563
YBR147W	NA	NA	0.133126050003306	NA	NA
YBR158W	-1.44605301043731	-0.545080912018565	-1.81828146848466	-0.257614821188932	0.22776319786669
YBR162W-A	-1.80172590520461	-0.966263934011723	-2.12367356617411	-1.37225791345152	NA
YBR164C	-1.49275772567286	-1.35743727049903	-0.677453501823689	0.0169140864948967	NA
YBR169C	-2.53669381174419	-3.43204557793294	-0.647278769252793	-2.73202824211676	-2.19301688603455
YBR171W	-1.78029443326146	0.244052967737938	-1.27537979363628	1.01200304522796	NA
YBR173C	-0.382710458882955	-0.579258963582458	-1.11964261790157	0.443180655686866	1.06804287593663
YBR177C	-1.71563327224289	-0.587574272786071	NA	0.233654495042849	NA
YBR181C	-0.508274588237594	0.0797859425047499	-1.23600563850199	0.0949333255484192	NA
YBR183W	NA	1.49687347003151	0.220564486715574	-1.55978116644109	NA
