gene_id	log2FC_pat1D	log2FC_lsm1D	log2FC_dhh1D
YAL001C	-0.182661142	-0.1214951544	0.506299778
YAL002W	-0.585221028	-0.557408491	-0.441938254
YAL003W	-0.402616513	-0.363186588	-1.147094134
YAL004W	-0.23871355	-0.1418767494	-0.499725751
YAL005C	0.658688326	0.6452172167	0.677730103
YAL007C	0.128375093	0.0683833926	-0.444253216
YAL008W	1.071032439	1.0146017042	0.784048126
YAL009W	0.3601626	0.3807417349	-0.417996477
YAL010C	0.224067262	0.2202666104	0.366964628
YAL011W	-0.148399975	-0.0406299963	0.691582683
YAL012W	-0.895817261	-0.7939490583	-0.513219286
YAL013W	0.018868172	0.0735905811	0.377351913
YAL014C	-0.311499955	-0.2562770213	-0.508050291
YAL015C	0.247469004	0.3057851878	-0.254655316
YAL016C-A	0.220386006	0.0819739128	-1.132959123
YAL016W	0.015162804	0.0059578827	0.116428649
YAL017W	-0.483424502	-0.5117118236	0.85932161
YAL018C	2.582250133	2.6569491522	0.121552612
YAL019W-A	1.392231619	1.0729253402	0.439760738
YAL019W	-0.420619382	-0.3554647524	-0.181221019
YAL020C	-0.416370381	-0.3222011469	-1.081287038
YAL021C	-0.201527219	-0.2048086318	0.102251107
YAL022C	-0.430982367	-0.2964675733	-0.33069068
YAL023C	-0.595358056	-0.5119030023	-0.688985152
YAL024C	-0.519160627	-0.4526141406	0.025620667
YAL025C	0.415250496	0.4180048002	0.216991533
YAL026C-A	-0.26679206	-0.1938261676	-0.027114965
YAL026C	-0.290689547	-0.2279948877	-0.026470407
YAL027W	0.520524714	0.4643258328	0.253445624
YAL028W	0.618855332	0.7043665473	0.559770567
YAL029C	-0.673198248	-0.6401155391	-0.189398994
YAL030W	0.740927783	0.6237014894	0.321599072
YAL031C	-0.291267275	-0.2672843084	-0.183054144
YAL031W-A	1.150069048	-0.6134528333	0.47844216
YAL032C	-0.099451509	-0.0831201784	0.316662602
YAL033W	0.754840189	0.6549109801	0.146306273
YAL034C-B	2.379842512	2.6962277525	1.754624478
YAL034C	-0.16061087	-0.2729102895	0.668913316
YAL034W-A	0.300277579	0.3134192814	0.518078712
YAL035W	0.159372934	0.2462653445	0.33434476
YAL036C	0.394550455	0.4697477573	-0.465004774
YAL037C-A	2.315357947	2.3077965003	0.388525063
YAL037C-B	-1.318169976	-1.0467416383	-0.903756075
YAL037W	0.69671236	0.6790444391	0.088573196
YAL038W	-1.020139136	-0.9883260087	-0.76561552
YAL039C	-0.124594689	0.0401687729	0.481936282
YAL040C	-0.686530265	-0.6639218512	-0.298134488
YAL041W	-0.348111159	-0.3331240982	0.152487532
YAL042C-A	0.656906575	0.8873218531	-0.367009615
YAL042W	-0.207925933	-0.184865125	-0.77390391
YAL043C	-0.134533168	-0.0438110465	0.033146688
YAL044C	0.091079318	0.0199152059	0.31850253
YAL044W-A	0.50946964	0.455834474	-0.119940771
YAL045C	-0.060167774	-0.3515411837	-1.286423577
YAL046C	0.726733634	0.7280972928	-0.049219071
YAL047C	0.170584599	0.2718805978	0.171234129
YAL047W-A	0.906274705	1.219333126	-0.473494733
YAL048C	-0.353028872	-0.3878091722	-0.525226223
YAL049C	0.335281479	0.310379033	0.160016671
YAL051W	-0.386791368	-0.3458327403	0.377638983
YAL053W	-0.00363571	0.0769853568	0.469381755
YAL054C	0.996759303	0.9644956074	0.8812837
YAL055W	1.210256633	1.2522216402	0.841116787
YAL056C-A	0.316288288	0.6003679321	-0.334928543
YAL056W	-0.4288166	-0.4067182622	-0.213836469
YAL058W	-0.375113742	-0.3346018152	-0.697556743
YAL059C-A	0.854068156	0.2993328212	-1.665282514
YAL059W	1.027760207	0.8917869416	0.053306475
YAL060W	0.23085491	0.2411988971	0.391359573
YAL061W	0.646059791	0.4221316396	2.878764115
YAL062W	0.98950915	1.0137309413	1.812033444
YAL063C-A	0.074114151	0.0268140005	-1.009582727
YAL063C	0.780864776	0.6735699099	0.356335086
YAL064C-A	0.578596245	0.9886756719	0.765751677
YAL064W-B	-0.443319614	-0.3016234633	-1.219918243
YAL064W	0.557019944	0.4268748152	-0.809567569
YAL065C	0.272267657	0.2914962521	0.192398996
YAL066W	3.08932477	2.5332645866	1.717392686
YAL067C	-0.766406905	-0.7904250633	-0.572691819
