gene_id	log2FC_dcp2D_vs_WT	padj_dcp2D	pval_dcp2D	log2FC_xrn1D_vs_WT	padj_xrn1D	pval_xrn1D	TE_vijjamarri_WT
YAL012W	-0.4653594952178017	1.653426887705719e-16	4.112820055778176e-17	-1.4285512433360255	7.77849451604776e-146	2.3539878591523335e-147	-0.13008046959162006
YAL069W	0.7401203909685445	0.7739106966448692	0.7276685930877576	-0.42784064696545354	0.8645871711540596	0.8404644998596815	NA
YAL068W-A	-0.2470815131232431	0.9436345541487166	0.92956501030918	-1.4769277197135169	0.6446610141090473	0.598314702642985	NA
YAL068C	0.17496835881556133	0.5218048501265871	0.45894793283941626	0.4791024845614984	0.04283652571546787	0.03252262352445398	NA
YAL067W-A	0	1	1	-0.061696772973587784	0.9923577093233465	0.9901417593808494	NA
YAL067C	-0.5269531222569233	2.2611474990758367e-4	1.1896559915421142e-4	0.5258324789185284	4.240251568347423e-5	2.5445265168781038e-5	-4.4422778889867285
YAL066W	0.5729913879625489	0.6652025671097744	0.611175638164162	0.9937151186478125	0.4029567490973414	0.3527507413857742	NA
YAL065C	1.565398211665306	4.623463787954286e-9	1.7035969316111453e-9	1.032415019943147	8.886672338119339e-5	5.435117138592917e-5	NA
YAL064W-B	1.0902280045657529	7.486774997796891e-8	2.992941643642454e-8	0.5776215639893867	0.004110277458290469	0.0028330211769645995	-2.655586118956994
YAL064C-A	1.326624149650507	9.869897008065005e-4	5.565840946384458e-4	0.7172618022470268	0.07462084996820088	0.05842766286261257	NA
YAL064W	1.5611314867932427	4.7775532722232845e-4	2.596128372461457e-4	2.340773242695393	2.4764967071073843e-8	1.2506783635982229e-8	NA
YAL063C-A	1.0811154422825835	3.907705220426802e-5	1.9146255722758425e-5	0.6948314873872997	0.006974204551636569	0.004901710639259183	-2.681502599725515
YAL063C	1.7247730547720574	3.010587309358809e-70	1.3021878973164027e-71	0.9827017784342854	3.0223462221246725e-24	8.084575368305148e-25	-4.131913744155838
YAL062W	0.06300210533455204	0.7822307672747734	0.7375417641842306	-0.7391631263318823	1.1354903809148982e-4	6.983249080146835e-5	-1.3636333312275946
YAL061W	1.6513808977120945	9.55282854701484e-45	7.911332764799712e-46	0.7033123160691213	2.5341806135610056e-9	1.2218237206805792e-9	-0.5819889391250246
YAL060W	0.6382002149352419	9.88477108746995e-29	1.460681408112994e-29	0.5695667041874474	2.7882410189172317e-24	7.45012731656361e-25	0.18073329042003985
YAL059C-A	1.0917691506323877	0.2449629787140411	0.1955292037063508	-1.4014404052453613	0.1444384022180362	0.11742283451649327	NA
YAL059W	-0.27221684076736935	3.087976977256392e-4	1.645188797005952e-4	-0.21367492382072392	0.0031452761421381743	0.002148389830185021	0.3365778871958574
YAL058W	-0.17705498441399783	0.026289329784166253	0.017603838190283157	-0.06752151634313319	0.39392008513240184	0.3440258670864023	-1.9564990637091655
YAL056C-A	1.1388178457251312	0.11758956412467696	0.08755857122008719	1.2804305695750358	0.06079131823512462	0.04698897878345328	NA
YAL056W	-0.20117027073189991	9.513969107097537e-4	5.356698874294362e-4	0.5000305303583179	5.122444936887912e-19	1.6666472750075227e-19	-2.071803017279314
YAL055W	0.21188962158826555	0.2837461370622892	0.22983688427233254	0.3836721530960715	0.03250389357672969	0.024380319348001705	0.3908861021708083
YAL054C	0.7939521189880583	1.4776829334352465e-16	3.6713025936987296e-17	0.2670090465058665	0.005599550146411923	0.003900838078080583	-2.4827664168377597
YAL053W	0.3787545485646422	6.930850671554478e-13	2.0657495579965295e-13	-0.24750864076893578	2.5364596690783776e-6	1.415759375374276e-6	-1.000823540296016
YAL051W	0.1590356400527551	0.01733156361387371	0.011326665503191455	0.6520311447225601	1.0297591442472088e-26	2.5493151533843657e-27	-1.0544510679804548
YAL049C	-0.09911650221829349	0.14786140687168983	0.11279820976284716	-0.3718565279448442	2.0473283923049006e-9	9.832104518313629e-10	-0.31339614909732294
YAL048C	0.7383932908231907	9.295840687584644e-23	1.7674996760568382e-23	1.0605525744156483	6.7730326238676225e-49	9.61862619450938e-50	NA
YAL047W-A	1.0200152967091998	0.18362197231920968	0.1425279495799239	1.1986237691740491	0.09352155732621135	0.07411038082773878	-2.0272403897078846
