Protein.Group	strain_id	experiment	slope	slope_SE	statistic	sigma
D6W196	MS69	exp251017a	-0.16700883527794755	0.05069478456888887	-3.2943987571542026	0.07536826190961735
O13297	MS69	exp251017a	-0.29124279398210073	0.03684188010243055	-7.9052098636759505	0.06332030363981743
O13329	MS69	exp251017a	-0.5708839187380287	0.09940102497207115	-5.743239759332771	0.1571430180962361
O13525	MS69	exp251017a	0.37945646932999744	0.03358376565847835	11.298806488491627	0.035433915444734704
O13539	MS69	exp251017a	-0.526657227354705	0.11543047036972079	-4.562549434892153	0.27059737836988784
O13547	MS69	exp251017a	0.3705930836696482	0.18491392135069826	2.0041383632052256	0.4425888324115511
O13563;O13563-2	MS69	exp251017a	0.06812419893834223	0.05089306069053889	1.3385753973921763	0.0826399076357042
O13585	MS69	exp251017a	0.019539686858507165	0.07879798326907032	0.24797191562359258	0.16730166202102578
O14455	MS69	exp251017a	-0.018951031165499496	0.059319270075810226	-0.31947512404114237	0.11284972460081372
O14467	MS69	exp251017a	-0.2141932105779856	0.09060515245972153	-2.3640290288480568	0.21807447105843428
O74700	MS69	exp251017a	0.6336303403573411	0.21660014830263344	2.925345828812793	0.5782871801145872
O75012	MS69	exp251017a	-0.12242910781317384	0.09287169145976608	-1.3182607734264498	0.2178616144251246
P00044	MS69	exp251017a	0.03152873082229901	0.05556475629471263	0.56742318197298	0.1447240207547117
P00045	MS69	exp251017a	0.39309978231322584	0.24907590845374164	1.5782328558132401	0.5208234794584474
P00127	MS69	exp251017a	0.6180332047285657	0.1538491648355906	4.0171372096106	0.39311521683744066
P00128	MS69	exp251017a	0.4941756379579275	0.02647029254916229	18.66906597424692	0.06273166411123808
P00175	MS69	exp251017a	1.2173830945886344	0.11678531026556188	10.424111489881627	0.18306031702233294
P00330	MS69	exp251017a	0.024930046863613796	0.023784969516605216	1.0481428973961542	0.03923061410234919
P00358	MS69	exp251017a	0.23595486341717875	0.06757283638478333	3.491859688611698	0.07088191580821909
P00359	MS69	exp251017a	-0.05435458564573258	0.01829255134044314	-2.971405389775215	0.04370160093358999
P00360	MS69	exp251017a	0.7039273232283182	0.198108284739656	3.5532452575286504	0.5689496699101948
P00401	MS69	exp251017a	0.2822330720332224	0.03712181541751254	7.602889806409535	0.05769885531531298
P00410	MS69	exp251017a	0.22944754523246697	0.033311594145956164	6.887918489494463	0.06772453395705887
P00424	MS69	exp251017a	0.09070916824352408	0.03022838721450552	3.000794174027121	0.050974290134721295
P00425	MS69	exp251017a	0.323801680752721	0.17780319968094427	1.8211240367651484	0.18913078554946963
P00427	MS69	exp251017a	0.6921393394175962	0.23335009600984036	2.96609837001485	0.24057146618420233
P00431	MS69	exp251017a	0.35965660994140547	0.009797574577184187	36.708739199489756	0.021646868353787804
P00445	MS69	exp251017a	1.049889060416129	0.31037224875921016	3.3826769777688575	0.3250335821541453
P00447	MS69	exp251017a	0.24179320301033552	0.05880452554202133	4.111812837220355	0.12471445759284776
P00498	MS69	exp251017a	0.0783133152564002	0.04064469482880054	1.9267782815509775	0.08800412064687513
P00546	MS69	exp251017a	0.18133848629097096	0.021451357460614575	8.453473707848774	0.03272258236925634
P00549	MS69	exp251017a	0.07776778813536946	0.02086042714343818	3.7280055485264576	0.04632275154591882
P00560	MS69	exp251017a	0.02144349454220811	0.029840422842786016	0.7186055859591185	0.03099217476912741
P00572	MS69	exp251017a	-0.030966995844266952	0.06361127869569456	-0.4868161193930363	0.10915536771114016
P00724-2	MS69	exp251017a	-0.18352247352587736	0.14878399171630044	-1.2334826577029594	0.1577946303449578
P00729	MS69	exp251017a	0.31763958926273306	0.0390663643641308	8.130769126660203	0.08399119347550701
P00812	MS69	exp251017a	0.2664927809452393	0.05175979289664011	5.148644653146172	0.11078724170422038
P00815	MS69	exp251017a	0.6241917058476544	0.055720940554415115	11.202102829511476	0.08457314731409982
P00817	MS69	exp251017a	0.07613062625855122	0.009736558751447355	7.81904861892137	0.023588602290451947
P00830	MS69	exp251017a	0.09836230073835112	0.006744095526269874	14.58495069579105	0.010590852639669466
P00854	MS69	exp251017a	0.11743927748523048	0.0814482927886154	1.4418875272195488	0.20319431516568426
P00890	MS69	exp251017a	0.701954700387993	0.03755755334577537	18.69010725819689	0.09598785416843335
P00899	MS69	exp251017a	0.3124323875887994	0.02906924441123256	10.747867511412622	0.06500328714761254
P00912	MS69	exp251017a	-0.26212130038995973	0.28291558465585653	-0.926500039610079	0.6944817827879474
P00924	MS69	exp251017a	0.462766542232214	0.13503044381163118	3.4271274622912293	0.3052250498137123
P00925	MS69	exp251017a	-0.03860063562939796	0.010570213984396561	-3.651831049624831	0.01115199684661124
P00927	MS69	exp251017a	0.10501494774673739	0.024864460739006042	4.22349589034101	0.05725317292415155
P00931	MS69	exp251017a	0.4148302268126941	0.03391866507750868	12.230146023281035	0.07414321625163338
P00937	MS69	exp251017a	0.16945622440023006	0.023461082992716886	7.222864539238662	0.03712293878021849
P00942	MS69	exp251017a	-0.09913489551566747	0.017960494237570082	-5.5196084364034554	0.040133324948924895
P00950	MS69	exp251017a	0.11313582164874939	0.015439584630879813	7.327646718064748	0.03602557979877631
P00958	MS69	exp251017a	-0.24324390207883642	0.023005302832821043	-10.573384051776399	0.023526263244654292
P01119	MS69	exp251017a	-0.6106386911238344	0.06089657188705477	-10.027472355199066	0.09963681886328028
P01120	MS69	exp251017a	-0.013091425110209274	0.030991225009509217	-0.42242360881805596	0.03319508285921973
