gene_id	gene_name	MS791_SCD_1hr-arrest_PhIAA_rep2	MS791_SCD_4hr45m-arrest_PhIAA_rep2	MS791_SCD_1hr-arrest_DMSO_rep2	MS791_SCD_4hr45m-arrest_DMSO_rep2	MS793_SCD_1hr-arrest_PhIAA_rep1	MS793_SCD_4hr45m-arrest_PhIAA_rep1	MS793_SCD_1hr-arrest_DMSO_rep1	MS793_SCD_4hr45m-arrest_DMSO_rep1	MS756_SCD_1hr-arrest_PhIAA_rep2	MS756_SCD_4hr45m-arrest_PhIAA_rep2	MS756_SCD_4hr45m-arrest_longPhIAA_rep2	MS756_SCD_1hr-arrest_DMSO_rep2	MS756_SCD_4hr45m-arrest_DMSO_rep2	MS756_SCD_4hr45m-arrest_longDMSO_rep2	MS69_1hr-arrest_Torin_rep1	MS69_1hr-arrest_DMSO_rep1	MS69_4.75hr-arrest_Torin_rep1	MS69_4.75hr-arrest_DMSO_rep1	MS69_1hr-arrest_Rapa_rep2	MS69_1hr-arrest_DMSO_rep2	MS69_4.75hr-arrest_Rapa_rep2	MS69_4.75hr-arrest_DMSO_rep2	MS756_1hr-arrest_PhIAA_rep1	MS756_1hr-arrest_DMSO_rep1	MS756_4.75hr-arrest_PhIAA_rep1	MS756_4.75hr-arrest_DMSO_rep1	MS791_1hr-arrest_PhIAA_rep1	MS791_1hr-arrest_DMSO_rep1	MS791_4.75hr-arrest_PhIAA_rep1	MS791_4.75hr-arrest_DMSO_rep1
YDR085C	AFR1	-1.378386813	0.58053609	-0.539553955	1.148883848	-2.041108398	-0.067482899	-0.910699571	0.976856478	-1.211515306	-0.269940342	0.10260533	-0.044881427	0.559078595	0.647517648	0.61300441	-0.005297289	0.982723611	1.243336452	1.193806665	0.00527791	1.258510787	1.19576892	-0.943859221	-0.203247696	-0.707722303	0.732291202	-0.916524018	-0.350136045	0.453886253	1.121628867
YHL021C	AIM17	-0.128005965	3.212333223	0.440767059	3.986446331	0.600437411	2.723582958	0.10217677	3.110842329	-2.269352166	-1.457380671	0.778356247	0.218568326	1.412808288	1.379307644	5.190480298	-0.098556442	5.715636696	2.582410595	4.564255631	0.092252031	5.425329684	3.060820322	-2.488359017	-0.16437999	-2.068414735	1.051168289	0.396354095	0.365349102	2.571269645	3.629783644
YMR169C	ALD3	-1.552945959	-0.198108551	-1.041859179	0.763534614	0.003648032	1.006871199	-0.487810462	2.075222515	-2.162947931	-1.564355053	-0.951824335	-0.185543291	-0.809280673	-1.395503205	4.107193126	-0.538049511	7.655576819	4.024366757	1.932805641	0.390996257	4.331371639	1.707938674	-2.198953165	-0.466571067	-2.881104494	-1.545201124	-0.877942112	-0.265169073	-1.015062809	1.194200158
YOR374W	ALD4	-0.253612943	2.813256258	-0.024249437	3.252191266	-0.184964802	1.36848008	-0.40022306	2.208545537	-2.726539896	-2.654322922	-1.431090775	-0.19831889	0.261887204	0.289910311	3.007804526	-0.185263664	4.95489696	2.224560845	1.692088454	0.164157677	4.144990913	2.322263658	-2.793683619	-0.271507061	-2.31862568	0.08126162	-0.312215045	-0.545637598	2.043168129	3.109528534
YBR149W	ARA1	-0.614115618	1.05155639	-0.296231865	1.681940101	-0.08007475	0.988183285	-0.442610298	1.443768359	-2.367801668	-2.085771378	-0.891735426	-0.203377317	0.553756795	0.447560389	2.885559086	-0.304840568	2.799730146	1.446365174	2.364225026	0.251529237	2.092636246	1.538615709	-2.234050675	0.311651739	-2.098182219	0.274862019	0.487681449	0.899542551	0.907584064	1.592657758
YMR041C	ARA2	-0.002956879	0.723865725	-0.09828912	1.003710412	-0.257173659	-0.243904642	-0.068208557	0.188757583	-1.230500752	-0.914354206	-1.06203711	-0.196782226	0.11926245	0.348980755	1.580847455	-0.09384201	1.099286427	0.13419075	1.7599827	0.088108949	1.360153161	0.349318369	-1.981355766	-0.150418948	-1.218227175	-0.006291613	-0.207403186	0.183494528	0.607271726	0.593630465
YLR370C	ARC18	-0.051538871	0.658515487	0.066419804	1.013365639	0.019051326	0.284267391	0.098623473	0.440062194	-0.625766803	-0.527095584	0.154021374	0.172777155	0.548224182	0.58628439	1.982951894	-0.083661152	1.479287254	0.558076297	2.033716675	0.07907445	1.390349226	0.649188713	-0.543814058	0.076081137	-0.403479604	0.253694339	0.143629156	0.529970916	0.548688711	0.930462058
YHR137W	ARO9	-0.762632522	3.873710152	0.168848315	4.023784451	-0.294647965	1.357698873	-0.929857377	2.146764088	-1.031061699	1.273267046	0.80752119	-0.728516966	2.076549269	2.095601045	6.398658297	0.115742593	4.315390308	3.356575702	4.136583258	-0.125844571	3.002601089	2.957252488	0.140697979	0.580087421	2.187781719	2.606937265	0.826536277	0.950319533	3.678744522	3.813102909
YGL180W	ATG1	0.095479633	1.094849364	0.310894751	1.025949411	0.451355787	0.645407564	0.140039991	0.893876399	-0.315241258	-0.983788751	-0.423371333	0.085231645	0.188652827	-0.096605168	2.500372256	-0.390810995	2.155928305	0.399780006	1.859827126	0.307194481	1.946290564	0.342875664	-0.329989278	0.05996316	-1.163006051	0.117155936	0.354607127	-0.176401274	0.582783376	0.972321285
YOL082W	ATG19	-0.310490794	1.713667504	-0.125485656	2.316680255	0.13251918	1.036307638	-0.148551448	1.597580987	-2.707873542	-2.794313258	-1.911348115	0.010855965	0.543101269	0.776880599	3.462426365	0.031455895	2.964392236	1.580781215	2.897052119	-0.032157062	3.12271015	1.818457191	-2.384661729	0.157527007	-3.339547629	0.330130954	0.437297125	0.514738752	1.43143968	2.211819599
