sample	sample_short	replicate	experiment	Candida_TPMsum	S_cerevisiae_TPMsum	spikein_ratio	DNA_ratio	mean_cell_volume	RNA_per_genome	RNA_per_cell
2025-01-14-MS241219L01_exp241025_MS69_SCD_1hr-arrest_Torin_polyA-RNA	MS69_1hr-arrest_Torin	rep1	exp241025	495211.0520916908	463448.40978546155	0.9358603929131447	0.851995144	66.34	1.0984339517704396	1.5607357254254803
2025-01-14-MS241219L02_exp241025_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_1hr-arrest_DMSO	rep1	exp241025	314612.82682341547	657957.498465043	2.0913244545949126	0.884606202	67.24	2.3641304456905816	3.0876114912841195
2025-01-14-MS241219L03_exp241025_MS69_SCD_4.75hr-arrest_Torin_polyA-RNA	MS69_4hr45m-arrest_Torin	rep1	exp241025	519818.75095544494	436907.99733660615	0.840500648607912	0.299649802	240.3	2.804943113588014	2.809945766095358
2025-01-14-MS241219L04_exp241025_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS69_4hr45m-arrest_DMSO	rep1	exp241025	373005.7547580638	589322.7828232488	1.579929465714251	0.31373272	242.7	5.035909119438518	5.056500166226079
2025-01-14-MS241219L05_exp241002_MS69_SCD_1hr-arrest_Rapa_polyA-RNA	MS69_1hr-arrest_Rapa	rep2	exp241002	475010.0968566009	484803.3382984119	1.0206169121595903	0.798164102	66.40407	1.2787056065315128	1.5853823289308218
2025-01-14-MS241219L06_exp241002_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_1hr-arrest_DMSO	rep2	exp241002	315722.4606125083	655768.3005510798	2.077040383122808	0.72654178	66.05176	2.858803774674607	3.5705321055903148
2025-01-14-MS241219L07_exp241002_MS69_SCD_4.75hr-arrest_Rapa_polyA-RNA	MS69_4hr45m-arrest_Rapa	rep2	exp241002	534527.8378207801	424775.4420723679	0.7946741254938892	0.250728084	255.09529	3.1694659521822417	3.1732217376409184
2025-01-14-MS241219L08_exp241002_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS69_4hr45m-arrest_DMSO	rep2	exp241002	344799.5602733848	615840.4289546454	1.786082408186245	0.308205762	265.60174	5.795097394013824	5.799435488021035
2025-01-14-MS241219L09_exp241010_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_1hr-arrest_PhIAA	rep1	exp241010	325442.69762310374	650164.601462569	1.99778518986936	0.712244463	66.91	2.804915016755083	3.377869243127284
2025-01-14-MS241219L10_exp241010_MS756_SCD_1hr-arrest_DMSO_polyA-RNA	MS756_1hr-arrest_DMSO	rep1	exp241010	357464.01922872924	615467.5342885894	1.721760795999925	0.71835053	65.33	2.3968253994326765	2.8681415944850595
2025-01-14-MS241219L11_exp241010_MS756_SCD_4.75hr-arrest_PhIAA_polyA-RNA	MS756_4hr45m-arrest_PhIAA	rep1	exp241010	431572.8392627515	540984.5916443915	1.2535186240370138	0.217089339	268.5	5.774206277522517	5.784164410152464
2025-01-14-MS241219L12_exp241010_MS756_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS756_4hr45m-arrest_DMSO	rep1	exp241010	426372.2492983465	542003.2233389011	1.2711972325376266	0.210507509	273.3	6.038726307561915	6.0470430346719315
2025-01-14-MS241219L13_exp241010_MS791_SCD_1hr-arrest_PhIAA_polyA-RNA	MS791_1hr-arrest_PhIAA	rep1	exp241010	325910.7294536913	643996.6626233333	1.9759909828769195	0.819120204	66.31	2.412333346470501	2.9012380895969954
2025-01-14-MS241219L14_exp241010_MS791_SCD_1hr-arrest_DMSO_polyA-RNA	MS791_1hr-arrest_DMSO	rep1	exp241010	372048.13586284174	598932.5570407425	1.60982544812842	0.682510206	65.88	2.3586833339286652	2.7345584445479028
2025-01-14-MS241219L15_exp241010_MS791_SCD_4.75hr-arrest_PhIAA_polyA-RNA	MS791_4hr45m-arrest_PhIAA	rep1	exp241010	462106.34859491163	504857.2663373452	1.0925131582208787	0.228023271	215.1	4.791235356942488	4.79301096960083
2025-01-14-MS241219L16_exp241010_MS791_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS791_4hr45m-arrest_DMSO	rep1	exp241010	492851.80840352416	472163.16796313494	0.9580225940381448	0.234643686	206.1	4.082882477554264	4.08694824050559
2025-02-23-MS250211L01_exp250206_MS791_SCD_1hr-arrest_PhIAA_polyA-RNA	MS791_1hr-arrest_PhIAA	rep2	exp250206	326790.68506596074	644398.0221809974	1.9718983790830193	NA	NA	NA	NA
2025-02-23-MS250211L02_exp250206_MS791_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS791_4hr45m-arrest_PhIAA	rep2	exp241025	438133.5487076419	527205.7380896603	1.2032991758899854	NA	NA	NA	NA
2025-02-23-MS250211L03_exp250206_MS791_SCD_1hr-arrest_DMSO_polyA-RNA	MS791_1hr-arrest_DMSO	rep2	exp241025	352114.89675611444	620177.3551774516	1.7612925806061692	NA	NA	NA	NA
2025-02-23-MS250211L04_exp250206_MS791_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS791_4hr45m-arrest_DMSO	rep2	exp241025	420340.0829630919	541174.7612898265	1.2874688454047445	NA	NA	NA	NA
2025-02-23-MS250211L05_exp250206_MS793_SCD_1hr-arrest_PhIAA_polyA-RNA	MS793_1hr-arrest_PhIAA	rep1	exp241002	308389.10050722305	663788.8149467363	2.152439284835195	NA	NA	NA	NA
2025-02-23-MS250211L06_exp250206_MS793_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS793_4hr45m-arrest_PhIAA	rep1	exp241002	338268.77528097917	628876.8881943193	1.8591041625758977	NA	NA	NA	NA
2025-02-23-MS250211L07_exp250206_MS793_SCD_1hr-arrest_DMSO_polyA-RNA	MS793_1hr-arrest_DMSO	rep1	exp241002	288716.6227029634	682242.4713274105	2.3630176362561337	NA	NA	NA	NA
2025-02-23-MS250211L08_exp250206_MS793_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS793_4hr45m-arrest_DMSO	rep1	exp241002	362739.1304224825	603895.9306976616	1.664821575754189	NA	NA	NA	NA
2025-02-23-MS250211L09_exp250206_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_1hr-arrest_PhIAA	rep2	exp241010	319370.26733887196	656260.0633198661	2.0548564798724134	NA	NA	NA	NA
2025-02-23-MS250211L10_exp250206_MS756_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS756_4hr45m-arrest_PhIAA	rep2	exp241010	360339.74274186674	611764.0737243157	1.6977424390363722	NA	NA	NA	NA
2025-02-23-MS250211L11_exp250206_MS756_SCD_4hr45m-arrest_PhIAA-4hr35m_polyA-RNA	MS756_4hr45m-arrest_longPhIAA	rep2	exp241010	372953.0936343273	598817.280868797	1.605610172135815	NA	NA	NA	NA
2025-02-23-MS250211L12_exp250206_MS756_SCD_1hr-arrest-DMSO_polyA-RNA	MS756_1hr-arrest_DMSO	rep2	exp241010	349119.8754134806	624107.3690905571	1.7876592340994468	NA	NA	NA	NA
2025-02-23-MS250211L13_exp250206_MS756_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS756_4hr45m-arrest_DMSO	rep2	exp241010	380105.4336222741	588093.3876883022	1.547184900999637	NA	NA	NA	NA
2025-02-23-MS250211L14_exp250206_MS756_SCD_4hr45m-arrest_DMSO-4hr35m_polyA-RNA	MS756_4hr45m-arrest_longDMSO	rep2	exp241010	367541.53701170883	600019.7749765241	1.632522353405213	NA	NA	NA	NA
2025-07-29-MS250530L01_exp250523_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_1hr-arrest_DMSO	NA	exp250523	430869.8199841379	543682.6606830275	1.2618258124995683	NA	NA	NA	NA
2025-07-29-MS250530L02_exp250523_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS69_1hr-arrest_PhIAA	NA	exp250523	343182.222960682	629203.7995293491	1.8334393725325226	NA	NA	NA	NA
2025-07-29-MS250530L03_exp250523_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS69_4hr45min-arrest_DMSO	NA	exp250523	479599.5875051166	488469.19343902735	1.0184937730660917	NA	NA	NA	NA
2025-07-29-MS250530L04_exp250523_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS69_4hr45min-arrest_PhIAA	NA	exp250523	399618.8691849167	564189.1699818944	1.4118181434541461	NA	NA	NA	NA
2025-07-29-MS250530L05_exp250523_MS793c2_SCD_1hr-arrest_DMSO_polyA-RNA	MS793_1hr-arrest_DMSO	NA	exp250523	343247.8997886057	628087.6208848684	1.829836748518157	NA	NA	NA	NA
2025-07-29-MS250530L06_exp250523_MS793c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS793_1hr-arrest_PhIAA	NA	exp250523	302748.8893758215	668225.6539311981	2.2071944022945265	NA	NA	NA	NA
2025-07-29-MS250530L07_exp250523_MS793c2_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS793_4hr45m-arrest_DMSO	NA	exp250523	383140.67511278426	582371.5845824335	1.51999414943611	NA	NA	NA	NA
2025-07-29-MS250530L08_exp250523_MS793c2_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS793_4hr45m-arrest_PhIAA	NA	exp250523	354248.7959139927	612128.3765233599	1.7279617703258963	NA	NA	NA	NA
2025-07-29-MS250701L01_exp250515_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_1hr-arrest_DMSO	NA	exp250515	371200.2075637416	601027.0057161193	1.6191451229533929	NA	NA	NA	NA
