experiment_strain_condition	size	translation	RNA_per_cell	RNA_per_fL
exp250624_MS1039_1.5hr-arrest_1hr-DMSO	small	ON	1.719169445	0.040900461
exp250624_MS1039_7.5hr-arrest_1hr-DMSO	big	ON	4.009750203	0.022188605
exp250624_MS1039_1.5hr-arrest_30min-PhIAA	small	OFF_short	1.245321351	0.029652146
exp250624_MS1039_7.5hr-arrest_30min-PhIAA	big	OFF_short	1.983090445	0.011040116
exp250624_MS1039_1.5hr_arrest_60min-PhIAA	small	OFF	1.070220843	0.024574697
exp250624_MS1039_7.5hr_arrest_60min-PhIAA	big	OFF	1.510965583	0.008932441
exp221207_MS96_1.5hr_arrest	small	ON	1.719169445	0.040900461
exp221207_MS96_7hr_arrest	big	ON	4.009750203	0.022188605
exp241204_MS908_1.5hr_arrest_60min-PhIAA	small	OFF	1.070220843	0.024574697
exp241204_MS908_7.5hr_arrest_60min-PhIAA	big	OFF	1.510965583	0.008932441
exp250423_MS908_1.5hr_arrest_60min-PhIAA	small	OFF	1.070220843	0.024574697
exp250423_MS908_7.5hr_arrest_60min-PhIAA	big	OFF	1.510965583	0.008932441
exp241101_MS917_1.5hr-arrest_PhIAA	small	ON		
exp241101_MS917_7.5hr-arrest_PhIAA	big	ON		
