gene_id,TE_WT_Arava,TE_WT_Park_HP,TE_WT_Park_LP,TE_WT_Gerashchenko,is_ambiguous_Gerashchenko,TE_WT_Sen,TE_WT_Arava_mean_norm,TE_WT_Park_HP_mean_norm,TE_WT_Park_LP_mean_norm,TE_WT_Gerashchenko_mean_norm,TE_WT_Sen_mean_norm,TE_WT_PP,TE_WT_RS,TPMsc_input_small_YM,TPMsc_MandP_small_YM,TPMsc_P_small_YM,TPMsc_input_large_YM,TPMsc_MandP_large_YM,TPMsc_P_large_YM,TE_rRNAdep_MandP_small_YM,TE_rRNAdep_P_small_YM,TE_rRNAdep_MandP_large_YM,TE_rRNAdep_P_large_YM,TE_polyA_MandP_small_YM,TE_polyA_P_small_YM,TE_polyA_MandP_large_YM,TE_polyA_P_large_YM,TPMsc_input_polyA_small_YM,TPMsc_input_polyA_large_YM
YNL030W,0.752319231,1.220489184,1.339128924,0.873504195,TRUE,1.180992661,2.21719277,1.114178226,1.159476109,0.923305341,0.977279186,1.496949035,0.950292264,141.5394504,192.6763953,251.8490839,146.9211664,207.8260515,234.542244,1.361291109,1.779356096,1.414541258,1.596381581,0.257455485,0.336522427,0.361823354,0.408336013,748.3872212,574.3853995
YNL031C,0.561559124,1.057257334,1.307297571,1.103816174,TRUE,1.753211443,1.654995352,0.96516472,1.131915138,1.16674811,1.450793987,1.250691737,1.308771049,303.3164033,394.406866,383.3202612,499.4448059,717.3398114,639.1446206,1.30031499,1.263763704,1.436274445,1.279710216,0.739682525,0.718890372,0.974727972,0.868475623,533.2110101,735.9384691
YDR224C,0.584,1.237865409,1.584527648,1.200796341,TRUE,1.164733586,1.721131835,1.130040892,1.371953006,1.269257413,0.963824695,1.407708577,1.116541054,224.0557474,263.2311179,294.1041345,342.8854021,451.2861147,431.1980121,1.174846533,1.312638207,1.316142688,1.257557217,0.674167096,0.753236669,0.876709345,0.837684374,390.4538196,514.7499766
YPL127C,0.5120774,1.597805182,1.633976207,1.985212216,FALSE,2.070529848,1.509165608,1.458628038,1.41476772,2.098395237,1.713377052,1.460853789,1.905886144,54.22369623,62.08803665,67.24301917,54.29526985,55.11445898,62.1736507,1.145035122,1.240103937,1.01508767,1.145102527,1.189051358,1.287774708,1.331132268,1.501626873,52.21644653,41.40419424
YBL002W,0.911116364,1.250698646,1.32524242,1.200796341,TRUE,1.580082624,2.685190717,1.141756287,1.14745257,1.269257413,1.307528752,1.658133191,1.288393083,106.2628871,151.0637274,153.1742578,30.57387746,40.99413692,40.34763998,1.421603831,1.441465237,1.340822307,1.319676905,1.60321808,1.625616841,1.748819183,1.721239477,94.2253143,23.441038
YBR009C,0.742072115,1.230752429,1.344609363,0.873504195,TRUE,1.117287138,2.18699305,1.123547489,1.164221312,0.923305341,0.924562447,1.491587284,0.923933894,289.9947128,448.4600507,435.8474875,170.2166345,377.9612268,333.0570434,1.546442162,1.502949772,2.220471741,1.95666566,0.92651172,0.900454354,1.077301771,0.94931151,484.0306293,350.840625
YBL003C,0.556842857,1.100477179,1.398448481,0.852331754,TRUE,1.028113827,1.641095836,1.004619891,1.210837563,0.900925795,0.850770946,1.285517764,0.875848371,84.11261224,118.1993597,130.1808698,140.2279367,139.2084607,158.8048976,1.405251324,1.547697383,0.992729865,1.13247689,1.296630885,1.42806642,1.733514472,1.977542075,91.15883407,80.30418146
YDR225W,0.579613534,1.12278219,1.415581549,0.852331754,TRUE,0.726986259,1.708204289,1.02498202,1.225672119,0.900925795,0.601585905,1.319619476,0.75125585,238.9438694,324.9871871,337.7340482,111.4901881,263.1220678,260.4409912,1.360098453,1.413445128,2.360046856,2.335999209,0.624230371,0.648714345,0.789753843,0.781706663,520.6205949,333.1697215
YBR010W,0.870835669,1.321756164,1.839990278,1.103816174,TRUE,1.681792831,2.566477727,1.206624326,1.593143669,1.16674811,1.391694616,1.788748574,1.279221363,140.6283168,225.3223406,266.1959922,203.4122654,368.9335493,260.8897802,1.602254409,1.892904631,1.813723222,1.282566613,0.568683634,0.671843297,0.77240056,0.54619975,396.2173819,477.6453676
YOL012C,0.978148914,1.512833119,1.827536682,1.167034969,FALSE,1.765405993,2.882745264,1.381057484,1.582360804,1.233571202,1.460885057,1.948721184,1.34722813,53.71104063,51.62709499,64.94768226,23.79495977,28.94159979,24.56019627,0.961200796,1.209205435,1.216291184,1.032159605,0.670393978,0.843365971,0.771867169,0.655015939,77.01008166,37.4955704
YDR055W,0.558103985,0.90424339,0.794794381,1.977800214,FALSE,1.257013375,1.644812561,0.825479086,0.688167569,2.090560654,1.040186826,1.052819739,1.56537374,373.6346881,270.1261591,270.4344626,886.8982271,592.987449,654.3454672,0.722968631,0.723793778,0.668608225,0.737790929,0.579504185,0.580165591,0.460137024,0.507748648,466.1332329,1288.71927
YNL078W,0.14175098,0.935383558,0.925277863,0.386830769,FALSE,0.624165274,0.417760488,0.853906784,0.801145848,0.408885174,0.516500865,0.690937707,0.46269302,67.60912118,62.51102695,56.27416246,164.4053522,167.157119,145.7994814,0.924594579,0.832345717,1.016737695,0.886829288,1.189107341,1.070467451,1.666269493,1.453370515,52.56970907,100.3181776
YPL158C,0.028518314,0.574000349,0.534425602,0.504505375,FALSE,0.876605721,0.084047564,0.524001932,0.462728948,0.53326877,0.725396994,0.356926148,0.629332882,69.58296396,51.89855203,50.20924678,67.83916153,49.13405382,47.08000409,0.745851413,0.721573844,0.724272717,0.693994487,1.062547895,1.02796181,1.378808381,1.32116728,48.84349427,35.6351575
