Gene_ID	Gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction	Model_factor
YPL019C	VTC3	4029.970454	-2.298150472	0.113558365	-15.83459278	1.80E-56	1.19E-52	Downregulated	Age_48h_vs_log
YFR017C	IGD1	250.4673659	2.846044532	0.148882987	15.75764009	6.09E-56	2.02E-52	Upregulated	Age_48h_vs_log
IGS1-2AS	IGS1-2AS	16416.64408	4.666621477	0.284309099	14.65525197	1.25E-48	2.76E-45	Upregulated	Age_48h_vs_log
YLR312C	YLR312C	381.9334443	3.615336143	0.219459391	14.19550166	9.77E-46	1.62E-42	Upregulated	Age_48h_vs_log
YOR173W	DCS2	366.0568425	2.559612038	0.149786341	13.75033284	5.07E-43	6.73E-40	Upregulated	Age_48h_vs_log
YER054C	GIP2	240.6022051	2.410609731	0.142016641	13.45342145	2.94E-41	3.25E-38	Upregulated	Age_48h_vs_log
YIL136W	OM45	1106.539829	2.301682269	0.134107634	13.4345989	3.79E-41	3.60E-38	Upregulated	Age_48h_vs_log
YLR327C	TMA10	1116.277874	3.906819052	0.259044076	13.1515034	1.67E-39	1.39E-36	Upregulated	Age_48h_vs_log
YHR096C	HXT5	227.2150063	3.892052225	0.258722098	13.11079436	2.86E-39	2.11E-36	Upregulated	Age_48h_vs_log
YPL230W	USV1	352.2248547	2.890781241	0.184198326	12.97938633	1.60E-38	1.06E-35	Upregulated	Age_48h_vs_log
YKR046C	PET10	690.7997668	1.950930095	0.112377452	12.91122076	3.89E-38	2.35E-35	Upregulated	Age_48h_vs_log
YOR032C	HMS1	75.34618976	2.93989703	0.189127675	12.90079324	4.45E-38	2.47E-35	Upregulated	Age_48h_vs_log
YDR070C	FMP16	207.3899628	3.804267273	0.258873534	12.76402119	2.60E-37	1.33E-34	Upregulated	Age_48h_vs_log
YKL217W	JEN1	179.1845718	3.640447249	0.247258208	12.70108392	5.83E-37	2.77E-34	Upregulated	Age_48h_vs_log
YOR178C	GAC1	295.8447441	4.452637205	0.312488859	12.64889002	1.13E-36	5.02E-34	Upregulated	Age_48h_vs_log
YIL099W	SGA1	116.7010903	2.8789754	0.19079189	12.46895453	1.10E-35	4.58E-33	Upregulated	Age_48h_vs_log
YLR311C	YLR311C	85.55717946	3.431461948	0.235492008	12.4482439	1.43E-35	5.59E-33	Upregulated	Age_48h_vs_log
YLR205C	HMX1	268.2487697	2.810809719	0.186679625	12.37847847	3.42E-35	1.26E-32	Upregulated	Age_48h_vs_log
YBL049W	MOH1	209.4573317	3.665789891	0.260788389	12.13930537	6.54E-34	2.25E-31	Upregulated	Age_48h_vs_log
YEL011W	GLC3	517.4288626	2.875365964	0.195721211	12.13647695	6.77E-34	2.25E-31	Upregulated	Age_48h_vs_log
YMR053C	STB2	253.1920665	2.174684678	0.138661175	12.07753126	1.39E-33	4.39E-31	Upregulated	Age_48h_vs_log
YLR149C	YLR149C	317.4393741	2.854165669	0.196085449	12.00581523	3.31E-33	1.00E-30	Upregulated	Age_48h_vs_log
YPR030W	CSR2	416.9678432	2.583059433	0.17566969	11.85781926	1.96E-32	5.66E-30	Upregulated	Age_48h_vs_log
YPR026W	ATH1	609.8852476	1.745815772	0.10520872	11.8413737	2.39E-32	6.60E-30	Upregulated	Age_48h_vs_log
YMR081C	ISF1	155.1109059	4.189452897	0.324997998	11.35223269	7.23E-30	1.92E-27	Upregulated	Age_48h_vs_log
YHL024W	RIM4	287.2614444	2.700085782	0.194203634	11.32875703	9.45E-30	2.42E-27	Upregulated	Age_48h_vs_log
YLR174W	IDP2	371.0006469	2.589053987	0.185441709	11.26528652	1.95E-29	4.79E-27	Upregulated	Age_48h_vs_log
YMR103C	YMR103C	304.0443709	1.956531133	0.129793219	11.22193552	3.18E-29	7.55E-27	Upregulated	Age_48h_vs_log
YJL012C	VTC4	3652.508902	-1.736362172	0.11222345	-11.01696818	3.17E-28	7.25E-26	Downregulated	Age_48h_vs_log
YBL048W	RRT1	117.1718918	3.366985328	0.26074786	10.99524012	4.03E-28	8.92E-26	Upregulated	Age_48h_vs_log
YER072W	VTC1	3003.539153	-1.646424669	0.104599769	-10.96010709	5.94E-28	1.27E-25	Downregulated	Age_48h_vs_log
YLR178C	TFS1	726.6865288	1.819994637	0.120520456	10.95245302	6.47E-28	1.34E-25	Upregulated	Age_48h_vs_log
YML128C	MSC1	945.664789	1.990779955	0.136221175	10.94381954	7.11E-28	1.43E-25	Upregulated	Age_48h_vs_log
YOR120W	GCY1	418.140102	2.074188795	0.144520294	10.89251035	1.25E-27	2.44E-25	Upregulated	Age_48h_vs_log
YPL223C	GRE1	77.46774117	2.981767348	0.228579587	10.85734461	1.84E-27	3.49E-25	Upregulated	Age_48h_vs_log
YKR097W	PCK1	447.1411351	2.814321295	0.213544489	10.83765403	2.28E-27	4.21E-25	Upregulated	Age_48h_vs_log
