,chr,start,end,acc,strand
0,chrI,237,687,TEL01L-XC,-
1,chrI,299,749,YAL069W,+
2,chrI,442,892,YAL068W-A,+
3,chrI,1707,2157,YAL068C,-
4,chrI,2357,2807,YAL067W-A,+
5,chrI,6956,7406,YAL067C,-
6,chrI,10049,10499,YAL066W,+
7,chrI,11465,11915,YAL065C,-
8,chrI,12076,12526,YAL064W-B,+
9,chrI,12845,13295,YAL064C-A,-
10,chrI,21900,22350,YAL064W,+
11,chrI,21945,22395,YAL063C-A,-
12,chrI,23826,24276,YAL063C,-
13,chrI,32590,33040,YAL062W,+
14,chrI,34521,34971,YAL061W,+
15,chrI,36068,36518,YAL060W,+
16,chrI,36396,36846,YAL059C-A,-
17,chrI,36916,37366,YAL059W,+
18,chrI,38596,39046,YAL056C-A,-
19,chrI,38670,39120,YAL058W,+
20,chrI,41551,42001,YAL056W,+
21,chrI,42369,42819,YAL055W,+
22,chrI,42781,43231,YAL054C,-
23,chrI,47968,48418,YAL053W,+
24,chrI,51506,51956,YAL051W,+
25,chrI,51677,52127,YAL049C,-
26,chrI,52701,53151,YAL048C,-
27,chrI,54563,55013,YAL047W-A,+
28,chrI,54889,55339,YAL047C,-
29,chrI,56929,57379,YAL046C,-
30,chrI,57388,57838,YAL045C,-
31,chrI,57657,58107,YAL044W-A,+
32,chrI,57766,58216,YAL044C,-
33,chrI,58519,58969,YAL043C,-
34,chrI,61131,61581,YAL042C-A,-
35,chrI,62309,62759,YAL042W,+
36,chrI,65116,65566,YAL041W,+
37,chrI,65678,66128,YAL040C,-
38,chrI,68549,68999,YAL039C,-
39,chrI,72226,72676,YAL037C-B,-
40,chrI,72963,73413,YAL038W,+
41,chrI,73262,73712,YAL037C-A,-
42,chrI,74473,74923,YAL037W,+
43,chrI,74943,75393,YAL036C,-
44,chrI,79085,79535,YAL035W,+
45,chrI,79389,79839,YAL034C-B,-
46,chrI,80326,80776,YAL034W-A,+
47,chrI,80496,80946,YAL034C,-
48,chrI,82996,83446,YAL033W,+
49,chrI,83111,83561,YAL032C,-
50,chrI,84627,85077,YAL031W-A,+
51,chrI,84649,85099,YAL031C,-
52,chrI,87509,87959,YAL030W,+
53,chrI,87657,88107,YAL029C,-
54,chrI,94182,94632,YAL028W,+
55,chrI,95122,95572,YAL027W,+
56,chrI,95286,95736,YAL026C-A,-
57,chrI,95500,95950,YAL026C,-
58,chrI,100125,100575,YAL025C,-
59,chrI,101465,101915,YAL024C,-
60,chrI,106045,106495,YAL023C,-
61,chrI,108735,109185,YAL022C,-
62,chrI,110630,111080,YAL021C,-
63,chrI,113442,113892,YAL020C,-
64,chrI,114469,114919,YAL019W-A,+
65,chrI,117964,118414,YAL019W,+
66,chrI,118464,118914,YAL018C,-
67,chrI,123945,124395,YAL017W,+
68,chrI,124207,124657,YAL016C-B,-
69,chrI,124655,125105,YAL016C-A,-
70,chrI,126524,126974,YAL016W,+
71,chrI,126674,127124,YAL015C,-
72,chrI,128108,128558,YAL014C,-
73,chrI,130238,130688,YAL013W,+
74,chrI,131738,132188,YAL012W,+
75,chrI,133726,134176,YAL011W,+
76,chrI,133907,134357,YAL010C,-
77,chrI,136376,136826,YAL009W,+
78,chrI,137335,137785,YAL008W,+
79,chrI,137462,137912,YAL007C,-
80,chrI,139403,139853,YAL005C,-
81,chrI,141057,141507,YAL004W,+
82,chrI,143028,143478,YAL003W,+
83,chrI,147301,147751,YAL002W,+
84,chrI,147494,147944,YAL001C,-
85,chrI,153624,154074,YAR002W,+
86,chrI,153788,154238,YAR002C-A,-
87,chrI,156512,156962,YAR003W,+
88,chrI,156581,157031,YAR007C,-
89,chrI,159443,159893,YAR008W,+
90,chrI,166464,166914,YAR014C,-
91,chrI,170039,170489,YAR015W,+
92,chrI,170200,170650,YAR018C,-
93,chrI,172052,172502,YAR019C,-
94,chrI,174980,175430,YAR019W-A,+
95,chrI,176756,177206,YAR020C,-
96,chrI,179127,179577,YAR023C,-
97,chrI,184303,184753,YAR027W,+
98,chrI,185440,185890,YAR028W,+
99,chrI,186400,186850,YAR029W,+
100,chrI,186412,186862,YAR030C,-
101,chrI,187535,187985,YAR031W,+
102,chrI,188553,189003,YAR033W,+
103,chrI,192075,192525,YAR035W,+
104,chrI,192237,192687,YAR035C-A,-
105,chrI,195989,196439,YAR042W,+
106,chrI,201367,201817,YAR047C,-
107,chrI,207740,208190,YAR050W,+
108,chrI,208313,208763,YAR053W,+
109,chrI,217057,217507,YAR060C,-
110,chrI,220147,220597,YAR064W,+
111,chrI,221310,221760,YAR066W,+
112,chrI,222541,222991,YAR068W,+
113,chrI,223911,224361,YAR069C,-
114,chrI,224463,224913,YAR070C,-
115,chrI,226513,226963,YAR071W,+
116,chrI,228603,229053,YAR073W,+
117,chrI,228967,229417,YAR075W,+
118,chrII,1,351,TEL02L-YP,-
119,chrII,180,630,YBL113C,-
120,chrII,778,1228,YBL113W-A,+
121,chrII,2482,2932,YBL112C,-
122,chrII,2807,3257,YBL111C,-
123,chrII,5749,6199,TEL02L-XR,-
124,chrII,5775,6225,YBL109W,+
125,chrII,7505,7955,YBL108C-A,-
126,chrII,8132,8582,YBL108W,+
127,chrII,9022,9472,YBL107W-A,+
128,chrII,9746,10196,YBL107C,-
129,chrII,10679,11129,YBL106C,-
130,chrII,14002,14452,YBL105C,-
131,chrII,18046,18496,YBL104C,-
132,chrII,21500,21950,YBL103C,-
133,chrII,24536,24986,YBL102W,+
134,chrII,24709,25159,YBL101C,-
135,chrII,28417,28867,YBL100W-C,+
136,chrII,36889,37339,YBL100C,-
137,chrII,38605,39055,YBL099W,+
138,chrII,40177,40627,YBL098W,+
139,chrII,42954,43404,YBL097W,+
140,chrII,43074,43524,YBL096C,-
141,chrII,43665,44115,YBL094C,-
142,chrII,43857,44307,YBL095W,+
143,chrII,44015,44465,YBL093C,-
144,chrII,46020,46470,YBL092W,+
145,chrII,46465,46915,YBL091C-A,-
146,chrII,47263,47713,YBL091C,-
147,chrII,49088,49538,YBL090W,+
148,chrII,50666,51116,YBL089W,+
149,chrII,50882,51332,YBL088C,-
150,chrII,59700,60150,YBL087C,-
151,chrII,61050,61500,YBL086C,-
152,chrII,66468,66918,YBL085W,+
153,chrII,67069,67519,YBL084C,-
154,chrII,69613,70063,YBL083C,-
155,chrII,69651,70101,YBL082C,-
156,chrII,72677,73127,YBL081W,+
157,chrII,72970,73420,YBL080C,-
158,chrII,79496,79946,YBL079W,+
159,chrII,80009,80459,YBL078C,-
160,chrII,80843,81293,YBL076C,-
161,chrII,80978,81428,YBL077W,+
162,chrII,84311,84761,YBL075C,-
163,chrII,86622,87072,YBL074C,-
164,chrII,87607,88057,YBL073W,+
165,chrII,88300,88750,YBL072C,-
166,chrII,89358,89808,YBL071C-B,-
167,chrII,90119,90569,YBL071W-A,+
168,chrII,90123,90573,YBL071C,-
169,chrII,90505,90955,YBL070C,-
170,chrII,91680,92130,YBL068W-A,+
171,chrII,91833,92283,YBL069W,+
172,chrII,93139,93589,YBL068W,+
173,chrII,93539,93989,YBL067C,-
174,chrII,96569,97019,YBL066C,-
175,chrII,99957,100407,YBL065W,+
176,chrII,100200,100650,YBL064C,-
177,chrII,104998,105448,YBL063W,+
178,chrII,105121,105571,YBL061C,-
179,chrII,105338,105788,YBL062W,+
180,chrII,109645,110095,YBL060W,+
181,chrII,109786,110236,YBL059C-A,-
182,chrII,110941,111391,YBL059W,+
183,chrII,112477,112927,YBL058W,+
184,chrII,112630,113080,YBL057C,-
185,chrII,115216,115666,YBL056W,+
186,chrII,115355,115805,YBL055C,-
187,chrII,119036,119486,YBL054W,+
188,chrII,119207,119657,YBL052C,-
189,chrII,119359,119809,YBL053W,+
190,chrII,122332,122782,YBL051C,-
191,chrII,125836,126286,YBL050W,+
192,chrII,126894,127344,YBL049W,+
193,chrII,127260,127710,YBL048W,+
194,chrII,127656,128106,YBL047C,-
195,chrII,133701,134151,YBL046W,+
196,chrII,133904,134354,YBL045C,-
197,chrII,136016,136466,YBL044W,+
198,chrII,137111,137561,YBL043W,+
199,chrII,138078,138528,YBL042C,-
200,chrII,141674,142124,YBL041W,+
201,chrII,141944,142394,YBL040C,-
202,chrII,143347,143797,YBL039W-B,+
203,chrII,143632,144082,YBL039C,-
204,chrII,144848,145298,YBL039C-A,-
205,chrII,146629,147079,YBL038W,+
206,chrII,149936,150386,YBL037W,+
207,chrII,150320,150770,YBL036C,-
208,chrII,151334,151784,YBL035C,-
209,chrII,153748,154198,YBL034C,-
210,chrII,158491,158941,YBL033C,-
211,chrII,161083,161533,YBL032W,+
212,chrII,162452,162902,YBL031W,+
213,chrII,162898,163348,YBL030C,-
214,chrII,164239,164689,YBL029C-A,-
215,chrII,167139,167589,YBL029W,+
216,chrII,167201,167651,YBL028C,-
217,chrII,169111,169561,YBL027W,+
218,chrII,170820,171270,YBL026W,+
219,chrII,172038,172488,YBL025W,+
220,chrII,174238,174688,YBL024W,+
221,chrII,174820,175270,YBL023C,-
222,chrII,177697,178147,YBL022C,-
223,chrII,181395,181845,YBL021C,-
224,chrII,183870,184320,YBL020W,+
225,chrII,185814,186264,YBL018C,-
226,chrII,185833,186283,YBL019W,+
227,chrII,186675,187125,YBL017C,-
228,chrII,193300,193750,YBL016W,+
229,chrII,195402,195852,YBL015W,+
230,chrII,198825,199275,YBL014C,-
231,chrII,202911,203361,YBL013W,+
232,chrII,203306,203756,YBL012C,-
233,chrII,205467,205917,YBL011W,+
234,chrII,205651,206101,YBL010C,-
235,chrII,209003,209453,YBL009W,+
236,chrII,209298,209748,YBL008W-A,+
237,chrII,211936,212386,YBL008W,+
238,chrII,212532,212982,YBL007C,-
239,chrII,216383,216833,YBL006C,-
240,chrII,216510,216960,YBL006W-A,+
241,chrII,220420,220870,YBL005W,+
242,chrII,234832,235282,YBL004W,+
243,chrII,235020,235470,YBL003C,-
244,chrII,236679,237129,YBL002W,+
245,chrII,236976,237426,YBL001C,-
246,chrII,238766,239216,YBR001C,-
247,chrII,241431,241881,YBR002C,-
248,chrII,243880,244330,YBR003W,+
249,chrII,244244,244694,YBR004C,-
250,chrII,246380,246830,YBR005W,+
251,chrII,248153,248603,YBR006W,+
252,chrII,248561,249011,YBR007C,-
253,chrII,252463,252913,YBR008C,-
254,chrII,255273,255723,YBR009C,-
255,chrII,256391,256841,YBR010W,+
256,chrII,256896,257346,YBR011C,-
257,chrII,259047,259497,YBR012C,-
258,chrII,265392,265842,YBR013C,-
