chr	start	end	strand	gene_id	gene_name	cell_cycle_low_confidence	cell_cycle_high_confidence	Campbell_2020_cell_cycle_phase	Spellman_1998_cell_cycle_phase	Lichtenberg_2004_cell_cycle_phase	chan_half_life_av	chan_half_life_rep1	chan_half_life_rep2	Ho_cluster	kubik_-1nucleosome	Luisa_annotation	RPB	DECAY	Histones	metzlraz_cor_SC	metzlraz_cor_Pi	metzlraz_cor_N	metzlraz_cor_genetic_perturbations	metzlraz_cor_environmental_perturbations	metzlraz_EG_SC	metzlraz_EG_genetic_pertubation	metzlraz_EG_enviromental_pertubation	miller_half_life	miller_synth_rate	neymotin_deg_rate	neymotin_half_life	neymotin_threhold	neymotin_abundance	neymotin_synth_rate	rhee_TATAbox_class	rhee_TAF_class	verifed_ORF
chrIV	563466	564988	+	YDR055W	PST1	TRUE	TRUE	G1	M/G1	0	3.269239011	2.794261814	3.744216207	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.41693459	0.749391798	0.206837695	8.59	21.71	0.0997	7.5	1	11.42	1.138	TATA-containing	TAF1-depleted	TRUE
chrXIV	479748	481142	+	YNL078W	NIS1	TRUE	TRUE	G1	M/G1	0	2.732795677	2.411036666	3.054554687	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.408567178	-0.220279763	-0.060398117	6.35	34.44	0.1954	3.7	1	4.882	0.954	TATA-less	TAF1-enriched	TRUE
chrXVI	251979	254380	-	YPL158C	AIM44	TRUE	TRUE	G1	M/G1	1	1.198517159	0.778275951	1.618758367	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.439125989	-0.236402714	NA	9.03	57.66	0.1691	4.3	1	6.591	1.115	TATA-containing	TAF1-depleted	TRUE
chrII	556290	558353	+	YBR158W	AMN1	TRUE	TRUE	G1	M/G1	2	1.321791552	1.240709999	1.402873104	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.06896931	-0.24750283	-0.2163242	10.67	104.19	0.1461	5	1	10.46	1.529	TATA-containing	TAF1-depleted	TRUE
chrXI	221202	223100	-	YKL116C	PRR1	TRUE	TRUE	G1	M/G1	2	1.883500678	2.170169442	1.596831913	NA	stable		NA	NA	NA	0.062071467	0.061965136	-0.029313999	-0.190043392	-0.148780697	NA	-0.118747597	-0.054317032	5.57	16.96	0.0965	7.7	1	2.503	0.242	TATA-less	TAF1-enriched	TRUE
chrIX	339330	341663	+	YIL009W	FAA3	TRUE	TRUE	G1	M/G1	2	2.269474993	2.154829523	2.384120463	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.395889354	-0.54909694	-0.446133343	11.78	16.58	0.0916	8.2	1	6.061	0.555	TATA-less	TAF1-enriched	TRUE
chrXII	688924	691262	-	YLR273C	PIG1	TRUE	TRUE	G2_M	M/G1	2	2.848268898	2.964611532	2.731926264	NA	stable		NA	NA	NA	0.007072534	0.024502697	-0.079573504	-0.399866509	-0.226390089	NA	0.126975619	0.379554511	NA	NA	0.0778	9.8	1	1.109	0.086	NA	NA	TRUE
chrXI	143636	145727	+	YKL163W	PIR3	TRUE	TRUE	G2_M	M/G1	2	3.328568877	2.046808134	4.61032962	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.959659588	0.956203781	NA	NA	0.0793	9.6	1	2.79	0.221	NA	NA	TRUE
chrXI	141559	142894	-	YKL164C	PIR1	TRUE	TRUE	G1	M/G1	3	2.761170967	2.361404591	3.160937342	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.328450804	0.064823344	-0.303614781	11.93	129.67	0.1446	5	1	26.25	3.796	TATA-containing	TAF1-depleted	TRUE
chrXIV	24017	27291	+	YNL327W	EGT2	TRUE	TRUE	G1	M/G1	5	1.868035432	1.669962518	2.066108345	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.043824951	-0.325160081	0.251543029	11.02	79.87	0.312	2.3	1	19.76	6.165	TATA-containing	TAF1-depleted	TRUE
chrXII	286772	287814	+	YLR079W	SIC1	TRUE	TRUE	G1	M/G1	5	2.250842445	1.623338801	2.878346088	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.219741585	0.119385125	0.062618213	5.03	27.9	0.0791	9.6	1	5.707	0.451	TATA-containing	TAF1-depleted	TRUE
chrVII	649317	650706	-	YGR086C	PIL1	TRUE	TRUE	G1	M/G1	6	9.105719414	8.256477431	9.954961397	NA	fragile		NA	NA	NA	-0.006556601	-0.007066921	-0.02276956	-0.03432102	-0.044251032	-0.281864683	0.08480905	0.235197021	26.27	78.03	NA	NA	NA	NA	NA	TATA-containing	TAF1-depleted	TRUE
chrV	571155	571523	+	YER189W	YER189W	TRUE	TRUE	G1	G1	6	2.544439441	2.660816019	2.428062862	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrXIV	755641	759145	-	YNR067C	DSE4	TRUE	TRUE	G1	M/G1	7	1.167994079	1.165533666	1.170454492	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.889656395	-0.169035605	0.303676473	10.31	37.69	0.1251	5.9	1	5.791	0.725	TATA-containing	TAF1-depleted	TRUE
